Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
ASHOKLEY,177.33,2.34,143570000.0,0.91,,,,,,,,,5930000.0,-63.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
PGEL,629.0,1.97,10999100.0,0.55,,,,,,,,,779000.0,-63.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CANBK,130.14,1.7,384594750.0,-0.02,,,,,,,,,9834750.0,-64.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
OBEROIRLTY,1813.5,1.3,5441450.0,-0.11,,,,,,,,,216300.0,-65.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ALKEM,5618.0,-1.09,1399750.0,0.13,,,,,,,,,24500.0,-65.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SHRIRAMFIN,1099.5,1.61,26648325.0,1.23,,,,,,,,,1212750.0,-66.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
M&M,3480.0,1.67,12241600.0,0.57,,,,,,,,,412600.0,-66.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ABCAPITAL,425.1,1.58,37317800.0,0.41,,,,,,,,,1618200.0,-66.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HDFCBANK,742.7,-0.13,303572750.0,1.14,,,,,,,,,6018350.0,-67.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SENSEX,79075.8,0.55,36120.0,1.12,,,,,,,,,5300.0,-68.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BHEL,414.7,1.07,80430000.0,-0.02,,,,,,,,,1459500.0,-69.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
LTF,324.3,1.01,45765000.0,0.21,,,,,,,,,1818000.0,-69.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ADANIENT,3087.3,1.42,15735207.0,-0.75,,,,,,,,,287370.0,-71.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
YESBANK,23.08,0.74,1171816900.0,-0.01,,,,,,,,,13217500.0,-71.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
GLENMARK,2217.4,-0.42,11740125.0,0.48,,,,,,,,,179625.0,-71.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
APOLLOHOSP,8867.5,-0.21,1957375.0,0.9,,,,,,,,,44750.0,-72.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CONCOR,523.9,1.02,21495000.0,0.02,,,,,,,,,392500.0,-72.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
TVSMOTOR,4427.9,1.33,9013550.0,0.95,,,,,,,,,215250.0,-72.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HINDZINC,571.3,1.29,29538425.0,0.72,,,,,,,,,1313200.0,-72.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SBIN,1050.7,0.96,82684500.0,0.31,,,,,,,,,1815000.0,-73.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ANGELONE,299.15,-0.4,28530000.0,1.55,,,,,,,,,1252500.0,-73.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INDUSINDBK,1035.0,1.37,33537000.0,-0.09,,,,,,,,,332500.0,-73.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MIDCPNIFTY,14969.05,0.76,1881960.0,-0.13,,,,,,,,,48360.0,-74.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NTPC,347.75,1.1,98404500.0,-0.09,,,,,,,,,933000.0,-74.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
GODREJPROP,2117.9,3.89,7855575.0,-0.24,,,,,,,,,713050.0,-74.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ASIANPAINT,2769.0,0.79,7461250.0,0.69,,,,,,,,,187000.0,-75.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
LAURUSLABS,1849.9,0.83,16919250.0,0.97,,,,,,,,,517650.0,-75.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BAJFINANCE,1157.5,1.1,54054000.0,0.41,,,,,,,,,1264500.0,-75.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ZYDUSLIFE,1113.2,-0.56,10035000.0,0.41,,,,,,,,,207000.0,-76.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BPCL,327.05,1.63,39693550.0,0.28,,,,,,,,,1200800.0,-76.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
FORCEMOT,18631.0,1.04,248450.0,-0.46,,,,,,,,,10225.0,-76.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
DLF,663.25,2.2,46981300.0,0.5,,,,,,,,,2036800.0,-77.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INOXWIND,80.2,0.86,105612800.0,-0.15,,,,,,,,,1600000.0,-78.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
TRENT,3136.4,1.8,10532700.0,-0.06,,,,,,,,,168750.0,-78.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
LUPIN,2378.0,-0.73,6459575.0,0.48,,,,,,,,,118575.0,-78.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BDL,1268.1,1.05,7140000.0,-0.73,,,,,,,,,185725.0,-78.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
TIINDIA,2809.7,2.22,2243200.0,-0.64,,,,,,,,,57600.0,-78.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
POLYCAB,9314.0,1.15,2270500.0,-0.14,,,,,,,,,93375.0,-78.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MPHASIS,2410.1,0.82,3892075.0,0.26,,,,,,,,,61050.0,-78.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INDUSTOWER,392.3,0.51,89482900.0,0.01,,,,,,,,,969000.0,-79.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
GMRAIRPORT,107.4,0.96,130139550.0,0.01,,,,,,,,,1548450.0,-79.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
DIXON,14155.0,2.28,2611600.0,-0.29,,,,,,,,,77850.0,-79.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
POLICYBZR,1622.3,0.74,9266600.0,0.3,,,,,,,,,138250.0,-80.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
COFORGE,1762.5,0.73,13391200.0,-0.47,,,,,,,,,264100.0,-80.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
RECLTD,369.55,0.28,44692200.0,0.02,,,,,,,,,310275.0,-80.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ETERNAL,313.85,1.14,153732875.0,0.35,,,,,,,,,2182500.0,-80.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
KAYNES,3925.1,0.89,4046100.0,0.27,,,,,,,,,83700.0,-80.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INDHOTEL,748.95,0.56,20697000.0,0.23,,,,,,,,,386000.0,-81.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HINDALCO,1026.0,0.79,52994900.0,0.01,,,,,,,,,1416800.0,-81.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
