Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
CONCOR,523.9,1.02,21495000.0,0.02,,,,,,,,,392500.0,-72.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
DIXON,14155.0,2.28,2611600.0,-0.29,,,,,,,,,77850.0,-79.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
ETERNAL,313.85,1.14,153732875.0,0.35,,,,,,,,,2182500.0,-80.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BDL,1268.1,1.05,7140000.0,-0.73,,,,,,,,,185725.0,-78.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
ASHOKLEY,177.33,2.34,143570000.0,0.91,,,,,,,,,5930000.0,-63.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
M&M,3480.0,1.67,12241600.0,0.57,,,,,,,,,412600.0,-66.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
SHRIRAMFIN,1099.5,1.61,26648325.0,1.23,,,,,,,,,1212750.0,-66.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
CANBK,130.14,1.7,384594750.0,-0.02,,,,,,,,,9834750.0,-64.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
OBEROIRLTY,1813.5,1.3,5441450.0,-0.11,,,,,,,,,216300.0,-65.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
LTF,324.3,1.01,45765000.0,0.21,,,,,,,,,1818000.0,-69.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
ADANIENT,3087.3,1.42,15735207.0,-0.75,,,,,,,,,287370.0,-71.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
BHEL,414.7,1.07,80430000.0,-0.02,,,,,,,,,1459500.0,-69.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,20,SELL,Positive Price Momentum
