Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
ANGELONE,299.15,-0.4,28530000.0,1.55,,,,,,,,,1252500.0,-73.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.4|OI:1.55|VOL:-73.56|FUT:nan,PDNA_61F74357,20,LOW,SELL,VALID SELL,HIGH,299.15,305.133,287.184,True,Eligible,303.45,295.55,300.0,EOD EXIT,Neither target nor stop reached; exited at close,300.0,-0.8500000000000227,-0.28413839211098874
FORTIS,926.05,-0.34,10066475.0,0.29,,,,,,,,,233275.0,-87.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.34|OI:0.29|VOL:-87.25|FUT:nan,PDNA_E79278F0,20,LOW,SELL,VALID SELL,HIGH,926.05,944.571,889.0079999999999,True,Eligible,936.15,917.5,928.55,EOD EXIT,Neither target nor stop reached; exited at close,928.55,-2.5,-0.26996382484747045
SUNPHARMA,1947.4,-0.73,13841450.0,0.12,,,,,,,,,144200.0,-82.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.73|OI:0.12|VOL:-82.71|FUT:nan,PDNA_FC536805,20,LOW,SELL,VALID SELL,HIGH,1947.4,1986.348,1869.504,True,Eligible,1968.5,1942.5,1947.7,EOD EXIT,Neither target nor stop reached; exited at close,1947.7,-0.2999999999999545,-0.015405155592069144
CIPLA,1449.3,-0.72,8901625.0,0.12,,,,,,,,,68850.0,-86.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.72|OI:0.12|VOL:-86.24|FUT:nan,PDNA_70385B64,20,LOW,SELL,VALID SELL,HIGH,1449.3,1478.286,1391.328,True,Eligible,1470.9,1443.1,1469.0,EOD EXIT,Neither target nor stop reached; exited at close,1469.0,-19.700000000000045,-1.3592768922928342
TORNTPHARM,5010.0,-1.08,3644500.0,0.22,,,,,,,,,35375.0,-88.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum,Short Buildup,PAT:Short Buildup|SCR:|P:-1.08|OI:0.22|VOL:-88.18|FUT:nan,PDNA_3F809765,20,LOW,SELL,VALID SELL,HIGH,5010.0,5110.2,4809.599999999999,True,Eligible,5075.0,4970.5,5042.0,EOD EXIT,Neither target nor stop reached; exited at close,5042.0,-32.0,-0.6387225548902196
LUPIN,2378.0,-0.73,6459575.0,0.48,,,,,,,,,118575.0,-78.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.73|OI:0.48|VOL:-78.25|FUT:nan,PDNA_B2D59BAD,20,LOW,SELL,VALID SELL,HIGH,2378.0,2425.56,2282.88,True,Eligible,2412.0,2367.2,2410.0,EOD EXIT,Neither target nor stop reached; exited at close,2410.0,-32.0,-1.3456686291000841
ZYDUSLIFE,1113.2,-0.56,10035000.0,0.41,,,,,,,,,207000.0,-76.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.56|OI:0.41|VOL:-76.31|FUT:nan,PDNA_8D8C16D3,20,LOW,SELL,VALID SELL,HIGH,1113.2,1135.4640000000002,1068.672,True,Eligible,1126.0,1107.6,1117.1,EOD EXIT,Neither target nor stop reached; exited at close,1117.1,-3.8999999999998636,-0.3503413582464843
ALKEM,5618.0,-1.09,1399750.0,0.13,,,,,,,,,24500.0,-65.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,Negative Price Momentum,Short Buildup,PAT:Short Buildup|SCR:|P:-1.09|OI:0.13|VOL:-65.25|FUT:nan,PDNA_3CCBABCA,20,LOW,SELL,VALID SELL,HIGH,5618.0,5730.36,5393.28,True,Eligible,5698.5,5590.0,5692.0,EOD EXIT,Neither target nor stop reached; exited at close,5692.0,-74.0,-1.3171947312210752
HDFCBANK,742.7,-0.13,303572750.0,1.14,,,,,,,,,6018350.0,-67.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.13|OI:1.14|VOL:-67.67|FUT:nan,PDNA_4EA93723,20,LOW,SELL,VALID SELL,HIGH,742.7,757.5540000000001,712.992,True,Eligible,745.9,736.65,739.7,EOD EXIT,Neither target nor stop reached; exited at close,739.7,3.0,0.4039316009155782
SUPREMEIND,3510.7,-0.23,2287425.0,0.2,,,,,,,,,22925.0,-84.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx,0,SELL,,Short Buildup,PAT:Short Buildup|SCR:|P:-0.23|OI:0.2|VOL:-84.08|FUT:nan,PDNA_CD556C6F,20,LOW,SELL,VALID SELL,HIGH,3510.7,3580.914,3370.2719999999995,True,Eligible,3532.0,3466.7,3485.7,EOD EXIT,Neither target nor stop reached; exited at close,3485.7,25.0,0.7121086962713988
