Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
SENSEX50,,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,,-,-,-,,,,,,,,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-04.xlsx
,,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26,-1.26,,1.88,1.88,1.88,1.88,1.88,,,,,,,,,,-20.41,-20.41,UNKNOWN,Sector_Summary_25AUG26_Report_5_8_2026 (2).xlsx
ICICIGI,"1,691.8",3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,5144100,3.07,3.07,3.07,3.07,3.07,,,,,,,,,922350,281.97,281.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BHARTIARTL,"1,966.8",0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,55092875,1.08,1.08,1.08,1.08,1.08,,,,,,,,,3340200,71.39,71.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NYKAA,332.95,-1.48,-1.48,-1.48,-1.48,-1.48,-1.48,-1.48,-1.48,-1.48,-1.48,-1.48,50496875,9.88,9.88,9.88,9.88,9.88,,,,,,,,,12753125,69.9,69.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MCX,"2,606.2",-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,-2.6,8459325,11.55,11.55,11.55,11.55,11.55,,,,,,,,,2218500,45.97,45.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HINDPETRO,398.45,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,1.27,44626950,0.02,0.02,0.02,0.02,0.02,,,,,,,,,1956150,-7.29,-7.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
UNIONBANK,178.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,2.37,118660800,0.48,0.48,0.48,0.48,0.48,,,,,,,,,5513550,-14.95,-14.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ONGC,241.05,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,55977750,2.69,2.69,2.69,2.69,2.69,,,,,,,,,4952250,-17.81,-17.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BANKINDIA,142.79,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,94364400,-1.87,-1.87,-1.87,-1.87,-1.87,,,,,,,,,4191200,-20.9,-20.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
OIL,441,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,-2.18,15932000,0.9,0.9,0.9,0.9,0.9,,,,,,,,,665000,-23.01,-23.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BOSCHLTD,42500,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,2.53,208350,0.45,0.45,0.45,0.45,0.45,,,,,,,,,15950,-31.76,-31.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INDIGO,"5,455.5",2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,2.16,5633250,0.45,0.45,0.45,0.45,0.45,,,,,,,,,364350,-32.57,-32.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NHPC,81,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,118400200,-0.42,-0.42,-0.42,-0.42,-0.42,,,,,,,,,8889050,-33.97,-33.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BSE,"3,590.6",-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,9091200,7.09,7.09,7.09,7.09,7.09,,,,,,,,,1408200,-39.12,-39.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
PNBHOUSING,"1,131.5",4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,7831850,1.18,1.18,1.18,1.18,1.18,,,,,,,,,2629250,-39.13,-39.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
IOC,143,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,150262125,0.36,0.36,0.36,0.36,0.36,,,,,,,,,4728750,-39.53,-39.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MAZDOCK,"2,419.1",1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,4978125,-1.17,-1.17,-1.17,-1.17,-1.17,,,,,,,,,222975,-40.27,-40.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
AMBUJACEM,445.85,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,79954800,0.22,0.22,0.22,0.22,0.22,,,,,,,,,1244400,-41.28,-41.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
INDIANB,866.45,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,12076000,-0.07,-0.07,-0.07,-0.07,-0.07,,,,,,,,,753000,-41.72,-41.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BAJAJHLDNG,11576,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,2.06,357825,0.57,0.57,0.57,0.57,0.57,,,,,,,,,19500,-42.09,-42.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
JUBLFOOD,478.85,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,2.58,16356250,-0.21,-0.21,-0.21,-0.21,-0.21,,,,,,,,,1337500,-42.63,-42.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
PNB,114.95,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,288592000,0.07,0.07,0.07,0.07,0.07,,,,,,,,,6336000,-43.55,-43.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BHARATFORG,2224,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,1.32,7809000,0.3,0.3,0.3,0.3,0.3,,,,,,,,,431000,-48.51,-48.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MANAPPURAM,365.05,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,63369000,-0.28,-0.28,-0.28,-0.28,-0.28,,,,,,,,,4665000,-52.78,-52.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BANKBARODA,250.24,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,130150800,-0.19,-0.19,-0.19,-0.19,-0.19,,,,,,,,,3700125,-52.89,-52.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MARICO,861.95,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,17360400,8.86,8.86,8.86,8.86,8.86,,,,,,,,,4092000,-53.21,-53.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
LT,"4,080.8",1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,1.49,11363275,-0.61,-0.61,-0.61,-0.61,-0.61,,,,,,,,,591150,-54.5,-54.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
LODHA,"1,243.5",1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,1.56,11576875,-0.5,-0.5,-0.5,-0.5,-0.5,,,,,,,,,580625,-57.48,-57.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
MUTHOOTFIN,"2,945.2",1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,6793325,-1,-1,-1,-1,-1,,,,,,,,,609400,-58.7,-58.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
NBCC,95.75,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,99326500,-0.09,-0.09,-0.09,-0.09,-0.09,,,,,,,,,1293500,-59.47,-59.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
TMPV,351.45,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.59,74390400,-0.4,-0.4,-0.4,-0.4,-0.4,,,,,,,,,2852800,-59.78,-59.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CHOLAFIN,"1,888.3",1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,1.09,13053750,1.25,1.25,1.25,1.25,1.25,,,,,,,,,441250,-61.32,-61.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
KALYANKJIL,584.4,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,-1.51,23052600,-0.13,-0.13,-0.13,-0.13,-0.13,,,,,,,,,4822200,-62.14,-62.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BANKNIFTY,58100,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,2123280,-1.15,-1.15,-1.15,-1.15,-1.15,,,,,,,,,173760,-62.34,-62.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ASHOKLEY,177.33,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,2.34,143570000,0.91,0.91,0.91,0.91,0.91,,,,,,,,,5930000,-63.75,-63.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
PGEL,629,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,1.97,10999100,0.55,0.55,0.55,0.55,0.55,,,,,,,,,779000,-63.81,-63.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CANBK,130.14,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,384594750,-0.02,-0.02,-0.02,-0.02,-0.02,,,,,,,,,9834750,-64.67,-64.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
OBEROIRLTY,"1,813.5",1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,5441450,-0.11,-0.11,-0.11,-0.11,-0.11,,,,,,,,,216300,-65.05,-65.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ALKEM,5618,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,1399750,0.13,0.13,0.13,0.13,0.13,,,,,,,,,24500,-65.25,-65.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SHRIRAMFIN,"1,099.5",1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,1.61,26648325,1.23,1.23,1.23,1.23,1.23,,,,,,,,,1212750,-66.01,-66.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
M&M,3480,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,1.67,12241600,0.57,0.57,0.57,0.57,0.57,,,,,,,,,412600,-66.27,-66.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ABCAPITAL,425.1,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,1.58,37317800,0.41,0.41,0.41,0.41,0.41,,,,,,,,,1618200,-66.39,-66.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HDFCBANK,742.7,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,-0.13,303572750,1.14,1.14,1.14,1.14,1.14,,,,,,,,,6018350,-67.67,-67.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
SENSEX,"79,075.8",0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,36120,1.12,1.12,1.12,1.12,1.12,,,,,,,,,5300,-68.86,-68.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
BHEL,414.7,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,1.07,80430000,-0.02,-0.02,-0.02,-0.02,-0.02,,,,,,,,,1459500,-69.37,-69.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
LTF,324.3,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,45765000,0.21,0.21,0.21,0.21,0.21,,,,,,,,,1818000,-69.81,-69.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
ADANIENT,"3,087.3",1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,15735207,-0.75,-0.75,-0.75,-0.75,-0.75,,,,,,,,,287370,-71.18,-71.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
YESBANK,23.08,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,1171816900,-0.01,-0.01,-0.01,-0.01,-0.01,,,,,,,,,13217500,-71.26,-71.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
GLENMARK,"2,217.4",-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,-0.42,11740125,0.48,0.48,0.48,0.48,0.48,,,,,,,,,179625,-71.51,-71.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
APOLLOHOSP,"8,867.5",-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,-0.21,1957375,0.9,0.9,0.9,0.9,0.9,,,,,,,,,44750,-72.01,-72.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
CONCOR,523.9,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,1.02,21495000,0.02,0.02,0.02,0.02,0.02,,,,,,,,,392500,-72.19,-72.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
TVSMOTOR,"4,427.9",1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,1.33,9013550,0.95,0.95,0.95,0.95,0.95,,,,,,,,,215250,-72.75,-72.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
HINDZINC,571.3,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,29538425,0.72,0.72,0.72,0.72,0.72,,,,,,,,,1313200,-72.81,-72.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_5_8_2026 (2).xlsx
