Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
LTM,4644.8,1.57,2588100.0,2.45,,,,,,,,,154050.0,-74.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
PGEL,624.0,1.56,12060250.0,2.04,,,,,,,,,2361700.0,-45.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
FINNIFTY,26772.2,-0.85,41160.0,21.63,,,,,,,,,9420.0,11.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Fresh OI Buildup
BRITANNIA,5655.0,4.64,1952000.0,1.75,,,,,,,,,500500.0,9.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
LUPIN,2396.9,-0.32,7022275.0,4.36,,,,,,,,,671075.0,-46.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Fresh OI Buildup
MOTHERSON,161.91,4.75,125496900.0,-0.79,,,,,,,,,24181800.0,-56.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
TECHM,1678.0,2.17,17404200.0,0.87,,,,,,,,,564600.0,-73.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
BSE,3502.0,1.36,9938600.0,-1.63,,,,,,,,,870600.0,-68.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
KALYANKJIL,622.1,3.54,28032750.0,1.49,,,,,,,,,7280550.0,-63.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
VOLTAS,1300.1,1.82,7321500.0,-0.49,,,,,,,,,359625.0,-86.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
ONGC,241.3,1.37,54704250.0,-0.69,,,,,,,,,1833750.0,-82.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
TCS,2430.0,1.81,31459275.0,-0.13,,,,,,,,,484650.0,-82.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
PERSISTENT,5571.5,1.13,3449375.0,0.35,,,,,,,,,48750.0,-81.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
OIL,452.0,1.68,16153200.0,0.17,,,,,,,,,240800.0,-79.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
HCLTECH,1367.8,1.69,26343200.0,-0.06,,,,,,,,,295200.0,-90.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
POWERINDIA,32550.0,1.29,583050.0,-0.3,,,,,,,,,12575.0,-88.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
UNOMINDA,1281.4,1.12,4851550.0,0.33,,,,,,,,,92400.0,-87.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
MPHASIS,2461.3,1.69,3954225.0,0.48,,,,,,,,,84150.0,-76.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
MCX,2687.6,1.83,8889975.0,0.38,,,,,,,,,499275.0,-78.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
LICI,397.6,1.51,51674000.0,-0.31,,,,,,,,,502600.0,-95.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
KPITTECH,628.1,1.1,12494550.0,-0.21,,,,,,,,,184450.0,-95.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,20,SELL,Positive Price Momentum
BAJFINANCE,1101.5,-4.59,54321750.0,1.95,,,,,,,,,5377500.0,29.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,Negative Price Momentum
FORTIS,935.55,1.0,10448550.0,0.21,,,,,,,,,869550.0,-3.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,
LTF,310.5,-2.71,44923500.0,1.57,,,,,,,,,2488500.0,-30.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,Negative Price Momentum
ADANIPORTS,1696.3,-0.33,20571300.0,-0.21,,,,,,,,,165300.0,-74.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,
SBICARD,660.4,-0.18,22472800.0,0.11,,,,,,,,,296800.0,-73.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,
INOXWIND,77.15,-1.69,106976000.0,0.38,,,,,,,,,2099200.0,-68.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx,0,SELL,Negative Price Momentum
