Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
BSE,3502,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,1.36,9938600,-1.63,-1.63,-1.63,-1.63,-1.63,,,,,,,,,870600,-68.42,-68.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
PIIND,"2,765.3",-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,2802800,0.6,0.6,0.6,0.6,0.6,,,,,,,,,37975,-73.37,-73.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
TECHM,1678,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,2.17,17404200,0.87,0.87,0.87,0.87,0.87,,,,,,,,,564600,-73.7,-73.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
SBICARD,660.4,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,-0.18,22472800,0.11,0.11,0.11,0.11,0.11,,,,,,,,,296800,-73.73,-73.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
LTM,"4,644.8",1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,1.57,2588100,2.45,2.45,2.45,2.45,2.45,,,,,,,,,154050,-74.26,-74.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
ADANIPORTS,"1,696.3",-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,-0.33,20571300,-0.21,-0.21,-0.21,-0.21,-0.21,,,,,,,,,165300,-74.98,-74.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
MPHASIS,"2,461.3",1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,1.69,3954225,0.48,0.48,0.48,0.48,0.48,,,,,,,,,84150,-76.5,-76.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
MCX,"2,687.6",1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,8889975,0.38,0.38,0.38,0.38,0.38,,,,,,,,,499275,-78.03,-78.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
BPCL,323.1,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,39616525,0.43,0.43,0.43,0.43,0.43,,,,,,,,,452275,-78.66,-78.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
AMBER,"7,409.5",-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,1192600,0.9,0.9,0.9,0.9,0.9,,,,,,,,,24500,-78.77,-78.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
NESTLEIND,"1,538.2",0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.97,7694500,-0.05,-0.05,-0.05,-0.05,-0.05,,,,,,,,,192500,-78.83,-78.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
INDIGO,"5,332.5",-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,-0.29,5534850,-0.19,-0.19,-0.19,-0.19,-0.19,,,,,,,,,93600,-79.14,-79.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
OIL,452,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,16153200,0.17,0.17,0.17,0.17,0.17,,,,,,,,,240800,-79.45,-79.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
IDEA,12.73,0,0,0,0,0,0,0,0,0,0,0,5896616025,0.07,0.07,0.07,0.07,0.07,,,,,,,,,20084475,-80.47,-80.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
INFY,1181,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,84238800,0.17,0.17,0.17,0.17,0.17,,,,,,,,,1040000,-81.51,-81.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
PERSISTENT,"5,571.5",1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,1.13,3449375,0.35,0.35,0.35,0.35,0.35,,,,,,,,,48750,-81.84,-81.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
TCS,2430,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,31459275,-0.13,-0.13,-0.13,-0.13,-0.13,,,,,,,,,484650,-82.04,-82.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
ONGC,241.3,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,1.37,54704250,-0.69,-0.69,-0.69,-0.69,-0.69,,,,,,,,,1833750,-82.12,-82.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
DRREDDY,"1,169.3",0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,0.44,14195625,0.38,0.38,0.38,0.38,0.38,,,,,,,,,223750,-82.55,-82.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
IOC,142.44,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,152675250,0.19,0.19,0.19,0.19,0.19,,,,,,,,,1096875,-82.81,-82.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
TATAELXSI,"3,782.6",1,1,1,1,1,1,1,1,1,1,1,2312875,-0.24,-0.24,-0.24,-0.24,-0.24,,,,,,,,,30875,-82.94,-82.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
BHEL,412.75,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,80994375,0.09,0.09,0.09,0.09,0.09,,,,,,,,,989625,-83.21,-83.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
M&M,"3,458.2",0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,0.77,11967800,0.14,0.14,0.14,0.14,0.14,,,,,,,,,152400,-83.3,-83.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_7_8_2026.xlsx
