symbol,outcome_source,outcome_timestamp,outcome_date
CDSL,breakout_events.csv,2026-08-25 10:19:46.157421000,2026-08-25
COALINDIA,breakout_events.csv,2026-08-25 10:19:46.157421000,2026-08-25
HAL,breakout_events.csv,2026-08-25 10:22:54.053590000,2026-08-25
FORTIS,breakout_events.csv,2026-08-25 10:26:01.697593000,2026-08-25
GODREJCP,breakout_events.csv,2026-08-25 10:32:17.013161000,2026-08-25
BAJAJHLDNG,breakout_events.csv,2026-08-25 10:38:31.970255000,2026-08-25
VBL,breakout_events.csv,2026-08-25 10:38:31.970255000,2026-08-25
LTF,breakout_events.csv,2026-08-25 10:44:47.280084000,2026-08-25
POWERGRID,breakout_events.csv,2026-08-25 10:44:47.280084000,2026-08-25
BAJAJ-AUTO,breakout_events.csv,2026-08-25 10:51:02.619346000,2026-08-25
BLUESTARCO,breakout_events.csv,2026-08-25 10:51:02.619346000,2026-08-25
CANBK,breakout_events.csv,2026-08-25 10:54:18.704413000,2026-08-25
NAM-INDIA,breakout_events.csv,2026-08-25 10:54:18.704413000,2026-08-25
ADANIENT,breakout_events.csv,2026-08-25 10:57:26.200940000,2026-08-25
IREDA,breakout_events.csv,2026-08-25 11:00:33.579321000,2026-08-25
CROMPTON,breakout_events.csv,2026-08-25 11:06:50.593411000,2026-08-25
ABB,breakout_events.csv,2026-08-25 11:13:06.046589000,2026-08-25
BHEL,breakout_events.csv,2026-08-25 11:16:13.802403000,2026-08-25
TATASTEEL,breakout_events.csv,2026-08-25 11:19:21.316786000,2026-08-25
FEDERALBNK,breakout_events.csv,2026-08-25 11:25:38.590657000,2026-08-25
ADANIPOWER,breakout_events.csv,2026-08-25 11:28:47.152797000,2026-08-25
TATAELXSI,breakout_events.csv,2026-08-25 11:28:47.152797000,2026-08-25
LODHA,breakout_events.csv,2026-08-25 11:38:13.861420000,2026-08-25
JUBLFOOD,breakout_events.csv,2026-08-25 11:41:22.595442000,2026-08-25
BRITANNIA,breakout_events.csv,2026-08-25 11:53:55.796771000,2026-08-25
BAJFINANCE,breakout_events.csv,2026-08-25 11:57:03.692400000,2026-08-25
SBIN,breakout_events.csv,2026-08-25 11:57:03.692400000,2026-08-25
GRASIM,breakout_events.csv,2026-08-25 12:00:12.976068000,2026-08-25
BIOCON,breakout_events.csv,2026-08-25 12:09:37.936289000,2026-08-25
NAUKRI,breakout_events.csv,2026-08-25 12:12:49.423142000,2026-08-25
NYKAA,breakout_events.csv,2026-08-25 12:12:49.423142000,2026-08-25
GAIL,breakout_events.csv,2026-08-25 12:19:45.786402000,2026-08-25
SAIL,breakout_events.csv,2026-08-25 12:19:45.786402000,2026-08-25
PGEL,breakout_events.csv,2026-08-25 12:26:10.157857000,2026-08-25
OIL,breakout_events.csv,2026-08-25 12:29:18.162435000,2026-08-25
JINDALSTEL,breakout_events.csv,2026-08-25 12:35:34.479679000,2026-08-25
NESTLEIND,breakout_events.csv,2026-08-25 12:35:34.479679000,2026-08-25
ONGC,breakout_events.csv,2026-08-25 12:44:58.613000000,2026-08-25
MARICO,breakout_events.csv,2026-08-25 12:48:16.101949000,2026-08-25
HEROMOTOCO,breakout_events.csv,2026-08-25 12:51:26.873174000,2026-08-25
ADANIENSOL,breakout_events.csv,2026-08-25 12:57:50.066582000,2026-08-25
AXISBANK,breakout_events.csv,2026-08-25 13:07:15.719694000,2026-08-25
DABUR,breakout_events.csv,2026-08-25 13:10:23.957410000,2026-08-25
DIXON,breakout_events.csv,2026-08-25 13:13:32.832392000,2026-08-25
ZYDUSLIFE,breakout_events.csv,2026-08-25 13:13:32.832392000,2026-08-25
SHREECEM,breakout_events.csv,2026-08-25 13:41:54.267781000,2026-08-25
MAXHEALTH,breakout_events.csv,2026-08-25 14:07:09.935926000,2026-08-25
UPL,breakout_events.csv,2026-08-25 14:07:09.935926000,2026-08-25
FORCEMOT,breakout_events.csv,2026-08-25 14:10:18.793174000,2026-08-25
PRESTIGE,breakout_events.csv,2026-08-25 14:16:40.797012000,2026-08-25
SHRIRAMFIN,breakout_events.csv,2026-08-25 14:35:38.287636000,2026-08-25
BANKEX,breakout_events.csv,2026-08-26 10:58:59.564482000,2026-08-26
SENSEX,breakout_events.csv,2026-08-27 09:40:50.747937000,2026-08-27
FOCIT,breakout_events.csv,2026-08-27 10:52:08.949832000,2026-08-27
BANKEX,breakout_events.csv,2026-08-27 12:13:29.309407000,2026-08-27
TVSMOTOR,breakout_events.csv,2026-08-28 12:35:41.966528000,2026-08-28
ADANIENT,breakout_events.csv,2026-08-31 13:01:34.000000000,2026-08-31
