Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
NMDC,85.51,0.15,0.15,0.15,0.15,0.15,340787250,0.02,0.02,,,,,,,,,243000,-98.03,-98.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
NAM-INDIA,"1,148.3",0.44,0.44,0.44,0.44,0.44,7059375,0,0,,,,,,,,,7500,-98.01,-98.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PFC,424.85,0.26,0.26,0.26,0.26,0.26,49461100,-0.03,-0.03,,,,,,,,,118300,-97.96,-97.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
CROMPTON,262.8,0.48,0.48,0.48,0.48,0.48,58125250,0.01,0.01,,,,,,,,,96750,-97.95,-97.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
DLF,660.7,0.45,0.45,0.45,0.45,0.45,46889150,0.01,0.01,,,,,,,,,94050,-97.94,-97.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
PATANJALI,357.2,0.08,0.08,0.08,0.08,0.08,30793375,-0.02,-0.02,,,,,,,,,174150,-97.89,-97.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
MAXHEALTH,1133,0.32,0.32,0.32,0.32,0.32,9543450,0,0,,,,,,,,,17325,-97.86,-97.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ANGELONE,296.9,1.19,1.19,1.19,1.19,1.19,26485000,0.07,0.07,,,,,,,,,272500,-97.83,-97.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
LICI,418.95,0.31,0.31,0.31,0.31,0.31,18881800,0,0,,,,,,,,,40600,-97.81,-97.81,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
CONCOR,525.1,0.01,0.01,0.01,0.01,0.01,21706250,-0.01,-0.01,,,,,,,,,27500,-97.77,-97.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
SUZLON,47.68,0.4,0.4,0.4,0.4,0.4,458952600,0.07,0.07,,,,,,,,,1231900,-97.76,-97.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
INDUSTOWER,393.8,-0.34,-0.34,-0.34,-0.34,-0.34,92514000,-0.05,-0.05,,,,,,,,,239700,-97.69,-97.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BAJAJHLDNG,11054,0.55,0.55,0.55,0.55,0.55,333600,-0.04,-0.04,,,,,,,,,675,-97.67,-97.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
DIXON,14189,0.28,0.28,0.28,0.28,0.28,2278400,0.1,0.1,,,,,,,,,10800,-97.48,-97.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
SBICARD,653.85,0.06,0.06,0.06,0.06,0.06,22078400,0.07,0.07,,,,,,,,,57600,-97.48,-97.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ALKEM,"5,834.5",0.13,0.13,0.13,0.13,0.13,1383125,0.09,0.09,,,,,,,,,8375,-97.38,-97.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BPCL,318,0.16,0.16,0.16,0.16,0.16,40128050,0.12,0.12,,,,,,,,,112575,-97.34,-97.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
KFINTECH,934.75,0.85,0.85,0.85,0.85,0.85,3653550,0.35,0.35,,,,,,,,,53475,-97.29,-97.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
IRFC,88.66,-0.06,-0.06,-0.06,-0.06,-0.06,85177925,0.4,0.4,,,,,,,,,553350,-97.25,-97.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ICICIGI,"1,644.9",-0.12,-0.12,-0.12,-0.12,-0.12,5076500,-0.02,-0.02,,,,,,,,,7800,-97.23,-97.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
MIDCPNIFTY,14712,0.05,0.05,0.05,0.05,0.05,1867440,0.1,0.1,,,,,,,,,5640,-97.23,-97.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
HINDUNILVR,2118,0.1,0.1,0.1,0.1,0.1,15240600,0.05,0.05,,,,,,,,,50400,-97.22,-97.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
NHPC,78.5,0.18,0.18,0.18,0.18,0.18,118907550,0.02,0.02,,,,,,,,,194600,-97.22,-97.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
ASIANPAINT,"2,761.6",0.16,0.16,0.16,0.16,0.16,7540500,0.11,0.11,,,,,,,,,77250,-97.19,-97.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
JSWENERGY,548.4,0.28,0.28,0.28,0.28,0.28,25221650,0.06,0.06,,,,,,,,,35475,-97.16,-97.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
TRENT,"3,021.8",0.34,0.34,0.34,0.34,0.34,10966050,0.02,0.02,,,,,,,,,16875,-97.14,-97.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
EICHERMOT,7870,0.01,0.01,0.01,0.01,0.01,4133100,0.05,0.05,,,,,,,,,45700,-97.11,-97.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
SONACOMS,765.2,-0.03,-0.03,-0.03,-0.03,-0.03,10587675,-0.32,-0.32,,,,,,,,,213150,-97.09,-97.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
BDL,1229,0.66,0.66,0.66,0.66,0.66,7329975,-0.02,-0.02,,,,,,,,,25925,-97.06,-97.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
KAYNES,3694,1.6,1.6,1.6,1.6,1.6,3795750,0,0,,,,,,,,,36750,-97.02,-97.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
KALYANKJIL,635.85,-0.18,-0.18,-0.18,-0.18,-0.18,25004700,0.35,0.35,,,,,,,,,294300,-97.01,-97.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
VOLTAS,"1,347.6",0.77,0.77,0.77,0.77,0.77,7275375,0.21,0.21,,,,,,,,,30375,-96.96,-96.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx
