Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID
TORNTPHARM,5003.9,2.17,3967000.0,0.01,,,,,,,,,223375.0,-68.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.17|OI:0.01|VOL:-68.96|FUT:nan,PDNA_C704B91C
ADANIPOWER,212.06,1.11,154549250.0,-0.19,,,,,,,,,901700.0,-91.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.11|OI:-0.19|VOL:-91.95|FUT:nan,PDNA_F9D12CFA
GLENMARK,2234.5,1.62,11551125.0,0.03,,,,,,,,,87750.0,-93.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.62|OI:0.03|VOL:-93.1|FUT:nan,PDNA_18EB1898
SENSEX,78282.45,0.22,32920.0,2.36,,,,,,,,,1520.0,-91.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:0.22|OI:2.36|VOL:-91.99|FUT:nan,PDNA_2B1255B3
M&M,3346.3,1.48,13717800.0,1.36,,,,,,,,,744000.0,-91.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.48|OI:1.36|VOL:-91.43|FUT:nan,PDNA_B9DC727C
SAIL,171.18,1.07,180564600.0,0.09,,,,,,,,,775500.0,-93.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.07|OI:0.09|VOL:-93.4|FUT:nan,PDNA_771B1C01
SOLARINDS,18386.0,1.25,801950.0,-0.02,,,,,,,,,4000.0,-93.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.25|OI:-0.02|VOL:-93.44|FUT:nan,PDNA_163ED37C
PGEL,626.1,1.52,10716000.0,-0.08,,,,,,,,,102600.0,-95.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.52|OI:-0.08|VOL:-95.38|FUT:nan,PDNA_DA11D5F7
CHOLAFIN,1813.8,1.96,12653125.0,-0.05,,,,,,,,,153125.0,-89.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering,PAT:Short Covering|SCR:|P:1.96|OI:-0.05|VOL:-89.53|FUT:nan,PDNA_B3C13A18
ABCAPITAL,408.0,3.07,34220900.0,0.87,,,,,,,,,2089400.0,-40.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.07|OI:0.87|VOL:-40.83|FUT:nan,PDNA_64484FF7
