Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
360ONE,6.69,1141.5,1151.6,1141.5,1151.6,6.1,0.53,0.81,2.55,6.0,0.07,0.0,0.0,4.0,0.16,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,8.43,7384.0,7474.0,7380.0,7428.5,106.5,1.45,0.43,1.09,229.0,1.4,0.01,1.43,-98.0,-1.36,29.0,0.58,127,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,8.56,399.0,408.15,398.95,406.75,10.9,2.75,1.03,3.04,83.0,0.76,0.01,1.23,-11.0,-0.35,15.0,0.59,26,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,6.37,1677.0,1683.0,1673.6,1679.9,17.1,1.03,-0.12,-0.37,16.0,0.06,0.0,0.0,-19.0,-0.37,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,5.92,3072.0,3076.1,3052.4,3061.0,2.1,0.07,0.25,0.9,-61.0,-0.12,0.01,1.2,-13.0,-0.1,-1.0,-0.01,12,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,7.79,1375.0,1375.0,1368.9,1370.6,4.2,0.31,0.07,0.19,-9.0,-0.02,-0.01,-1.69,13.0,0.09,1.0,0.01,-12,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,5.64,1675.0,1677.5,1656.0,1666.0,-4.8,-0.29,0.5,1.9,112.0,0.25,-0.01,-1.96,515.0,1.7,54.0,0.35,-461,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,7.3,211.0,212.61,210.88,212.21,2.48,1.18,-0.39,-1.11,-55.0,-0.13,0.01,1.52,-58.0,-0.64,12.0,0.2,70,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,6.28,5835.5,5853.5,5809.0,5829.0,2,0.03,0.64,2.2,13.0,0.12,0.0,0.0,31.0,1.05,8.0,0.94,-23,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,8.38,7449.5,7535.5,7440.0,7492.0,56,0.75,-0.07,-0.19,-3.0,-0.02,0.01,0.85,-23.0,-0.34,7.0,0.09,30,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,4.84,435.95,440.75,435.7,440.25,4.25,0.97,0.02,0.09,39.0,0.06,0.0,0.0,10.0,0.11,50.0,0.73,40,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-31.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
