Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
CGPOWER,869.6,3.84,19615450.0,1.73,,,,,,,,,2046800.0,-48.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.84|OI:1.73|VOL:-48.8|FUT:nan,PDNA_47D7C599,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,869.6,,
POWERINDIA,32425.0,3.17,561550.0,1.42,,,,,,,,,33525.0,-55.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:3.17|OI:1.42|VOL:-55.46|FUT:nan,PDNA_90500605,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,32425.0,,
BAJAJFINSV,1970.0,2.93,8786100.0,0.27,,,,,,,,,431100.0,-58.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.93|OI:0.27|VOL:-58.65|FUT:nan,PDNA_4BDABFE1,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1970.0,,
TORNTPHARM,5003.9,2.17,3967000.0,0.01,,,,,,,,,223375.0,-68.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.17|OI:0.01|VOL:-68.96|FUT:nan,PDNA_C704B91C,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5003.9,,
SAIL,171.18,1.07,180564600.0,0.09,,,,,,,,,775500.0,-93.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.07|OI:0.09|VOL:-93.4|FUT:nan,PDNA_771B1C01,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,171.18,,
SIEMENS,3689.6,1.53,3673775.0,0.14,,,,,,,,,60200.0,-79.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.53|OI:0.14|VOL:-79.23|FUT:nan,PDNA_048A92D7,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3689.6,,
ASHOKLEY,161.5,1.43,148150000.0,0.27,,,,,,,,,2470000.0,-89.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.43|OI:0.27|VOL:-89.02|FUT:nan,PDNA_74BE963E,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,161.5,,
KEI,4929.5,2.38,1998150.0,0.15,,,,,,,,,33775.0,-88.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:2.38|OI:0.15|VOL:-88.42|FUT:nan,PDNA_25C024D1,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4929.5,,
LTF,310.0,1.34,49668750.0,0.04,,,,,,,,,549000.0,-86.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.34|OI:0.04|VOL:-86.51|FUT:nan,PDNA_8DA69A53,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,310.0,,
HINDALCO,984.95,1.13,51991100.0,0.42,,,,,,,,,972300.0,-85.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,PAT:Fresh Long Buildup|SCR:|P:1.13|OI:0.42|VOL:-85.95|FUT:nan,PDNA_4F46D1D1,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,984.95,,
