Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
POLYCAB,9060.0,1.27,2339750.0,-0.54,,,,,,,,,44750.0,-89.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
ASHOKLEY,161.5,1.43,148150000.0,0.27,,,,,,,,,2470000.0,-89.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
JINDALSTEL,1111.3,1.21,12761875.0,-0.02,,,,,,,,,136250.0,-88.04,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
GODFRYPHLP,2170.1,2.79,1808950.0,-0.38,,,,,,,,,58850.0,-86.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
BHARATFORG,2201.8,1.29,7539500.0,0.21,,,,,,,,,132000.0,-79.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
SIEMENS,3689.6,1.53,3673775.0,0.14,,,,,,,,,60200.0,-79.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
BHEL,412.0,1.69,80332875.0,-0.25,,,,,,,,,1165500.0,-80.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
NATIONALUM,356.3,1.83,45271875.0,0.08,,,,,,,,,1473750.0,-81.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
BAJFINANCE,1098.0,3.76,68487000.0,1.72,,,,,,,,,7505250.0,-48.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,20,SELL,Positive Price Momentum
SUZLON,47.68,0.4,458952600.0,0.07,,,,,,,,,1231900.0,-97.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
INDUSTOWER,393.8,-0.34,92514000.0,-0.05,,,,,,,,,239700.0,-97.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
DIXON,14189.0,0.28,2278400.0,0.1,,,,,,,,,10800.0,-97.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
SBICARD,653.85,0.06,22078400.0,0.07,,,,,,,,,57600.0,-97.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BPCL,318.0,0.16,40128050.0,0.12,,,,,,,,,112575.0,-97.34,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ALKEM,5834.5,0.13,1383125.0,0.09,,,,,,,,,8375.0,-97.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
IRFC,88.66,-0.06,85177925.0,0.4,,,,,,,,,553350.0,-97.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ICICIGI,1644.9,-0.12,5076500.0,-0.02,,,,,,,,,7800.0,-97.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
MIDCPNIFTY,14712.0,0.05,1867440.0,0.1,,,,,,,,,5640.0,-97.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
KFINTECH,934.75,0.85,3653550.0,0.35,,,,,,,,,53475.0,-97.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
HINDUNILVR,2118.0,0.1,15240600.0,0.05,,,,,,,,,50400.0,-97.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
NHPC,78.5,0.18,118907550.0,0.02,,,,,,,,,194600.0,-97.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
JSWENERGY,548.4,0.28,25221650.0,0.06,,,,,,,,,35475.0,-97.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
ASIANPAINT,2761.6,0.16,7540500.0,0.11,,,,,,,,,77250.0,-97.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
TRENT,3021.8,0.34,10966050.0,0.02,,,,,,,,,16875.0,-97.14,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
EICHERMOT,7870.0,0.01,4133100.0,0.05,,,,,,,,,45700.0,-97.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
BAJAJHLDNG,11054.0,0.55,333600.0,-0.04,,,,,,,,,675.0,-97.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
COALINDIA,414.0,0.0,81174150.0,-0.08,,,,,,,,,253800.0,-98.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
DABUR,427.35,-0.15,29772500.0,0.07,,,,,,,,,217500.0,-98.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
COLPAL,2094.4,0.18,4803975.0,0.12,,,,,,,,,23100.0,-98.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
WAAREEENER,2599.3,0.42,7720475.0,0.38,,,,,,,,,81375.0,-98.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
NMDC,85.51,0.15,340787250.0,0.02,,,,,,,,,243000.0,-98.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
PFC,424.85,0.26,49461100.0,-0.03,,,,,,,,,118300.0,-97.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_31_7_2026.xlsx,0,SELL,
