Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-2.33,-2.33,-2.33,-2.33,-2.33,,-0.11,-0.11,,,,,,,,,,-89.52,-89.52,UNKNOWN,Sector_Summary_28JUL26_Report_28_7_2026.xlsx
COFORGE,"1,660.6",8.64,8.64,8.64,8.64,8.64,15181475,8.31,8.31,,,,,,,,,4140100,-41.69,-41.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
BEL,393.85,-3.55,-3.55,-3.55,-3.55,-3.55,83034750,6.11,6.11,,,,,,,,,9100050,-68.8,-68.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
TATAPOWER,374.55,-1.23,-1.23,-1.23,-1.23,-1.23,41913700,5.48,5.48,,,,,,,,,4147000,-68.98,-68.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GODFRYPHLP,"2,059.2",-5.32,-5.32,-5.32,-5.32,-5.32,1515800,-1.36,-1.36,,,,,,,,,451825,-72.91,-72.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
INFY,"1,111.8",2.62,2.62,2.62,2.62,2.62,92652000,3.13,3.13,,,,,,,,,8764800,-76.12,-76.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
LTM,4360,3.38,3.38,3.38,3.38,3.38,3056250,1.7,1.7,,,,,,,,,250500,-80.65,-80.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
GVT&D,"4,105.2",-2.8,-2.8,-2.8,-2.8,-2.8,2453625,3.54,3.54,,,,,,,,,219125,-81.43,-81.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
FOCIT,36592,2.73,2.73,2.73,2.73,2.73,630,-17.65,-17.65,,,,,,,,,135,-82.35,-82.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
NATIONALUM,336.45,-1.41,-1.41,-1.41,-1.41,-1.41,37018125,4.68,4.68,,,,,,,,,1942500,-83.64,-83.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx
