Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
TRENT,,,,,,-9.3,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2926.2,-0.32,50063.0,14.0,0.03,0.79,2900.0,1844.0,6.0,1489.0,-4.0,0.9,SB,,,,,,,,,,,,,,,,,
PAYTM,,,,,,9.7,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1310.7,0.75,26177.0,665.0,2.61,0.43,1300.0,2392.0,-64.0,538.0,15.0,0.82,LB,,,,,,,,,,,,,,,,,
POLYCAB,,,,,,-1.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,9060.0,-0.01,16068.0,131.0,0.82,0.65,9000.0,1029.0,100.0,702.0,14.0,0.67,SB,,,,,,,,,,,,,,,,,
JUBLFOOD,,,,,,5.05,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,432.8,1.18,13343.0,-86.0,-0.64,0.92,430.0,528.0,-6.0,192.0,1.0,0.65,SC,,,,,,,,,,,,,,,,,
APLAPOLLO,,,,,,-7.5,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1850.5,-0.4,11148.0,127.0,1.15,0.8,1840.0,397.0,0.0,330.0,-9.0,0.57,SB,,,,,,,,,,,,,,,,,
BHARTIARTL,,,,,,-7.0,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1910.5,-0.37,116329.0,364.0,0.31,0.88,1900.0,1806.0,169.0,1483.0,10.0,0.55,SB,,,,,,,,,,,,,,,,,
TATACONSUM,,,,,,-6.9,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,1106.1,-0.62,25636.0,113.0,0.44,0.74,1100.0,647.0,15.0,623.0,6.0,0.55,SB,,,,,,,,,,,,,,,,,
GODREJPROP,,,,,,32.8,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,2111.1,1.58,17959.0,202.0,1.14,0.52,2100.0,546.0,56.0,230.0,0.0,0.53,LB,,,,,,,,,,,,,,,,,
IEX,,,,,,2.83,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,130.51,2.22,13060.0,72.0,0.55,0.79,130.0,941.0,24.0,246.0,37.0,0.39,LB,,,,,,,,,,,,,,,,,
NIFTY,,,,,,-17.7,,,,,,,,,,,,,RESISTANCE,Resistance_25AUG26_Scan_28_7_2026 (1).xlsx,24084.1,-0.07,158661.0,1782.0,1.14,1.1,24000.0,112311.0,896.0,112017.0,989.0,0.35,SB,,,,,,,,,,,,,,,,,
