Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ANGELONE,305.05,-1.55,-0.51,22585000,220000,0.98,0.54,36.56,0.97,17.39 - 57.96,33.12 / 38.95 / 37.95,47.25,39.84,10.39,-6.14,-3.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,APLAPOLLO,1850.5,-7.5,-0.4,3901800,44450,1.15,0.8,29.14,6.86,8.20 - 40.75,19.33 / 19.80 / 18.82,64.33,81.3,50.75,47.17,54.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,APOLLOHOSP,8891.5,0.5,0.01,1877250,9000,0.48,0.74,21.28,-0.7,9.79 - 47.61,14.01 / 16.41 / 14.84,30.38,68.29,51.89,29.68,43.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ASHOKLEY,155.82,-0.32,-0.2,126355000,1185000,0.95,0.98,33.67,0.36,14.12 - 47.87,26.59 / 33.58 / 37.15,58.37,67.07,26.63,0.27,-9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ASIANPAINT,2740.8,15.1,0.55,7051250,41500,0.59,0.73,27.3,1.15,8.53 - 37.24,20.99 / 24.07 / 21.73,66.74,89.43,30.06,13.42,25.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,ASTRAL,1425.5,-4.8,-0.34,7067750,-5525,-0.08,0.95,31.8,-5.13,13.79 - 52.12,26.76 / 30.38 / 42.15,46.99,78.86,18.83,4.67,-24.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,AUBANK,1053.7,-1.9,-0.18,21681000,48000,0.22,0.88,25.37,-1.28,16.29 - 74.08,46.71 / 36.90 / 36.51,15.92,39.43,-45.69,-31.25,-30.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,AUROPHARMA,1557.3,-1.2,-0.08,9163550,88550,0.98,0.88,27.97,1.64,16.22 - 48.20,25.61 / 31.06 / 35.44,36.43,58.94,9.22,-9.95,-21.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,AXISBANK,1232.5,-3.2,-0.26,72438750,368125,0.51,0.66,21.09,1.1,12.00 - 40.40,35.96 / 30.58 / 26.96,31.65,62.2,-41.35,-31.03,-21.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BAJAJ-AUTO,11260,-2,-0.02,1909950,10200,0.54,1.54,22.37,-0.27,13.51 - 35.33,42.86 / 32.47 / 32.22,40.42,50,-47.81,-31.11,-30.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IVR_IVP,IVR-IVP_25AUG26_Report_2026-07-28.xlsx,BAJAJFINSV,1923,-1.4,-0.07,8486100,36000,0.43,0.82,26.56,-3.52,12.73 - 35.42,26.39 / 28.38 / 28.08,62.32,88.21,0.64,-6.41,-5.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
