Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
COFORGE,1660.6,8.64,15181475.0,8.31,,,,,,,,,4140100.0,-41.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1660.6,1627.388,1727.024
INFY,1111.8,2.62,92652000.0,3.13,,,,,,,,,8764800.0,-76.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1111.8,1089.5639999999999,1156.272
KPITTECH,592.6,1.31,11001125.0,3.31,,,,,,,,,898225.0,-88.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,592.6,580.748,616.3040000000001
MPHASIS,2447.7,4.21,4265525.0,2.07,,,,,,,,,280500.0,-85.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,2447.7,2398.7459999999996,2545.6079999999997
LODHA,1200.35,3.77,13737500.0,1.1,,,,,,,,,1218125.0,-84.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1200.35,,
ITC,289.15,0.47,135120975.0,2.49,,,,,,,,,5680425.0,-86.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,289.15,,
LTM,4360.0,3.38,3056250.0,1.7,,,,,,,,,250500.0,-80.65,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4360.0,,
DABUR,433.05,0.87,26815000.0,2.67,,,,,,,,,1060000.0,-87.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,433.05,,
PERSISTENT,5475.0,3.55,3519500.0,1.55,,,,,,,,,202875.0,-87.88,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5475.0,,
GODREJPROP,2111.1,1.58,5836675.0,1.14,,,,,,,,,167050.0,-92.01,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2111.1,,
