Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
LTF,308.0,-0.79,49113000.0,0.73,,,,,,,,,1134000.0,-94.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,308.0,314.16,295.68,True,Eligible,314.45,307.25,310.45,STOP LOSS HIT,Stop loss breached during replay range,314.16,-6.160000000000025,-2.000000000000008
MUTHOOTFIN,3006.5,-1.31,5840725.0,0.79,,,,,,,,,129250.0,-93.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3006.5,3066.63,2886.24,True,Eligible,3039.7,2971.0,3010.6,EOD EXIT,Neither target nor stop reached; exited at close,3010.6,-4.099999999999909,-0.13637119574255477
JIOFIN,236.57,-0.22,147305050.0,1.02,,,,,,,,,2843500.0,-93.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,236.57,241.3014,227.1072,True,Eligible,239.5,235.12,237.16,EOD EXIT,Neither target nor stop reached; exited at close,237.16,-0.5900000000000034,-0.24939764129010586
VOLTAS,1313.6,-1.02,6732000.0,1.5,,,,,,,,,150750.0,-93.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1313.6,1339.8719999999998,1261.0559999999998,True,Eligible,1322.3,1295.4,1311.6,EOD EXIT,Neither target nor stop reached; exited at close,1311.6,2.0,0.15225334957369063
ADANIGREEN,1390.0,-1.3,22534200.0,1.84,,,,,,,,,636600.0,-92.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1390.0,1417.8,1334.4,True,Eligible,1402.0,1361.0,1375.3,EOD EXIT,Neither target nor stop reached; exited at close,1375.3,14.700000000000045,1.0575539568345358
BANDHANBNK,166.64,-1.18,116269200.0,0.73,,,,,,,,,1807200.0,-94.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,166.64,169.97279999999998,159.97439999999995,True,Eligible,169.95,166.65,168.85,EOD EXIT,Neither target nor stop reached; exited at close,168.85,-2.210000000000008,-1.326212193951037
NMDC,83.31,-0.7,302143500.0,0.3,,,,,,,,,1539000.0,-98.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,83.31,84.9762,79.9776,True,Eligible,84.28,82.82,83.89,EOD EXIT,Neither target nor stop reached; exited at close,83.89,-0.5799999999999983,-0.6961949345816808
SIEMENS,3604.9,-2.13,3361750.0,1.22,,,,,,,,,78925.0,-92.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,3604.9,3676.998,3460.704,True,Eligible,3700.0,3609.9,3678.8,STOP LOSS HIT,Stop loss breached during replay range,3676.998,-72.09799999999996,-1.9999999999999987
BDL,1221.3,-0.28,6596000.0,1.52,,,,,,,,,241825.0,-93.13,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1221.3,1245.726,1172.448,True,Eligible,1289.9,1234.4,1274.4,STOP LOSS HIT,Stop loss breached during replay range,1245.726,-24.42600000000016,-2.000000000000013
PNBHOUSING,1073.8,-0.22,6561750.0,0.24,,,,,,,,,235950.0,-92.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_28_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1073.8,1095.276,1030.848,True,Eligible,1085.2,1051.4,1065.6,EOD EXIT,Neither target nor stop reached; exited at close,1065.6,8.200000000000045,0.7636431365244967
