Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,,0.06,0.06,0.06,0.06,0.06,,,,,,,,,,-59.63,-59.63,UNKNOWN,Sector_Summary_25AUG26_Report_10_8_2026.xlsx
LICI,404.05,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,1.98,51856000,3.93,3.93,3.93,3.93,3.93,,,,,,,,,6899200,263.69,263.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
ADANIGREEN,"1,371.2",-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,-0.12,27205200,1.28,1.28,1.28,1.28,1.28,,,,,,,,,949800,38.62,38.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
ADANIENSOL,1648,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,19079550,0.19,0.19,0.19,0.19,0.19,,,,,,,,,716850,5.15,5.15,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
BOSCHLTD,45205,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,3.44,230350,4.29,4.29,4.29,4.29,4.29,,,,,,,,,70700,-13.57,-13.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
PRESTIGE,"1,625.3",2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,2.31,5403600,1.38,1.38,1.38,1.38,1.38,,,,,,,,,229950,-54.86,-54.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
INDIGO,5251,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,-1.61,5434800,-0.04,-0.04,-0.04,-0.04,-0.04,,,,,,,,,125700,-59.63,-59.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
ADANIENT,"3,016.8",-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,-0.16,15781557,0.76,0.76,0.76,0.76,0.76,,,,,,,,,478950,-61.19,-61.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
ONGC,243.5,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,1.68,52962750,-0.41,-0.41,-0.41,-0.41,-0.41,,,,,,,,,2157750,-62.38,-62.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
HINDPETRO,388.5,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,-1.09,44418375,1.26,1.26,1.26,1.26,1.26,,,,,,,,,1281825,-64.2,-64.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_11_8_2026.xlsx
