Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,,1.42,1.42,1.42,1.42,1.42,,,,,,,,,,-92.57,-92.57,UNKNOWN,Sector_Summary_25AUG26_Report_6_8_2026.xlsx
HAL,"4,838.5",3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,3.69,5203350,0.78,0.78,0.78,0.78,0.78,,,,,,,,,538050,33.49,33.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
GVT&D,"4,286.3",-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,-1.6,2799375,3.94,3.94,3.94,3.94,3.94,,,,,,,,,546500,20.57,20.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
POLICYBZR,1640,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,9638650,2.57,2.57,2.57,2.57,2.57,,,,,,,,,868350,-21.46,-21.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
POWERINDIA,31935,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,-1.68,599925,1.59,1.59,1.59,1.59,1.59,,,,,,,,,38375,-30.67,-30.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
POWERGRID,273.35,-3.26,-3.26,-3.26,-3.26,-3.26,-3.26,-3.26,-3.26,-3.26,-3.26,-3.26,48491800,2.79,2.79,2.79,2.79,2.79,,,,,,,,,3505500,-33.82,-33.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
CUMMINSIND,"5,410.5",0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49,4546000,2.58,2.58,2.58,2.58,2.58,,,,,,,,,928600,-52.8,-52.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
KPITTECH,625.5,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,12562750,0.86,0.86,0.86,0.86,0.86,,,,,,,,,518475,-52.82,-52.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
BIOCON,427,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.16,48440000,0.64,0.64,0.64,0.64,0.64,,,,,,,,,3315000,-53.7,-53.7,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
TITAN,"4,987.7",1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,1.38,5311425,0.64,0.64,0.64,0.64,0.64,,,,,,,,,236425,-60.93,-60.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
SAIL,179.44,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,1.83,181025200,1.1,1.1,1.1,1.1,1.1,,,,,,,,,8765500,-65.79,-65.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
RELIANCE,"1,301.4",1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,1.51,107833500,-0.18,-0.18,-0.18,-0.18,-0.18,,,,,,,,,3740500,-72.1,-72.1,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
TECHM,1661,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,17206200,0.06,0.06,0.06,0.06,0.06,,,,,,,,,304200,-73.97,-73.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_6_8_2026.xlsx
