trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-13,2026-08-13T09:16:33.187597,360ONE,1150.3,1159.9,1140.7,1152.5,-,1152.5,,,,False,NONE,-0.23,-,8.69,-1.69
2026-08-13,2026-08-13T09:16:33.187597,ABB,7787.0,7790.0,7765.0,7777.0,-,7777.0,,,,False,NONE,0.45,-,-0.02,0
2026-08-13,2026-08-13T09:16:33.187597,ABCAPITAL,409.0,409.0,406.05,408.4,-,408.4,,,,False,NONE,0.21,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,ADANIENSOL,1618.9,1620.8,1609.0,1620.3,-,1620.3,,,,False,NONE,0.47,-,0.01,0
2026-08-13,2026-08-13T09:16:33.187597,ADANIENT,2983.0,3005.0,2983.0,3000.5,-,3000.5,,,,False,NONE,0.46,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,ADANIGREEN,1339.0,1345.5,1339.0,1343.1,-,1343.1,,,,False,NONE,0.53,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,ADANIPORTS,1664.4,1669.3,1664.4,1665.3,-,1665.3,,,,False,NONE,0.26,-,0.01,0
2026-08-13,2026-08-13T09:16:33.187597,ADANIPOWER,209.0,209.0,208.36,208.45,-,208.45,,,,False,NONE,0.23,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,ALKEM,5483.0,5483.0,5416.5,5459.0,-,5459.0,,,,False,NONE,0.04,-,0.01,0
2026-08-13,2026-08-13T09:16:33.187597,AMBER,7047.0,7059.5,7014.5,7014.5,-,7014.5,,,,False,NONE,0.01,-,-0.05,1.03
2026-08-13,2026-08-13T09:16:33.187597,AMBUJACEM,425.8,425.95,425.05,425.05,-,425.05,,,,False,NONE,0.11,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,ANGELONE,289.1,289.4,289.0,289.0,-,289.0,,,,False,NONE,0.12,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,APLAPOLLO,2009.5,2009.5,2003.0,2003.0,-,2003.0,,,,False,NONE,-0.13,-,0.02,0
2026-08-13,2026-08-13T09:16:33.187597,APOLLOHOSP,8740.0,8800.0,8715.0,8730.0,-,8730.0,,,,False,NONE,1.3,-,0.4,-1.89
2026-08-13,2026-08-13T09:16:33.187597,ASHOKLEY,177.5,180.75,177.5,179.68,-,179.68,,,,False,NONE,1.72,-,0.21,0
2026-08-13,2026-08-13T09:16:33.187597,ASIANPAINT,2730.0,2737.1,2724.4,2727.0,-,2727.0,,,,False,NONE,0.34,-,0.0,-1.54
2026-08-13,2026-08-13T09:16:33.187597,ASTRAL,1491.0,1539.6,1489.3,1537.8,-,1537.8,,,,False,NONE,5.6,-,0.52,2.9
2026-08-13,2026-08-13T09:16:33.187597,AUBANK,1096.0,1096.0,1088.4,1090.0,-,1090.0,,,,False,NONE,0.26,-,0.0,2.78
2026-08-13,2026-08-13T09:16:33.187597,AUROPHARMA,1665.0,1670.4,1665.0,1669.9,-,1669.9,,,,False,NONE,0.49,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,AXISBANK,1227.1,1228.0,1222.6,1226.3,-,1226.3,,,,False,NONE,-0.29,-,0.01,0
2026-08-13,2026-08-13T09:16:33.187597,BAJAJ-AUTO,11703.0,11750.0,11698.0,11717.0,-,11717.0,,,,False,NONE,-0.13,-,0.02,0
2026-08-13,2026-08-13T09:16:33.187597,BAJAJFINSV,2007.0,2017.1,2007.0,2017.1,-,2017.1,,,,False,NONE,-0.3,-,0.0,0
2026-08-13,2026-08-13T09:16:33.187597,BAJAJHLDNG,11703.0,11703.0,11599.0,11599.0,-,11599.0,,,,False,NONE,0.66,-,0.05,-0.88
2026-08-13,2026-08-13T09:16:33.187597,BAJFINANCE,1094.6,1096.6,1091.4,1093.0,-,1093.0,,,,False,NONE,-0.04,-,0.02,0
2026-08-13,2026-08-13T09:16:33.187597,BANDHANBNK,172.72,175.79,171.5,174.37,-,174.37,,,,False,NONE,-0.41,-,0.25,0
2026-08-13,2026-08-13T09:16:33.187597,BANKBARODA,251.4,251.4,248.55,249.8,-,249.8,,,,False,NONE,-0.52,-,0.06,0
2026-08-13,2026-08-13T09:16:33.187597,BANKEX,65299.95,65445.7,65299.95,65445.7,-,65445.7,,,,False,NONE,0.0,-,0.0,-1.19
2026-08-13,2026-08-13T09:16:33.187597,BANKINDIA,145.1,145.29,144.81,145.0,-,145.0,,,,False,NONE,-0.59,-,0.04,0
2026-08-13,2026-08-13T09:16:33.187597,BANKNIFTY,58099.0,58099.0,57856.2,57923.0,-,57923.0,,,,False,NONE,-0.15,-,0.03,0
2026-08-13,2026-08-13T09:16:33.187597,BDL,1338.6,1345.5,1338.6,1342.0,-,1342.0,,,,False,NONE,0.25,-,-0.01,0
2026-08-13,2026-08-13T09:16:33.187597,BEL,406.0,406.65,405.5,406.5,-,406.5,,,,False,NONE,0.25,-,0.0,0
