trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-18,2026-08-18T09:20:08.956457,360ONE,1176.4,1176.7,1170.6,1170.6,3.41,1170.6,40.11524,1216.5152400000002,1136.28476,False,NONE,-0.64,5.7,-0.04,0
2026-08-18,2026-08-18T09:20:08.956457,ABB,7698.5,7714.5,7693.0,7712.5,3.61,7712.5,277.91585,7976.41585,7420.58415,False,NONE,0.05,4.63,0.01,0
2026-08-18,2026-08-18T09:20:08.956457,ABCAPITAL,399.4,400.55,397.8,398.0,2.97,398.0,11.86218,411.26218,387.53781999999995,False,NONE,-0.43,0.73,0.05,0
2026-08-18,2026-08-18T09:20:08.956457,ADANIENSOL,1585.1,1600.8,1585.1,1599.3,4.08,1599.3,64.67208,1649.77208,1520.4279199999999,False,NONE,0.76,2.49,0.07,0
2026-08-18,2026-08-18T09:20:08.956457,ADANIENT,3015.0,3024.8,3014.3,3024.8,3.28,3024.8,98.892,3113.892,2916.108,False,NONE,-0.02,5.65,-0.02,0
2026-08-18,2026-08-18T09:20:08.956457,ADANIGREEN,1328.0,1331.0,1322.1,1328.2,3.71,1328.2,49.2688,1377.2688,1278.7312,False,NONE,-0.12,-0.3,-0.06,2.17
2026-08-18,2026-08-18T09:20:08.956457,ADANIPORTS,1692.2,1692.2,1680.3,1684.2,2.71,1684.2,45.85862,1738.05862,1646.34138,False,NONE,-0.5,3.67,0.1,0
2026-08-18,2026-08-18T09:20:08.956457,ADANIPOWER,203.8,205.53,203.8,205.53,4.33,205.53,8.82454,212.62454000000002,194.97546,False,NONE,0.37,5.37,-0.02,2.27
2026-08-18,2026-08-18T09:20:08.956457,ALKEM,5415.5,5444.5,5410.0,5436.0,3.14,5436.0,170.04670000000002,5585.5467,5245.4533,False,NONE,0.41,1.16,0.03,0
2026-08-18,2026-08-18T09:20:08.956457,AMBER,7297.0,7332.0,7278.5,7326.0,3.44,7326.0,251.0168,7548.0168,7045.9832,False,NONE,0.39,3.45,0.31,1.72
2026-08-18,2026-08-18T09:20:08.956457,AMBUJACEM,415.0,417.2,415.0,416.05,2.3,416.05,9.544999999999998,424.545,405.455,False,NONE,-0.37,-3.11,-0.01,0
2026-08-18,2026-08-18T09:20:08.956457,ANGELONE,290.0,292.4,288.7,288.85,3.77,288.85,10.933,300.933,279.067,False,NONE,-1.52,3.09,0.54,-2.13
2026-08-18,2026-08-18T09:20:08.956457,APLAPOLLO,2088.7,2093.0,2088.0,2091.6,2.46,2091.6,51.38201999999999,2140.08202,2037.3179799999998,False,NONE,-0.21,-9.44,-0.01,0
2026-08-18,2026-08-18T09:20:08.956457,APOLLOHOSP,8812.5,8847.5,8805.5,8838.5,2.13,8838.5,187.70625,9000.20625,8624.79375,False,NONE,-0.19,2.41,0.02,0
