trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-26,2026-08-26T09:21:32.137317,360ONE,1219.0,1225.9,1212.4,1225.8,6.35,1225.8,77.4065,1296.4065,1141.5935,False,NONE,1.12,-12.31,0.3,-4.29
2026-08-26,2026-08-26T09:21:32.137317,ABB,7705.0,7720.0,7661.5,7665.5,5.97,7665.5,459.9885,8164.9885,7245.0115,False,NONE,-0.33,0.32,0.36,-1.15
2026-08-26,2026-08-26T09:21:32.137317,ABCAPITAL,411.5,415.45,411.5,415.45,5.99,415.45,24.648850000000003,436.14885,386.85115,False,NONE,1.13,-0.93,-0.17,0
2026-08-26,2026-08-26T09:21:32.137317,ADANIENSOL,1614.9,1620.3,1595.6,1598.2,6.88,1598.2,111.10512,1726.00512,1503.7948800000001,False,NONE,0.31,4.57,0.1,-1.72
2026-08-26,2026-08-26T09:21:32.137317,ADANIENT,3128.4,3131.8,3112.7,3114.0,5.65,3114.0,176.75460000000004,3305.1546000000003,2951.6454,False,NONE,-0.18,-0.13,0.06,0
2026-08-26,2026-08-26T09:21:32.137317,ADANIGREEN,1348.0,1354.8,1335.9,1338.0,7.04,1338.0,94.89920000000001,1442.8992,1253.1008,False,NONE,-0.25,3.75,0.06,-1.23
2026-08-26,2026-08-26T09:21:32.137317,ADANIPORTS,1719.9,1726.0,1713.4,1716.3,4.63,1716.3,79.63137,1799.5313700000002,1640.26863,False,NONE,0.49,-0.79,0.44,0
2026-08-26,2026-08-26T09:21:32.137317,ADANIPOWER,209.2,211.19,208.0,209.23,6.66,209.23,13.93272,223.13271999999998,195.26728,False,NONE,0.36,0.78,0.07,-2.13
2026-08-26,2026-08-26T09:21:32.137317,ALKEM,5382.0,5385.0,5358.0,5380.5,4.98,5380.5,268.0236,5650.0236,5113.9764,False,NONE,0.21,-4.24,0.11,-1.69
2026-08-26,2026-08-26T09:21:32.137317,AMBER,7503.0,7507.5,7483.5,7490.5,6.23,7490.5,467.43690000000004,7970.4369,7035.5631,False,NONE,-0.16,1.39,0.12,-2.9
2026-08-26,2026-08-26T09:21:32.137317,AMBUJACEM,418.0,418.0,415.0,415.15,4.53,415.15,18.9354,436.9354,399.0646,False,NONE,0.07,-3.13,0.01,-1.15
2026-08-26,2026-08-26T09:21:32.137317,ANGELONE,304.0,306.0,303.1,305.9,8.06,305.9,24.5024,328.5024,279.4976,False,NONE,1.01,0.45,0.37,-5.32
2026-08-26,2026-08-26T09:21:32.137317,APLAPOLLO,2146.5,2146.5,2130.0,2141.5,4.71,2141.5,101.10015,2247.60015,2045.39985,False,NONE,-0.53,-0.67,0.32,0
2026-08-26,2026-08-26T09:21:32.137317,APOLLOHOSP,8858.0,8888.0,8825.0,8849.5,4.18,8849.5,370.26439999999997,9228.2644,8487.7356,False,NONE,-0.48,3.62,0.02,0
2026-08-26,2026-08-26T09:21:32.137317,ASHOKLEY,176.95,178.0,176.87,176.99,6.18,176.99,10.935509999999999,187.88550999999998,166.01449,False,NONE,0.61,-0.87,0.57,-1.06
2026-08-26,2026-08-26T09:21:32.137317,ASIANPAINT,2679.0,2691.0,2677.0,2687.5,4.6,2687.5,123.234,2802.234,2555.766,False,NONE,1.12,-1.78,0.39,4
2026-08-26,2026-08-26T09:21:32.137317,ASTRAL,1522.3,1522.3,1504.0,1506.1,5.72,1506.1,87.07555999999998,1609.37556,1435.22444,False,NONE,-0.82,-4.02,0.29,-1.61
2026-08-26,2026-08-26T09:21:32.137317,ATHERENERG,1455.0,1465.2,1455.0,1461.9,-,1461.9,,,,False,NONE,-,-,-,-
2026-08-26,2026-08-26T09:21:32.137317,AUBANK,1134.0,1134.5,1130.0,1133.5,5.24,1133.5,59.4216,1193.4216,1074.5784,False,NONE,-0.03,-4.52,0.19,-1.52
2026-08-26,2026-08-26T09:21:32.137317,AUROPHARMA,1629.9,1635.0,1619.4,1634.0,5.46,1634.0,88.99254,1718.89254,1540.9074600000001,False,NONE,0.37,-4.86,0.04,-1.25
2026-08-26,2026-08-26T09:21:32.137317,AXISBANK,1247.9,1255.0,1246.0,1250.3,4.02,1250.3,50.16558,1298.0655800000002,1197.73442,False,NONE,0.64,-2.76,0.1,1.2
2026-08-26,2026-08-26T09:21:32.137317,BAJAJ-AUTO,11944.0,11944.0,11885.0,11910.0,4.31,11910.0,514.7864,12458.7864,11429.2136,False,NONE,-0.34,-1.51,0.54,-2.83
2026-08-26,2026-08-26T09:21:32.137317,BAJAJFINSV,2026.6,2036.0,2026.6,2034.0,4.45,2034.0,90.1837,2116.7837,1936.4162999999999,False,NONE,0.77,-0.39,0.3,1.2
2026-08-26,2026-08-26T09:21:32.137317,BAJAJHLDNG,11197.0,11457.0,11197.0,11440.0,5.81,11440.0,650.5456999999999,11847.5457,10546.4543,False,NONE,1.52,3.22,0.09,-5.26
2026-08-26,2026-08-26T09:21:32.137317,BAJFINANCE,1093.0,1098.4,1091.9,1095.8,4.61,1095.8,50.3873,1143.3873,1042.6127,False,NONE,0.33,-2.94,0.15,0
2026-08-26,2026-08-26T09:21:32.137317,BANDHANBNK,175.6,176.65,175.6,176.3,7.24,176.3,12.71344,188.31343999999999,162.88656,False,NONE,1.1,-4.48,0.03,-1.11
2026-08-26,2026-08-26T09:21:32.137317,BANKBARODA,243.5,246.36,243.5,246.0,5.05,246.0,12.29675,255.79675,231.20325,False,NONE,1.18,0.68,-0.21,3.77
2026-08-26,2026-08-26T09:21:32.137317,BANKEX,65100.9,65234.45,65100.9,65176.65,0.7,65176.65,455.7063,65556.6063,64645.1937,False,NONE,0,5.95,0,9.8
2026-08-26,2026-08-26T09:21:32.137317,BANKINDIA,145.2,147.39,145.2,146.94,5.89,146.94,8.552279999999998,153.75227999999998,136.64772,False,NONE,1.44,4.16,0.11,-2.02
2026-08-26,2026-08-26T09:21:32.137317,BANKNIFTY,58010.0,58174.0,57900.0,58134.4,2.56,58134.4,1485.056,59495.056,56524.944,False,NONE,0.51,-4.03,-0.72,0
2026-08-26,2026-08-26T09:21:32.137317,BDL,1363.2,1367.5,1354.0,1354.0,7.04,1354.0,95.96928,1459.16928,1267.23072,False,NONE,-0.39,-2.77,0.2,0
2026-08-26,2026-08-26T09:21:32.137317,BEL,414.65,414.7,412.75,412.9,4.61,412.9,19.115365,433.765365,395.534635,False,NONE,-0.53,-1.26,0.09,-1.1
2026-08-26,2026-08-26T09:21:32.137317,BHARATFORG,2068.0,2068.0,2051.3,2053.0,5.46,2053.0,112.9128,2180.9128,1955.0872,False,NONE,-0.17,-5.38,0.07,0
2026-08-26,2026-08-26T09:21:32.137317,BHARTIARTL,1947.0,1957.7,1943.2,1945.4,3.67,1945.4,71.4549,2018.4549,1875.5451,False,NONE,-0.61,3.88,0.4,-1.39
2026-08-26,2026-08-26T09:21:32.137317,BHEL,421.1,423.35,418.9,418.9,6.59,418.9,27.75049,448.85049000000004,393.34951,False,NONE,-0.45,1.66,0.26,0
2026-08-26,2026-08-26T09:21:32.137317,BIOCON,419.7,419.7,417.65,419.4,4.77,419.4,20.019689999999997,439.71969,399.68030999999996,False,NONE,0.11,1.44,0.05,0
2026-08-26,2026-08-26T09:21:32.137317,BLUESTARCO,1500.0,1509.0,1492.9,1493.9,6.3,1493.9,94.5,1594.5,1405.5,False,NONE,-0.84,3,0.79,-2.22
2026-08-26,2026-08-26T09:21:32.137317,BOSCHLTD,49035.0,49035.0,48585.0,48710.0,5.04,48710.0,2471.364,51506.364,46563.636,False,NONE,-0.04,-3.08,-0.01,1.72
2026-08-26,2026-08-26T09:21:32.137317,BPCL,323.95,327.9,322.25,324.8,5.27,324.8,17.072165,341.022165,306.877835,False,NONE,1.23,4.91,-0.38,-1.14
2026-08-26,2026-08-26T09:21:32.137317,BRITANNIA,5399.0,5399.0,5368.0,5377.0,4.2,5377.0,226.75799999999998,5625.758,5172.242,False,NONE,-0.11,-5.88,0.03,0
2026-08-26,2026-08-26T09:21:32.137317,BSE,3346.1,3409.0,3343.0,3408.3,8.01,3408.3,268.02261,3614.12261,3078.07739,False,NONE,2.31,-1.38,-0.56,3.03
2026-08-26,2026-08-26T09:21:32.137317,CAMS,762.0,762.0,755.3,760.15,6.21,760.15,47.32019999999999,809.3202,714.6798,False,NONE,0.93,-0.44,-0.07,0
2026-08-26,2026-08-26T09:21:32.137317,CANBK,129.25,131.05,129.25,130.8,5.6,130.8,7.2379999999999995,136.488,122.012,False,NONE,1.59,0.13,-0.01,0.99
