trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-19,2026-08-19T09:20:08.642909,360ONE,1165.0,1165.0,1160.9,1164.9,2.83,1164.9,32.969500000000004,1197.9695,1132.0305,False,NONE,-0.41,0.34,-0.01,-1.85
2026-08-19,2026-08-19T09:20:08.642909,ABB,7546.0,7559.0,7485.5,7494.5,2.89,7494.5,218.07940000000002,7764.0794,7327.9206,False,NONE,-1.21,-0.96,0.01,0
2026-08-19,2026-08-19T09:20:08.642909,ABCAPITAL,401.6,401.7,397.6,398.0,2.65,398.0,10.6424,412.24240000000003,390.9576,False,NONE,-1.07,3.08,0.09,-1.37
2026-08-19,2026-08-19T09:20:08.642909,ADANIENSOL,1590.0,1590.0,1560.6,1565.4,3.83,1565.4,60.897,1650.897,1529.103,False,NONE,-2.44,11.53,0.41,-2.22
2026-08-19,2026-08-19T09:20:08.642909,ADANIENT,3005.0,3010.7,2993.9,2996.7,2.88,2996.7,86.544,3091.544,2918.456,False,NONE,-0.48,1.99,0.07,-1.64
2026-08-19,2026-08-19T09:20:08.642909,ADANIGREEN,1310.0,1310.0,1288.7,1298.0,3.25,1298.0,42.575,1352.575,1267.425,False,NONE,-1.13,9.97,0.03,0
2026-08-19,2026-08-19T09:20:08.642909,ADANIPORTS,1691.5,1691.5,1677.1,1679.3,2.25,1679.3,38.05875,1729.55875,1653.44125,False,NONE,-0.42,3.39,0,0
2026-08-19,2026-08-19T09:20:08.642909,ADANIPOWER,206.13,206.26,203.66,204.03,3.6,204.03,7.42068,213.55068,198.70932,False,NONE,-1.3,6.61,0.16,-2.13
2026-08-19,2026-08-19T09:20:08.642909,ALKEM,5420.0,5473.0,5420.0,5465.0,2.26,5465.0,122.49199999999999,5542.492,5297.508,False,NONE,-0.12,-0.77,0.16,0
2026-08-19,2026-08-19T09:20:08.642909,AMBER,7385.0,7385.0,7295.0,7330.0,2.97,7330.0,219.33450000000002,7604.3345,7165.6655,False,NONE,-0.66,9.24,-0.16,-1.64
2026-08-19,2026-08-19T09:20:08.642909,AMBUJACEM,410.6,411.3,408.9,409.4,2.17,409.4,8.910020000000001,419.51002,401.68998000000005,False,NONE,-0.67,-1.97,-0.01,0
