trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-20,2026-08-20T09:20:09.579250,360ONE,1190.4,1190.5,1186.7,1189.0,2.78,1189.0,33.09312,1223.49312,1157.30688,False,NONE,0.57,1,0.0,1.89
2026-08-20,2026-08-20T09:20:09.579250,ABB,7474.5,7474.5,7420.0,7424.5,2.22,7424.5,165.93390000000002,7640.4339,7308.5661,False,NONE,0.25,4.44,0.04,0
2026-08-20,2026-08-20T09:20:09.579250,ABCAPITAL,401.0,403.4,401.0,401.9,2.25,401.9,9.0225,410.0225,391.9775,False,NONE,1.09,5.02,0.02,1.43
2026-08-20,2026-08-20T09:20:09.579250,ADANIENSOL,1559.9,1561.7,1555.6,1558.2,3.29,1558.2,51.32071,1611.22071,1508.5792900000001,False,NONE,0.76,1.48,0.0,4.76
2026-08-20,2026-08-20T09:20:09.579250,ADANIENT,3008.0,3008.0,2989.6,2995.0,2.47,2995.0,74.2976,3082.2976,2933.7024,False,NONE,0.42,2.02,-0.11,0
2026-08-20,2026-08-20T09:20:09.579250,ADANIGREEN,1299.0,1301.2,1295.3,1299.7,2.9,1299.7,37.671,1336.671,1261.329,False,NONE,0.65,4.12,0.02,-2.13
2026-08-20,2026-08-20T09:20:09.579250,ADANIPORTS,1684.6,1685.8,1680.0,1680.2,1.96,1680.2,33.018159999999995,1717.61816,1651.5818399999998,False,NONE,0.14,3.22,0.03,0
2026-08-20,2026-08-20T09:20:09.579250,ADANIPOWER,205.0,205.3,204.0,204.3,2.52,204.3,5.166,210.166,199.834,False,NONE,0.44,2.95,0.03,0
2026-08-20,2026-08-20T09:20:09.579250,ALKEM,5401.5,5408.0,5393.5,5402.5,2.17,5402.5,117.21255,5518.71255,5284.28745,False,NONE,0.32,-3.73,0.02,0
2026-08-20,2026-08-20T09:20:09.579250,AMBER,7321.0,7321.0,7290.5,7301.5,2.66,7301.5,194.73860000000002,7515.7386,7126.2614,False,NONE,0.42,6.49,0.13,-1.67
2026-08-20,2026-08-20T09:20:09.579250,AMBUJACEM,408.25,409.75,408.1,409.35,2.03,409.35,8.287474999999999,416.537475,399.962525,False,NONE,0.68,0.43,-0.01,0
2026-08-20,2026-08-20T09:20:09.579250,ANGELONE,290.1,291.75,288.9,290.5,3.13,290.5,9.08013,299.18013,281.01987,False,NONE,0.12,2.06,0.75,0
2026-08-20,2026-08-20T09:20:09.579250,APLAPOLLO,2124.9,2143.1,2124.0,2137.9,3.76,2137.9,79.89623999999999,2204.79624,2045.00376,False,NONE,0.97,9.24,0.01,4.17
2026-08-20,2026-08-20T09:20:09.579250,APOLLOHOSP,8799.5,8799.5,8746.5,8759.5,1.52,8759.5,133.7524,8933.2524,8665.7476,False,NONE,0.23,13.22,0.0,-1.54
2026-08-20,2026-08-20T09:20:09.579250,ASHOKLEY,174.8,175.22,174.7,174.95,2.31,174.95,4.03788,178.83788,170.76212,False,NONE,0.67,0.75,0.08,0
2026-08-20,2026-08-20T09:20:09.579250,ASIANPAINT,2640.0,2641.2,2629.6,2631.4,1.91,2631.4,50.424,2690.424,2589.576,False,NONE,0.13,1.92,-0.03,0
2026-08-20,2026-08-20T09:20:09.579250,ASTRAL,1545.7,1545.8,1534.6,1536.8,2.12,1536.8,32.768840000000004,1578.46884,1512.93116,False,NONE,-0.25,1.15,0.01,0
2026-08-20,2026-08-20T09:20:09.579250,AUBANK,1074.1,1085.3,1074.1,1085.3,2.31,1085.3,24.811709999999998,1098.9117099999999,1049.28829,False,NONE,0.88,7,0.12,0
2026-08-20,2026-08-20T09:20:09.579250,AUROPHARMA,1629.0,1629.5,1623.6,1626.4,2.69,1626.4,43.820100000000004,1672.8201,1585.1799,False,NONE,0.44,1.76,0.1,4
2026-08-20,2026-08-20T09:20:09.579250,AXISBANK,1240.4,1247.4,1238.9,1246.0,1.67,1246.0,20.714679999999998,1261.1146800000001,1219.68532,False,NONE,0.63,0.66,0.03,1.72
2026-08-20,2026-08-20T09:20:09.579250,BAJAJ-AUTO,11700.0,11714.0,11658.0,11663.0,1.84,11663.0,215.28,11915.28,11484.72,False,NONE,0.21,9.36,0.13,-0.78
2026-08-20,2026-08-20T09:20:09.579250,BAJAJFINSV,2010.6,2031.0,2010.6,2029.4,1.9,2029.4,38.2014,2048.8014,1972.3986,False,NONE,1.2,6.02,0.13,0
2026-08-20,2026-08-20T09:20:09.579250,BAJAJHLDNG,11476.0,11476.0,11271.0,11356.0,2.36,11356.0,270.8336,11746.8336,11205.1664,False,NONE,0.58,45.41,0.02,0
2026-08-20,2026-08-20T09:20:09.579250,BAJFINANCE,1086.0,1103.7,1086.0,1101.1,2.15,1101.1,23.349,1109.349,1062.651,False,NONE,1.74,9.25,0.07,1.3
2026-08-20,2026-08-20T09:20:09.579250,BANDHANBNK,170.64,172.98,170.64,172.98,2.82,172.98,4.812047999999999,175.452048,165.82795199999998,False,NONE,2.39,33.74,0.05,0
2026-08-20,2026-08-20T09:20:09.579250,BANKBARODA,246.5,246.84,245.85,246.11,2.08,246.11,5.1272,251.6272,241.3728,False,NONE,0.26,3.03,0.06,0
2026-08-20,2026-08-20T09:20:09.579250,BANKEX,65066.75,65089.15,65038.85,65089.15,1.36,65089.15,884.9078000000002,65951.6578,64181.8422,False,NONE,0,-4.95,0.0,-1.06
2026-08-20,2026-08-20T09:20:09.579250,BANKINDIA,142.9,143.45,142.9,143.45,2.96,143.45,4.22984,147.12984,138.67016,False,NONE,1.14,0.24,-0.01,0
2026-08-20,2026-08-20T09:20:09.579250,BANKNIFTY,57588.2,57675.0,57520.0,57666.0,1.03,57666.0,593.15846,58181.358459999996,56995.04154,False,NONE,0.55,-8.37,-0.42,2.82
