trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-25,2026-08-25T09:20:09.083938,360ONE,1185.8,1194.9,1185.8,1194.9,1.67,1194.9,19.80286,1205.60286,1165.99714,False,NONE,-0.09,70.94,0.23,0.0
2026-08-25,2026-08-25T09:20:09.083938,ABB,7488.0,7495.5,7463.0,7477.5,0.96,7477.5,71.8848,7559.8848,7416.1152,False,NONE,-0.53,131.87,-0.07,0.0
2026-08-25,2026-08-25T09:20:09.083938,ABCAPITAL,408.0,411.75,408.0,411.35,0.79,411.35,3.2232,411.2232,404.7768,True,UP,-0.11,95.71,-3.4,1.32
2026-08-25,2026-08-25T09:20:09.083938,ADANIENSOL,1550.0,1550.0,1529.0,1536.9,1.44,1536.9,22.32,1572.32,1527.68,False,NONE,-0.75,103.89,-0.05,2.27
2026-08-25,2026-08-25T09:20:09.083938,ADANIENT,2977.0,2987.0,2967.4,2972.0,1.32,2972.0,39.296400000000006,3016.2964,2937.7036,False,NONE,-0.19,67.94,-0.03,0.0
2026-08-25,2026-08-25T09:20:09.083938,ADANIGREEN,1277.0,1300.8,1277.0,1299.7,1.62,1299.7,20.687400000000004,1297.6874,1256.3126,True,UP,-0.18,113.56,0.0,1.82
2026-08-25,2026-08-25T09:20:09.083938,ADANIPORTS,1676.0,1681.0,1673.8,1679.1,0.9,1679.1,15.084000000000001,1691.084,1660.916,False,NONE,0.16,89.57,0.0,3.92
2026-08-25,2026-08-25T09:20:09.083938,ADANIPOWER,201.82,202.79,201.3,202.0,1.28,202.0,2.583296,204.40329599999998,199.236704,False,NONE,-0.36,34.6,0.06,2.27
2026-08-25,2026-08-25T09:20:09.083938,ALKEM,5341.0,5351.0,5310.0,5310.0,1.3,5310.0,69.433,5410.433,5271.567,False,NONE,-0.43,103.46,0.07,0.0
2026-08-25,2026-08-25T09:20:09.083938,AMBER,7280.5,7346.0,7280.5,7335.5,1.23,7335.5,89.55014999999999,7370.05015,7190.94985,False,NONE,-0.42,67.34,-0.58,1.64
2026-08-25,2026-08-25T09:20:09.083938,AMBUJACEM,407.5,408.1,406.2,408.1,1.02,408.1,4.1565,411.6565,403.3435,False,NONE,0.1,42.5,-0.13,0.0
2026-08-25,2026-08-25T09:20:09.083938,ANGELONE,285.7,286.3,283.85,286.3,1.48,286.3,4.2283599999999995,289.92836,281.47164,False,NONE,0.03,108.74,-1.09,1.92
2026-08-25,2026-08-25T09:20:09.083938,APLAPOLLO,2144.0,2152.2,2142.7,2150.1,0.91,2150.1,19.5104,2163.5104,2124.4896,False,NONE,-0.01,55.64,-0.05,0.0
2026-08-25,2026-08-25T09:20:09.083938,APOLLOHOSP,8722.0,8722.0,8634.5,8654.5,0.8,8654.5,69.77600000000001,8791.776,8652.224,False,NONE,-0.13,99.09,-0.11,0.0
2026-08-25,2026-08-25T09:20:09.083938,ASHOKLEY,173.24,173.24,171.71,172.68,0.88,172.68,1.524512,174.764512,171.71548800000002,False,NONE,-0.05,90.16,-0.08,0.0
2026-08-25,2026-08-25T09:20:09.083938,ASIANPAINT,2620.0,2622.2,2615.1,2618.0,0.9,2618.0,23.58,2643.58,2596.42,False,NONE,-0.35,78.79,0.05,0.0
2026-08-25,2026-08-25T09:20:09.083938,ASTRAL,1520.2,1539.7,1520.2,1539.7,0.91,1539.7,13.833820000000001,1534.03382,1506.36618,True,UP,0.45,29.7,0.0,0.0
