trading_date,observation_timestamp,Symbol,Open,High,Low,Close,ATM Straddle %,current_price,opening_straddle_premium,upper_straddle_breakout_level,lower_straddle_breakout_level,standard_straddle_breakout,breakout_direction,Price Chg %,IV Chg %,OI Chg %,PCR Chg %
2026-08-27,2026-08-27T09:20:10.246693,BEL,412.9,413.2,410.8,412.2,4.71,412.2,19.447589999999998,432.34758999999997,393.45241,False,NONE,0.22,2.31,0.3,-3.41
2026-08-27,2026-08-27T09:20:10.246693,BHARATFORG,2027.1,2038.6,2027.1,2033.9,5.46,2033.9,110.67965999999998,2137.7796599999997,1916.42034,False,NONE,0.34,1.15,0.02,-1.16
2026-08-27,2026-08-27T09:20:10.246693,BHARTIARTL,1924.1,1925.9,1913.0,1918.1,3.6,1918.1,69.2676,1993.3675999999998,1854.8324,False,NONE,-0.34,-0.6,0.16,-1.49
2026-08-27,2026-08-27T09:20:10.246693,BHEL,419.9,427.35,419.9,425.8,6.41,425.8,26.915589999999998,446.81559,392.98440999999997,False,NONE,1.44,0.95,-0.19,1.47
2026-08-27,2026-08-27T09:20:10.246693,BIOCON,418.75,423.9,418.1,421.1,4.75,421.1,19.890625,438.640625,398.859375,False,NONE,0.35,2.97,0.1,0
2026-08-27,2026-08-27T09:20:10.246693,BLUESTARCO,1476.0,1483.2,1473.8,1482.7,6.39,1482.7,94.31639999999999,1570.3164,1381.6836,False,NONE,0.54,7.49,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,BOSCHLTD,49370.0,49370.0,48960.0,48980.0,4.68,48980.0,2310.5159999999996,51680.516,47059.484,False,NONE,-0.12,0.67,0.04,0
2026-08-27,2026-08-27T09:20:10.246693,BPCL,322.55,322.55,321.0,321.9,4.91,321.9,15.837205,338.387205,306.712795,False,NONE,0.17,0.44,0.07,0
2026-08-27,2026-08-27T09:20:10.246693,BRITANNIA,5332.5,5361.5,5324.5,5352.5,4.28,5352.5,228.23100000000002,5560.731,5104.269,False,NONE,0.03,3.19,0.09,-1.14
2026-08-27,2026-08-27T09:20:10.246693,BSE,3369.5,3403.0,3355.9,3396.3,7.39,3396.3,249.00605,3618.50605,3120.49395,False,NONE,0.98,-0.9,-0.31,1.56
