Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
PIDILITIND,"1,656.9",1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,1.03,7736000,0.06,0.06,0.06,0.06,0.06,,,,,,139500,-78.85,-78.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
POWERINDIA,32590,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,1.29,580900,0.23,0.23,0.23,0.23,0.23,,,,,,9150,-79.07,-79.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NAM-INDIA,"1,171.3",0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,7074375,0.35,0.35,0.35,0.35,0.35,,,,,,73125,-79.29,-79.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GRASIM,"3,151.1",-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,11822750,0.04,0.04,0.04,0.04,0.04,,,,,,117250,-79.85,-79.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BAJAJ-AUTO,11582,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,1914375,0.68,0.68,0.68,0.68,0.68,,,,,,52725,-80.03,-80.03,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CANBK,128.49,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,391014000,0,0,0,0,0,,,,,,5292000,-80.47,-80.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NATIONALUM,375.6,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,2.93,46515000,0.27,0.27,0.27,0.27,0.27,,,,,,2739375,-80.73,-80.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GODREJPROP,"2,074.5",-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,-0.32,7601750,0.56,0.56,0.56,0.56,0.56,,,,,,167050,-81.19,-81.19,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
RBLBANK,380.4,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,44996100,0.43,0.43,0.43,0.43,0.43,,,,,,831850,-81.21,-81.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NESTLEIND,"1,523.8",0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,8402500,0.56,0.56,0.56,0.56,0.56,,,,,,158000,-81.51,-81.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
COFORGE,"1,759.9",-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,-0.68,13769775,1.13,1.13,1.13,1.13,1.13,,,,,,376200,-81.58,-81.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
PAYTM,"1,419.9",0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,20249250,2.72,2.72,2.72,2.72,2.72,,,,,,2779650,-81.89,-81.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
NAUKRI,"1,276.1",1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,1.04,14070100,0.31,0.31,0.31,0.31,0.31,,,,,,178200,-82.67,-82.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
BLUESTARCO,"1,728.9",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3145025,0.8,0.8,0.8,0.8,0.8,,,,,,56550,-83.06,-83.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ADANIPORTS,1717,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,20869125,0.13,0.13,0.13,0.13,0.13,,,,,,254125,-83.41,-83.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HEROMOTOCO,"5,472.5",0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.85,4656150,0.7,0.7,0.7,0.7,0.7,,,,,,107850,-83.63,-83.63,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
HINDZINC,557.85,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,1.55,29707475,-0.1,-0.1,-0.1,-0.1,-0.1,,,,,,617400,-83.82,-83.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
ASTRAL,"1,460.5",0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,7121300,0.14,0.14,0.14,0.14,0.14,,,,,,121550,-84.57,-84.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
OBEROIRLTY,1825,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,-0.63,5441100,0.28,0.28,0.28,0.28,0.28,,,,,,51450,-84.66,-84.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
MFSL,"1,533.5",-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,-0.15,9638000,0.1,0.1,0.1,0.1,0.1,,,,,,98800,-85.18,-85.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
CGPOWER,869.4,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,20254650,-0.06,-0.06,-0.06,-0.06,-0.06,,,,,,469200,-85.26,-85.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
COLPAL,"2,045.7",-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,-1.16,4971725,1.24,1.24,1.24,1.24,1.24,,,,,,104775,-85.53,-85.53,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
IDFCFIRSTB,85.65,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,0.86,357180250,0.09,0.09,0.09,0.09,0.09,,,,,,4294325,-86.21,-86.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
TVSMOTOR,4368,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,9291975,0.49,0.49,0.49,0.49,0.49,,,,,,145600,-86.72,-86.72,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
GODREJCP,"1,067.9",-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,10951000,0.92,0.92,0.92,0.92,0.92,,,,,,174500,-86.87,-86.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_4_8_2026.xlsx
