Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Price,Price Chg%,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price chg (%),Volume chg (%),OI chg (%),Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg (%)
ADANIGREEN,9.18,1420.0,1426.5,1412.1,1418.4,16.7,1.19,1.85,4.82,439.0,1.71,-0.04,-8.33,807,12.86,94,3.15,-713,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,9.16,7247.0,7343.5,7247.0,7330.0,92.5,1.28,0.49,1.31,196.0,2.14,-0.02,-2.3,93,2.89,-2,-0.07,-95,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,7.32,427.55,433.9,425.4,432.4,5.9,1.38,1.27,4.45,508.0,1.33,-0.02,-2.38,46,1.54,-5,-0.2,-51,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,7.69,154.98,155.38,154.0,154.07,1.92,1.26,0.5,1.5,301.0,1.61,0.02,2.06,31,0.7,117,2.73,86,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,6.16,2665.2,2732.7,2665.2,2725.0,67.8,2.55,0.74,2.82,348.0,1.87,0.02,2.67,214,6.8,207,8.76,-7,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,7.0,1439.0,1439.9,1422.4,1432.0,14.7,1.04,-1.34,-4.19,159.0,1.16,0.03,2.83,-29,-1.71,18,1.0,47,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,6.31,1029.0,1055.0,1026.6,1043.7,32.9,3.25,-2.88,-9.28,1117.0,6.79,-0.21,-20.59,571,32.57,91,5.1,-480,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,5.79,1900.0,1913.4,1896.6,1910.0,26.1,1.39,0.3,1.18,285.0,1.44,-0.09,-8.91,309,12.44,64,2.56,-245,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,6.8,1038.0,1044.9,1035.0,1042.0,21.8,2.14,1.32,4.64,946.0,1.6,0.01,1.25,232,3.11,245,4.09,13,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,9.39,168.8,169.75,166.01,168.79,3.33,2.01,0.54,1.32,510.0,1.87,0.01,1.82,-244,-1.52,-48,-0.54,196,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,7.53,1764.8,1794.5,1760.7,1777.2,42.3,2.44,-0.86,-2.77,594.0,4.41,0.04,4.82,35,4.42,63,9.6,28,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFORGE,9.44,1499.9,1519.5,1490.9,1514.6,30.3,2.04,2.6,6.7,760.0,3.14,0.0,0.0,230,5.43,133,4.8,-97,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,7.22,2100.0,2135.8,2100.0,2129.9,29.8,1.42,1.0,3.61,174.0,1.62,-0.01,-1.92,47,1.84,0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,6.3,428.85,430.9,426.65,429.75,4.55,1.07,1.3,4.88,625.0,4.11,-0.04,-5.26,123,5.66,-2,-0.12,-125,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETERNAL,7.75,283.3,288.3,283.3,288.15,6.35,2.25,0.71,2.14,670.0,1.61,0.01,2.04,-85,-0.76,34,0.62,119,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,6.16,171.99,173.4,171.08,172.85,2.19,1.28,0.63,2.36,248.0,1.59,0.0,0.0,-13,-0.52,3,0.12,16,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODFRYPHLP,9.03,2109.0,2164.0,2109.0,2153.8,53.1,2.53,2.97,8.32,104.0,2.32,0.04,8.16,3,0.53,22,7.97,19,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAVELLS,6.83,1247.0,1254.8,1242.0,1251.3,17.1,1.39,0.19,0.71,514.0,3.91,-0.01,-1.37,121,5.44,55,3.37,-66,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCLTECH,6.32,1289.8,1295.0,1278.0,1295.0,23.9,1.88,1.35,5.03,661.0,1.26,0.0,0.0,191,2.46,182,3.11,-9,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HEROMOTOCO,6.61,5064.0,5097.6,5058.1,5083.8,51.8,1.03,-0.14,-0.47,590.0,2.58,0.02,3.51,88,1.64,138,4.48,50,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDUNILVR,4.99,2169.0,2193.3,2166.3,2185.3,27.6,1.28,0.69,3.23,947.0,2.59,0.03,3.75,-31,-0.54,125,2.7,156,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIPRULI,6.89,505.5,511.0,505.5,510.05,6.1,1.21,0.57,2.05,513.0,3.48,0.02,2.9,-43,-2.41,4,0.32,47,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDFCFIRSTB,6.89,87.28,89.1,86.2,87.01,5.78,7.12,-0.46,-1.49,3980.0,16.84,-0.02,-2.78,1793,52.97,1166,47.59,-627,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEX,9.55,125.6,128.28,125.6,126.55,1.44,1.15,0.67,2.18,101.0,1.27,0.0,0.0,106,5.27,94,5.01,-12,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDHOTEL,5.17,736.0,742.0,735.5,739.0,8.55,1.17,0.63,2.83,396.0,2.68,0.0,0.0,32,2.14,22,1.87,-10,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIGO,6.46,5170.0,5195.5,5150.0,5195.5,175.5,3.5,-1.53,-5.12,514.0,1.7,-0.01,-1.1,-54,-0.87,-118,-2.08,-64,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INFY,6.63,1062.0,1077.6,1056.9,1076.2,35.7,3.43,-0.7,-2.35,4593.0,2.67,0.0,0.0,-574,-1.64,-147,-0.55,427,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INOXWIND,10.2,77.94,78.55,77.94,78.24,1.06,1.37,4.66,11.3,298.0,3.15,-0.02,-2.6,22,1.41,-7,-0.58,-29,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IOC,6.09,139.68,141.23,139.61,139.77,1.59,1.15,-0.19,-0.7,522.0,2.35,0.05,5.49,42,1.39,172,6.21,130,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IREDA,7.68,117.06,117.78,116.71,117.4,1.29,1.11,-2.77,-7.6,182.0,1.59,-0.01,-1.05,-14,-0.5,-46,-1.71,-32,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRFC,7.9,87.06,87.75,87.0,87.55,0.99,1.14,0.25,0.8,130.0,1.16,-0.01,-1.16,78,1.7,-13,-0.33,-91,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITC,4.95,285.9,290.55,285.7,288.75,3.4,1.19,0.81,3.85,1735.0,2.95,0.0,0.0,256,1.45,297,2.23,41,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JINDALSTEL,6.3,1061.6,1063.7,1045.2,1055.7,14.7,1.41,-3.12,-10.33,322.0,2.81,0.02,3.64,196,18.53,135,23.2,-61,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUBLFOOD,9.0,422.0,424.8,419.8,424.0,7.6,1.83,-0.12,-0.35,99.0,1.01,0.02,2.2,-95,-3.34,-38,-1.47,57,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report1_2026-07-27.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
