Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern
IDFCFIRSTB,88.39,8.81,253328075.0,15.56,,,,,,,,,67772425.0,-26.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
AUBANK,1036.4,2.53,17412000.0,5.87,,,,,,,,,2487000.0,-76.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
LAURUSLABS,1657.7,2.81,12892800.0,2.59,,,,,,,,,974100.0,-88.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
TATACONSUM,1122.8,2.6,10964800.0,2.2,,,,,,,,,530750.0,-91.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
KFINTECH,877.15,2.9,3016450.0,2.52,,,,,,,,,243225.0,-91.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
PGEL,583.75,1.41,5717100.0,2.52,,,,,,,,,289750.0,-92.99,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
JINDALSTEL,1057.5,1.59,7295000.0,1.89,,,,,,,,,253750.0,-91.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
BANKINDIA,143.33,-0.1,53107600.0,3.69,,,,,,,,,4513600.0,-82.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup
IEX,127.67,2.05,34730400.0,0.66,,,,,,,,,1135350.0,-95.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
LODHA,1110.6,1.19,11222500.0,1.16,,,,,,,,,503125.0,-92.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
ITC,288.85,1.23,102145875.0,0.8,,,,,,,,,2335650.0,-94.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
CHOLAFIN,1763.1,1.63,8573750.0,1.87,,,,,,,,,240000.0,-95.47,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
