Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
ADANIENT,3059.3,0.63,9555825.0,0.11,,,,,,,,,62418.0,-98.62,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3059.3,,
IDEA,13.33,0.76,3634575225.0,0.32,,,,,,,,,18654975.0,-98.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,13.33,,
VEDL,266.9,0.39,22970100.0,0.64,,,,,,,,,257600.0,-98.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,266.9,,
SUZLON,52.7,0.46,289509200.0,0.2,,,,,,,,,2171700.0,-98.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,52.7,,
HAL,4601.3,0.16,3155250.0,0.3,,,,,,,,,22200.0,-98.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4601.3,,
SRF,2665.9,0.63,3256600.0,0.19,,,,,,,,,22400.0,-98.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2665.9,,
SIEMENS,3684.4,0.63,2667175.0,0.28,,,,,,,,,18725.0,-98.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3684.4,,
TATAPOWER,378.0,0.37,28849200.0,0.24,,,,,,,,,143550.0,-98.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,378.0,,
ABCAPITAL,398.7,0.77,24018800.0,0.26,,,,,,,,,176700.0,-98.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,398.7,,
CAMS,769.95,0.72,4680225.0,0.59,,,,,,,,,47850.0,-98.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,769.95,,
DELHIVERY,467.55,0.66,13298675.0,0.38,,,,,,,,,107900.0,-98.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,467.55,,
PETRONET,277.0,0.45,19431300.0,0.42,,,,,,,,,165300.0,-98.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,277.0,,
NATIONALUM,346.3,0.03,26660625.0,0.35,,,,,,,,,198750.0,-98.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,346.3,,
MCX,2746.8,0.42,4549275.0,0.52,,,,,,,,,40275.0,-98.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2746.8,,
DIXON,13732.0,0.39,1542950.0,0.37,,,,,,,,,13100.0,-98.68,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,13732.0,,
BSE,3585.0,0.39,4374000.0,0.32,,,,,,,,,26600.0,-98.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3585.0,,
MFSL,1532.1,0.38,5168800.0,0.37,,,,,,,,,39600.0,-98.82,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1532.1,,
ASTRAL,1430.1,0.9,5828025.0,0.28,,,,,,,,,58225.0,-98.83,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1430.1,,
IRFC,87.25,0.8,60868500.0,0.13,,,,,,,,,493675.0,-98.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,87.25,,
ADANIPOWER,216.53,0.75,83435650.0,0.31,,,,,,,,,582200.0,-98.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,216.53,,
JIOFIN,237.0,0.62,109925950.0,0.27,,,,,,,,,643900.0,-98.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,237.0,,
MOTHERSON,147.67,0.94,70097700.0,0.2,,,,,,,,,442800.0,-98.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,147.67,,
HDFCLIFE,558.35,0.1,27489000.0,0.24,,,,,,,,,139700.0,-98.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,558.35,,
JSWENERGY,555.6,0.08,15227375.0,0.28,,,,,,,,,67725.0,-99.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,555.6,,
MANKIND,2545.1,0.8,1848000.0,0.04,,,,,,,,,11000.0,-99.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_27_7_2026.xlsx,0,SELL,,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2545.1,,
