Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
NESTLEIND,1492.9,37.7,11683500.0,6.93,,,,,,,,,8634000.0,365.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion,Fresh Long Buildup,80,HIGH,BUY,VALID BUY,LOW,1492.9,1463.0420000000001,1552.6160000000002
NTPC,350.0,1.55,125973000.0,3.26,,,,,,,,,9421500.0,62.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion,Fresh Long Buildup,80,HIGH,BUY,VALID BUY,LOW,350.0,343.0,364.0
ASTRAL,1408.7,10.8,7950475.0,2.36,,,,,,,,,1047625.0,-10.91,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1408.7,1380.526,1465.048
PIDILITIND,1590.0,10.1,7053000.0,2.31,,,,,,,,,574500.0,-49.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1590.0,1558.2,1653.6000000000001
TVSMOTOR,3909.2,114.6,12780600.0,2.81,,,,,,,,,2360050.0,-30.0,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,3909.2,3831.0159999999996,4065.5679999999998
DIVISLAB,7351.0,36.0,3817100.0,2.18,,,,,,,,,391700.0,-22.89,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,7351.0,7203.98,7645.04
GODREJCP,1065.8,11.4,10664500.0,2.19,,,,,,,,,930500.0,-1.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1065.8,1044.484,1108.432
INDUSINDBK,1067.05,2.2,34802600.0,4.92,,,,,,,,,7400400.0,-3.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1067.05,1045.7089999999998,1109.732
BAJAJ-AUTO,10982.0,534.5,2585850.0,2.77,,,,,,,,,1464150.0,6.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,10982.0,10762.36,11421.28
HINDUNILVR,2158.6,15.3,18159900.0,0.21,,,,,,,,,1487400.0,83.22,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,2158.6,2115.428,2244.944
TATACONSUM,1093.5,9.6,15045250.0,0.88,,,,,,,,,1652200.0,139.94,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,1093.5,1071.6299999999999,1137.24
PIIND,2690.0,8.6,2895725.0,-0.9,,,,,,,,,491575.0,134.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_22_7_2026.xlsx,35,NEUTRAL,Positive Price Momentum; Volume Expansion,Short Covering,70,MEDIUM,BUY,WATCH,MEDIUM,2690.0,2636.2,2797.6
