Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-1.78,-1.78,-1.78,-1.78,-1.78,,2.83,2.83,,,,,,,,,,-84.99,-84.99,UNKNOWN,Sector_Summary_25AUG26_Report_3_8_2026.xlsx
IOC,144.39,3.43,3.43,3.43,3.43,3.43,147078750,-0.11,-0.11,,,,,,,,,9013875,1.87,1.87,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
DRREDDY,1170,1.87,1.87,1.87,1.87,1.87,13777500,-0.36,-0.36,,,,,,,,,1103750,-22.58,-22.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
MUTHOOTFIN,2827,-9.93,-9.93,-9.93,-9.93,-9.93,7728875,5.36,5.36,,,,,,,,,1376650,-23.96,-23.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
DIVISLAB,8212,1.57,1.57,1.57,1.57,1.57,3746000,5.06,5.06,,,,,,,,,491200,-40.02,-40.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
ITC,289.8,2.84,2.84,2.84,2.84,2.84,157000875,-0.84,-0.84,,,,,,,,,9228750,-54.37,-54.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
ABB,7275,-0.12,-0.12,-0.12,-0.12,-0.12,2205375,0.91,0.91,,,,,,,,,486500,-61.32,-61.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
CDSL,"1,350.7",1.17,1.17,1.17,1.17,1.17,10010150,0.89,0.89,,,,,,,,,526775,-63.89,-63.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
GLENMARK,2217,-1.1,-1.1,-1.1,-1.1,-1.1,11658375,1.16,1.16,,,,,,,,,459375,-64.17,-64.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
MANAPPURAM,369.1,-1.18,-1.18,-1.18,-1.18,-1.18,54336000,1.91,1.91,,,,,,,,,2904000,-67.49,-67.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
MARUTI,14100,-0.18,-0.18,-0.18,-0.18,-0.18,2117950,2.5,2.5,,,,,,,,,272150,-68.11,-68.11,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
INDIGO,5340,2.86,2.86,2.86,2.86,2.86,5402400,0.19,0.19,,,,,,,,,213750,-70.27,-70.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
NHPC,79.72,1.09,1.09,1.09,1.09,1.09,118580900,-0.02,-0.02,,,,,,,,,1654100,-71.9,-71.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
SENSEX,78900.05,0.7,0.7,0.7,0.7,0.7,35780,0.39,0.39,,,,,,,,,4140,-75.42,-75.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
JINDALSTEL,1123,1.48,1.48,1.48,1.48,1.48,12891250,1.06,1.06,,,,,,,,,325625,-77.3,-77.3,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
IREDA,120,2.15,2.15,2.15,2.15,2.15,65508425,-0.61,-0.61,,,,,,,,,1217225,-78.29,-78.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_3_8_2026.xlsx
