Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
AXISBANK,3.85,1246.0,1246.0,1230.2,1240.5,5.3,0.43,0.32,1.67,26.0,0.02,0.01,1.45,-129.0,-0.41,53.0,0.24,182,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,4.38,11606.0,11606.0,11488.0,11503.0,-43,-0.37,0.88,4.12,82.0,0.32,-0.02,-1.27,181.0,1.37,27.0,0.13,-154,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,4.43,2049.0,2074.8,2048.1,2073.8,37.6,1.85,1.74,8.42,63.0,0.22,0.0,0.0,167.0,0.83,279.0,1.82,112,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,6.13,11352.0,11425.0,11320.0,11356.0,-50,-0.44,0.53,1.86,47.0,1.03,0.0,0.0,-19.0,-1.69,-2.0,-0.34,17,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,5.19,1175.0,1179.9,1158.3,1174.0,29.2,2.55,1.57,6.5,664.0,0.83,0.03,2.75,603.0,2.18,1463.0,4.87,860,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,7.04,174.0,174.99,174.0,174.61,1.07,0.62,1.82,5.29,-14.0,-0.04,0.0,0.0,8.0,0.05,25.0,0.28,17,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,5.04,245.1,246.9,245.1,245.91,2.01,0.82,0.94,3.8,31.0,0.07,0.0,0.0,-26.0,-0.2,-4.0,-0.03,22,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,2.74,65125.0,65125.0,65125.0,65125.0,-,-,0.51,4.15,0.0,0.0,0.01,0.85,3.0,1.22,5.0,1.73,2,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,6.12,139.74,140.5,139.6,140.28,1.94,1.4,1.74,5.87,-40.0,-0.21,0.01,1.22,-139.0,-2.01,-18.0,-0.32,121,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKNIFTY,2.45,57750.2,57799.0,57712.4,57750.0,324.8,0.57,0.03,0.24,572.0,0.81,0.0,0.0,1492.0,0.39,1242.0,0.38,-250,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,8.3,1240.0,1253.0,1240.0,1250.8,14.7,1.19,2,5.15,-42.0,-0.25,0.0,0.0,-1.0,-0.02,-7.0,-0.16,-6,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEL,4.73,392.2,393.5,391.3,392.35,2.55,0.65,1.11,4.82,38.0,0.05,0.0,0.0,8.0,0.02,-61.0,-0.26,-69,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARATFORG,6.31,2220.9,2230.7,2213.8,2224.1,12.6,0.57,1.41,4.56,30.0,0.2,0.0,0.0,19.0,0.49,-5.0,-0.15,-24,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARTIARTL,4.09,1987.8,1987.8,1972.0,1972.4,-4.1,-0.21,1.24,6.41,150.0,0.13,0.0,0.0,227.0,1.47,240.0,1.97,13,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHEL,6.69,411.1,411.95,409.35,411.6,2.5,0.61,1.47,4.49,6.0,0.02,0.0,0.0,13.0,0.12,42.0,0.66,29,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIOCON,6.03,428.75,428.85,425.15,426.5,-0.8,-0.19,1.79,6.22,19.0,0.1,-0.01,-1.35,70.0,1.22,6.0,0.14,-64,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTARCO,7.45,1688.5,1704.0,1683.3,1704.0,25.5,1.52,3.62,10.58,1.0,0.01,0.0,0.0,3.0,0.28,6.0,0.53,3,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOSCHLTD,6.33,41155.0,41355.0,41150.0,41295.0,265,0.65,1.1,3.82,-2.0,-0.02,0.0,0.0,-4.0,-0.17,6.0,0.2,10,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPCL,5.48,326.25,328.8,326.0,327.8,6.65,2.07,1.73,6.68,79.0,0.38,0.0,0.0,-123.0,-2.64,-67.0,-1.98,56,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRITANNIA,5.53,5448.0,5465.0,5430.0,5439.5,13.5,0.25,1.9,7.48,-12.0,-0.08,0.0,0.0,-14.0,-0.23,-9.0,-0.25,5,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSE,7.92,3672.0,3677.5,3647.6,3663.0,8.3,0.23,2.05,5.47,411.0,0.98,-0.02,-2.33,388.0,1.86,54.0,0.3,-334,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS,7.08,807.0,811.2,803.5,807.5,9.25,1.16,2.09,6.26,3.0,0.04,-0.03,-4.29,81.0,3.19,1.0,0.06,-80,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CANBK,5.77,126.3,126.5,125.88,125.94,0.66,0.53,1.09,3.87,50.0,0.08,0.0,0.0,75.0,0.61,21.0,0.24,-54,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDSL,6.36,1339.6,1357.0,1333.3,1350.7,15.6,1.17,-0.53,-1.65,186.0,0.89,0.0,0.0,709.0,6.46,484.0,5.96,-225,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGPOWER,6.3,867.95,875.0,865.35,865.55,-2.4,-0.28,1.51,4.84,63.0,0.27,0.0,0.0,81.0,0.77,1.0,0.02,-80,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOLAFIN,6.33,1889.4,1907.6,1883.2,1906.5,49.5,2.67,1.65,5.55,259.0,1.27,0.01,1.3,-26.0,-0.54,45.0,1.21,71,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIPLA,3.89,1481.1,1482.9,1467.6,1469.7,-6,-0.41,0.99,5.29,24.0,0.11,0.0,0.0,27.0,0.29,29.0,0.41,2,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COALINDIA,4.04,416.1,416.3,414.45,415.5,0.15,0.04,0.83,4.21,-18.0,-0.03,-0.01,-1.39,138.0,0.63,-128.0,-0.8,-266,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,5.85,1435.0,1444.4,1432.8,1437.0,7.6,0.53,1.44,5.03,-75.0,-0.54,0.01,1.11,-31.0,-0.82,-5.0,-0.15,26,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFORGE,6.75,1740.0,1748.8,1728.8,1729.6,4,0.23,2.17,6.69,81.0,0.28,0.0,0.0,22.0,0.16,37.0,0.29,15,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COLPAL,4.64,2084.9,2095.0,2079.0,2088.1,9.3,0.45,1.01,4.56,-24.0,-0.14,0.0,0.0,-8.0,-0.09,6.0,0.13,14,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCOR,5.02,526.2,531.0,526.2,528.7,3.4,0.65,0.61,2.52,12.0,0.07,0.0,0.0,3.0,0.08,1.0,0.03,-2,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROMPTON,7.53,264.45,265.1,262.7,264.1,2.5,0.96,1.96,5.23,0.0,0.0,0.0,0.0,-16.0,-0.27,0.0,0.0,-,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUMMINSIND,6.93,5569.0,5570.0,5540.0,5545.0,-4,-0.07,1.59,4.77,20.0,0.1,0.01,1.22,5.0,0.15,11.0,0.41,6,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DABUR,4.6,424.1,425.6,422.1,424.75,2.3,0.54,1.07,4.84,-24.0,-0.1,0.0,0.0,-109.0,-0.86,-39.0,-0.5,70,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-08-03.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
