candidate_id,kind,factor_count,factors,states,all_n,all_good_n,all_bad_n,all_rate,all_dates,all_symbols,train_n,train_good_n,train_bad_n,train_rate,train_dates,train_symbols,holdout_n,holdout_good_n,holdout_bad_n,holdout_rate,holdout_dates,holdout_symbols,top_holdout_date_share,top_holdout_symbol_share,frozen_final_gate_pass,status
V8_PLUS_TRAJECTORY|orb_agree=NO|magnitude_count_band=0|px_all_negative_pre_maturity=True,V8_PLUS_TRAJECTORY,3,orb_agree|magnitude_count_band|px_all_negative_pre_maturity,NO|0|True,247,129,118,0.5222672064777328,14,74,118,36,82,0.3050847457627119,9,34,129,93,36,0.7209302325581395,5,45,0.7286821705426356,0.0465116279069767,False,HOLDOUT_RESEARCH
V8_PLUS_TRAJECTORY|orb_price_agree=NO|magnitude_count_band=0|px_all_negative_pre_maturity=True,V8_PLUS_TRAJECTORY,3,orb_price_agree|magnitude_count_band|px_all_negative_pre_maturity,NO|0|True,247,129,118,0.5222672064777328,14,74,118,36,82,0.3050847457627119,9,34,129,93,36,0.7209302325581395,5,45,0.7286821705426356,0.0465116279069767,False,HOLDOUT_RESEARCH
