Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
TCS,"2,280.1",-0.38,-0.38,-0.38,-0.38,-0.38,31063950,0.32,0.32,,,,,,,,,1405350,0.05,0.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
AMBUJACEM,406.95,-1.26,-1.26,-1.26,-1.26,-1.26,84997200,-0.12,-0.12,,,,,,,,,2762400,-0.56,-0.56,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
NTPC,335.2,-0.86,-0.86,-0.86,-0.86,-0.86,96615000,0.4,0.4,,,,,,,,,6718500,-2.61,-2.61,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BAJFINANCE,"1,082.8",-0.97,-0.97,-0.97,-0.97,-0.97,52503750,0.35,0.35,,,,,,,,,3108750,-2.9,-2.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
CONCOR,513.55,-1.33,-1.33,-1.33,-1.33,-1.33,22153750,-0.01,-0.01,,,,,,,,,1145000,-3.17,-3.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
COFORGE,"1,807.8",1.74,1.74,1.74,1.74,1.74,13645325,0.65,0.65,,,,,,,,,1638750,-6.02,-6.02,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
PETRONET,289.45,1.6,1.6,1.6,1.6,1.6,29558300,0.85,0.85,,,,,,,,,2527000,-8.97,-8.97,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
IRFC,85.2,-0.91,-0.91,-0.91,-0.91,-0.91,93885050,0.87,0.87,,,,,,,,,8153775,-10.22,-10.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
GODFRYPHLP,2125,0.67,0.67,0.67,0.67,0.67,1734425,0.57,0.57,,,,,,,,,132275,-10.59,-10.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
RVNL,222.28,-1,-1,-1,-1,-1,37133250,0.15,0.15,,,,,,,,,2727725,-10.94,-10.94,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
MOTHERSON,170.96,0.51,0.51,0.51,0.51,0.51,120669150,1.5,1.5,,,,,,,,,13456200,-11.85,-11.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
BRITANNIA,5515,0.25,0.25,0.25,0.25,0.25,2073875,6.69,6.69,,,,,,,,,211375,-13.86,-13.86,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx
