Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
NAM-INDIA,1193.6,1.36,8407500.0,18.55,,,,,,,,,1617500.0,102.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,55,NEUTRAL,Positive Price Momentum; Fresh OI Buildup; Volume Expansion
POLICYBZR,1775.5,1.34,8055250.0,2.09,,,,,,,,,638750.0,-29.45,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
PAYTM,1596.0,2.72,16927300.0,5.18,,,,,,,,,3312525.0,-54.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
MIDCPNIFTY,14880.65,0.05,1951080.0,10.68,,,,,,,,,262560.0,61.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,35,NEUTRAL,Fresh OI Buildup; Volume Expansion
MARICO,853.65,0.89,16402800.0,2.15,,,,,,,,,1290000.0,61.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,35,NEUTRAL,Fresh OI Buildup; Volume Expansion
PIDILITIND,1664.5,-0.19,5714000.0,4.23,,,,,,,,,682000.0,55.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,35,NEUTRAL,Fresh OI Buildup; Volume Expansion
YESBANK,22.65,0.53,1133439500.0,6.09,,,,,,,,,113826000.0,64.57,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,35,NEUTRAL,Fresh OI Buildup; Volume Expansion
BLUESTARCO,1487.5,-0.29,5585125.0,15.5,,,,,,,,,994825.0,111.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,35,NEUTRAL,Fresh OI Buildup; Volume Expansion
JINDALSTEL,1116.5,1.32,13604375.0,-0.52,,,,,,,,,1059375.0,29.0,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,20,SELL,Positive Price Momentum
UPL,568.5,1.53,35284200.0,0.72,,,,,,,,,2325180.0,3.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_19_8_2026_112906.xlsx,20,SELL,Positive Price Momentum
