Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
BPCL,318.8,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,38153050,0.37,0.37,0.37,0.37,0.37,,,,,,,,,436475,-93.08,-93.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MARICO,880.4,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,-0.49,14198400,1.68,1.68,1.68,1.68,1.68,,,,,,,,,410400,-93.12,-93.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LTM,"4,415.4",1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,1.81,2935800,0.8,0.8,0.8,0.8,0.8,,,,,,,,,91350,-93.2,-93.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BANKNIFTY,57271,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,2157300,-0.28,-0.28,-0.28,-0.28,-0.28,,,,,,,,,59040,-93.27,-93.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
COFORGE,"1,721.3",1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,1.88,15388575,0.56,0.56,0.56,0.56,0.56,,,,,,,,,934325,-93.38,-93.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
PERSISTENT,"5,522.6",1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,1.42,3586750,0.71,0.71,0.71,0.71,0.71,,,,,,,,,61250,-93.42,-93.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LTF,310.35,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,0.32,51693750,0.46,0.46,0.46,0.46,0.46,,,,,,,,,850500,-93.44,-93.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ICICIPRULI,514.25,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19414825,0.22,0.22,0.22,0.22,0.22,,,,,,,,,130425,-93.5,-93.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
DIVISLAB,7535,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,1.06,3605900,0.36,0.36,0.36,0.36,0.36,,,,,,,,,37200,-93.51,-93.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
WIPRO,180.76,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.74,263811000,0.16,0.16,0.16,0.16,0.16,,,,,,,,,3612000,-93.55,-93.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
