Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
KPITTECH,611.3,1.42,11907100.0,2.42,,,,,,,,,893575.0,-87.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,611.3,599.074,635.752
SWIGGY,275.65,2.35,55313925.0,2.45,,,,,,,,,4748650.0,-86.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,275.65,270.137,286.676
FOCIT,37190.0,1.11,6930.0,1.99,,,,,,,,,675.0,-46.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,37190.0,,
LT,3965.0,2.95,12765375.0,0.78,,,,,,,,,1021475.0,-74.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3965.0,,
CHOLAFIN,1825.9,3.6,13131250.0,1.6,,,,,,,,,1251250.0,-86.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1825.9,,
BAJFINANCE,1067.2,1.04,65808750.0,0.14,,,,,,,,,775500.0,-92.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1067.2,,
RADICO,4375.0,1.4,847500.0,1.0,,,,,,,,,180900.0,-88.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4375.0,,
TVSMOTOR,4062.2,1.38,11707500.0,0.45,,,,,,,,,155750.0,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4062.2,,
COFORGE,1721.3,1.88,15388575.0,0.56,,,,,,,,,934325.0,-93.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1721.3,,
TECHM,1653.0,1.31,17665800.0,0.54,,,,,,,,,376800.0,-92.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1653.0,,
INFY,1141.0,2.81,96819600.0,0.61,,,,,,,,,3236400.0,-91.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1141.0,,
LTM,4415.4,1.81,2935800.0,0.8,,,,,,,,,91350.0,-93.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4415.4,,
HDFCBANK,747.7,1.03,298480000.0,0.01,,,,,,,,,2093650.0,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,747.7,,
TCS,2439.0,1.4,34258500.0,0.22,,,,,,,,,682200.0,-92.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2439.0,,
BHARATFORG,2197.0,1.01,7433500.0,0.34,,,,,,,,,52000.0,-95.26,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2197.0,,
M&M,3326.3,1.2,15526600.0,0.27,,,,,,,,,158600.0,-95.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3326.3,,
