Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
FOCIT,37190.0,1.11,6930.0,1.99,,,,,,,,,675.0,-46.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SENSEX,77500.0,0.68,24500.0,-6.56,,,,,,,,,4700.0,-50.84,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
PHOENIXLTD,1946.1,-4.45,3426500.0,2.21,,,,,,,,,273700.0,-58.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LT,3965.0,2.95,12765375.0,0.78,,,,,,,,,1021475.0,-74.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
KALYANKJIL,613.75,0.78,25532550.0,1.89,,,,,,,,,1998000.0,-86.73,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SWIGGY,275.65,2.35,55313925.0,2.45,,,,,,,,,4748650.0,-86.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
CHOLAFIN,1825.9,3.6,13131250.0,1.6,,,,,,,,,1251250.0,-86.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
KPITTECH,611.3,1.42,11907100.0,2.42,,,,,,,,,893575.0,-87.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
TVSMOTOR,4062.2,1.38,11707500.0,0.45,,,,,,,,,155750.0,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
NIFTY,24262.7,0.68,13579345.0,0.06,,,,,,,,,618670.0,-88.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
RADICO,4375.0,1.4,847500.0,1.0,,,,,,,,,180900.0,-88.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ETERNAL,309.95,0.23,155049650.0,1.13,,,,,,,,,5742400.0,-89.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LUPIN,2434.0,0.98,5406850.0,0.74,,,,,,,,,103275.0,-89.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
INFY,1141.0,2.81,96819600.0,0.61,,,,,,,,,3236400.0,-91.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
SUZLON,48.73,0.81,444106300.0,0.87,,,,,,,,,17995900.0,-91.46,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BAJFINANCE,1067.2,1.04,65808750.0,0.14,,,,,,,,,775500.0,-92.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
TCS,2439.0,1.4,34258500.0,0.22,,,,,,,,,682200.0,-92.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
OFSS,11615.0,1.87,1296600.0,-0.07,,,,,,,,,39400.0,-92.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
TECHM,1653.0,1.31,17665800.0,0.54,,,,,,,,,376800.0,-92.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BPCL,318.8,-0.9,38153050.0,0.37,,,,,,,,,436475.0,-93.08,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
MARICO,880.4,-0.49,14198400.0,1.68,,,,,,,,,410400.0,-93.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LTM,4415.4,1.81,2935800.0,0.8,,,,,,,,,91350.0,-93.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
BANKNIFTY,57271.0,0.46,2157300.0,-0.28,,,,,,,,,59040.0,-93.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
COFORGE,1721.3,1.88,15388575.0,0.56,,,,,,,,,934325.0,-93.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
PERSISTENT,5522.6,1.42,3586750.0,0.71,,,,,,,,,61250.0,-93.42,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
LTF,310.35,0.32,51693750.0,0.46,,,,,,,,,850500.0,-93.44,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
ICICIPRULI,514.25,0.3,19414825.0,0.22,,,,,,,,,130425.0,-93.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
DIVISLAB,7535.0,1.06,3605900.0,0.36,,,,,,,,,37200.0,-93.51,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
WIPRO,180.76,0.74,263811000.0,0.16,,,,,,,,,3612000.0,-93.55,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
EICHERMOT,7848.5,0.82,3949400.0,0.13,,,,,,,,,32100.0,-93.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
360ONE,1130.3,-0.25,4349000.0,0.47,,,,,,,,,63000.0,-93.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx
