Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
KPITTECH,611.3,1.42,11907100.0,2.42,,,,,,,,,893575.0,-87.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,611.3,599.074,635.752,True,Eligible,663.0,604.35,637.65,TARGET HIT,Target reached during replay range,635.752,24.451999999999998,4.0
SWIGGY,275.65,2.35,55313925.0,2.45,,,,,,,,,4748650.0,-86.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,275.65,270.137,286.676,True,Eligible,287.99,273.0,284.38,TARGET HIT,Target reached during replay range,286.676,11.02600000000001,4.000000000000004
FINNIFTY,26262.1,0.26,25980.0,0.0,,,,,,,,,420.0,-97.78,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,26262.1,26787.342,25211.616,True,Eligible,26399.0,25923.0,26346.4,EOD EXIT,Neither target nor stop reached; exited at close,26346.4,-84.30000000000291,-0.3209948937823057
MOTHERSON,149.03,0.21,128473500.0,0.0,,,,,,,,,448950.0,-98.59,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,149.03,152.0106,143.06879999999998,True,Eligible,149.3,144.22,146.47,EOD EXIT,Neither target nor stop reached; exited at close,146.47,2.5600000000000023,1.7177749446420199
VMM,110.56,0.59,41040700.0,0.0,,,,,,,,,77600.0,-98.77,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,110.56,112.7712,106.1376,True,Eligible,110.71,108.5,108.86,EOD EXIT,Neither target nor stop reached; exited at close,108.86,1.7000000000000028,1.5376266280752557
DALBHARAT,1832.0,0.69,3850600.0,0.0,,,,,,,,,12025.0,-98.8,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,1832.0,1868.64,1758.72,True,Eligible,1848.3,1825.1,1828.8,EOD EXIT,Neither target nor stop reached; exited at close,1828.8,3.2000000000000455,0.17467248908297192
HINDPETRO,394.95,-1.79,41423400.0,0.24,,,,,,,,,562950.0,-94.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,394.95,402.849,379.152,True,Eligible,402.1,394.4,395.1,EOD EXIT,Neither target nor stop reached; exited at close,395.1,-0.1500000000000341,-0.03797949107482823
CGPOWER,836.5,-1.2,18374450.0,1.02,,,,,,,,,535500.0,-93.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,836.5,853.23,803.04,True,Eligible,847.1,827.6,834.4,EOD EXIT,Neither target nor stop reached; exited at close,834.4,2.1000000000000227,0.2510460251046052
PAYTM,1306.0,-0.61,20887250.0,0.26,,,,,,,,,329875.0,-95.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1306.0,1332.12,1253.76,True,Eligible,1339.9,1298.7,1334.6,STOP LOSS HIT,Stop loss breached during replay range,1332.12,-26.11999999999989,-1.9999999999999918
360ONE,1130.3,-0.25,4349000.0,0.47,,,,,,,,,63000.0,-93.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,0,SELL,,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1130.3,1152.906,1085.088,True,Eligible,1169.4,1120.0,1164.7,STOP LOSS HIT,Stop loss breached during replay range,1152.906,-22.605999999999995,-1.9999999999999998
