Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg %,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI chg,OI Chg (Value),Volume,Volume Chg %
ASHOKLEY,7.23,159.0,159.23,157.5,158.27,-0.28,-0.18,0.17,0.52,166,0.57,-0.05,-4.81,367,6.1,77.0,1.23,-290,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,6.03,2768.6,2768.6,2734.0,2746.0,-8.7,-0.32,-0.05,-0.18,98,0.33,0.01,1.2,659,9.75,609.0,10.8,-50,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,7.04,1451.0,1463.6,1440.0,1440.0,-8.1,-0.56,0.86,2.8,-21,-0.13,-0.01,-1.2,50,2.03,2.0,0.1,-48,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,5.47,1059.0,1065.3,1047.2,1049.1,-2.5,-0.24,0.4,1.59,185,0.83,-0.02,-2.22,146,5.02,56.0,2.14,-90,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,6.24,1552.3,1584.0,1552.3,1574.8,19.1,1.23,0.24,0.85,26,0.14,-0.04,-4.65,130,4.48,-14.0,-0.56,-144,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,4.55,1236.8,1236.8,1225.2,1225.5,-5.5,-0.45,0.08,0.39,345,0.28,-0.01,-1.39,1670,7.3,967.0,5.85,-703,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,4.93,11450.0,11545.0,11416.5,11541.5,124,1.09,-0.09,-0.4,146,0.57,-0.04,-2.74,596,6.79,509.0,3.97,-87,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,6.0,1948.9,1950.0,1931.9,1934.8,1.8,0.09,0.13,0.48,66,0.22,0.0,0.0,36,0.52,31.0,0.55,-5,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,6.63,10896.0,10950.0,10853.0,10931.0,79,0.73,0.39,1.33,26,0.6,-0.06,-10.91,32,10.56,-4.0,-2.4,-36,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,6.69,1062.0,1069.0,1059.8,1061.0,4.8,0.45,0.27,0.89,471,0.54,-0.01,-1.15,175,1.65,85.0,0.93,-90,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-29 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
