Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
KPITTECH,611.3,1.42,11907100.0,2.42,,,,,,,,,893575.0,-87.39,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
SWIGGY,275.65,2.35,55313925.0,2.45,,,,,,,,,4748650.0,-86.76,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
FOCIT,37190.0,1.11,6930.0,1.99,,,,,,,,,675.0,-46.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
LT,3965.0,2.95,12765375.0,0.78,,,,,,,,,1021475.0,-74.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
CHOLAFIN,1825.9,3.6,13131250.0,1.6,,,,,,,,,1251250.0,-86.98,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
BAJFINANCE,1067.2,1.04,65808750.0,0.14,,,,,,,,,775500.0,-92.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
RADICO,4375.0,1.4,847500.0,1.0,,,,,,,,,180900.0,-88.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
TVSMOTOR,4062.2,1.38,11707500.0,0.45,,,,,,,,,155750.0,-88.24,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
COFORGE,1721.3,1.88,15388575.0,0.56,,,,,,,,,934325.0,-93.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
TECHM,1653.0,1.31,17665800.0,0.54,,,,,,,,,376800.0,-92.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
OFSS,11615.0,1.87,1296600.0,-0.07,,,,,,,,,39400.0,-92.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
INFY,1141.0,2.81,96819600.0,0.61,,,,,,,,,3236400.0,-91.31,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
LTM,4415.4,1.81,2935800.0,0.8,,,,,,,,,91350.0,-93.2,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
TCS,2439.0,1.4,34258500.0,0.22,,,,,,,,,682200.0,-92.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
SAIL,170.8,2.45,191421600.0,-0.02,,,,,,,,,1706100.0,-96.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
HDFCBANK,747.7,1.03,298480000.0,0.01,,,,,,,,,2093650.0,-95.52,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
UNOMINDA,1189.1,1.6,4656850.0,-0.17,,,,,,,,,47300.0,-95.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
HINDUNILVR,2070.0,1.85,17493300.0,-0.01,,,,,,,,,870900.0,-95.09,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_29_7_2026.xlsx,20,SELL,Positive Price Momentum
