Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %,Win
ANGELONE,305.2,-1.5,19405000.0,-0.39,,,,,,,,,1540000.0,-84.85,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,305.2,311.304,292.992,True,Eligible,311.3,302.4,307.95,EOD EXIT,Neither target nor stop reached; exited at close,307.95,-2.75,-0.901048492791612,False
360ONE,1075.2,-9.2,2884000.0,0.14,,,,,,,,,473000.0,-81.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1075.2,1096.7040000000002,1032.192,True,Eligible,1109.2,1069.9,1106.0,STOP LOSS HIT,Stop loss breached during replay range,1096.7040000000002,-21.504000000000133,-2.000000000000012,False
SWIGGY,242.41,-19.03,31222100.0,2.34,,,,,,,,,7736175.0,-61.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,242.41,247.2582,232.7136,True,Eligible,256.8,241.0,248.48,STOP LOSS HIT,Stop loss breached during replay range,247.2582,-4.848199999999991,-1.999999999999997,False
INFY,1033.2,-17.6,79588800.0,-1.49,,,,,,,,,19251600.0,-50.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1033.2,1053.864,991.872,True,Eligible,1043.1,1011.1,1040.5,EOD EXIT,Neither target nor stop reached; exited at close,1040.5,-7.299999999999954,-0.706542779713507,False
KAYNES,3137.0,-110.4,3324600.0,-2.04,,,,,,,,,370200.0,-48.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; OI Reduction,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,3137.0,3199.74,3011.52,True,Eligible,3161.2,3050.1,3109.8,EOD EXIT,Neither target nor stop reached; exited at close,3109.8,27.199999999999815,0.8670704494740139,False
LT,3745.1,-48.2,10137575.0,3.3,,,,,,,,,517125.0,-79.14,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,3745.1,3820.002,3595.296,True,Eligible,3827.5,3743.0,3812.5,STOP LOSS HIT,Stop loss breached during replay range,3820.002,-74.90200000000004,-2.000000000000001,False
INDIGO,4904.5,-121.5,3863400.0,1.7,,,,,,,,,880950.0,-67.63,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,4904.5,5002.59,4708.32,True,Eligible,5055.5,4914.0,5020.0,STOP LOSS HIT,Stop loss breached during replay range,5002.59,-98.09000000000016,-2.0000000000000027,False
MCX,2746.0,-8.9,6180075.0,0.36,,,,,,,,,193950.0,-90.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,2746.0,2800.92,2636.16,True,Eligible,2763.4,2700.0,2735.2,EOD EXIT,Neither target nor stop reached; exited at close,2735.2,10.800000000000182,0.3932993445010991,False
POLYCAB,8927.5,-41.5,1788750.0,-0.56,,,,,,,,,100375.0,-90.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,8927.5,9106.05,8570.4,True,Eligible,9029.0,8862.0,8967.5,EOD EXIT,Neither target nor stop reached; exited at close,8967.5,-40.0,-0.4480537664519742,False
SHRIRAMFIN,1003.3,-24.4,16850625.0,-0.46,,,,,,,,,890175.0,-90.87,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1003.3,1023.366,963.168,True,Eligible,1057.1,998.1,1011.9,STOP LOSS HIT,Stop loss breached during replay range,1023.366,-20.06600000000003,-2.000000000000003,False
MANKIND,2549.9,-5.3,2129000.0,-0.69,,,,,,,,,97250.0,-90.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,2549.9,2600.898,2447.904,True,Eligible,2557.8,2517.4,2524.9,EOD EXIT,Neither target nor stop reached; exited at close,2524.9,25.0,0.9804306051217694,False
BSE,3539.9,-35.9,6492800.0,0.05,,,,,,,,,183400.0,-90.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,3539.9,3610.698,3398.304,True,Eligible,3599.9,3542.0,3571.0,EOD EXIT,Neither target nor stop reached; exited at close,3571.0,-31.09999999999991,-0.8785558914093593,False
PRESTIGE,1599.0,-22.3,3258000.0,0.07,,,,,,,,,205650.0,-90.08,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1599.0,1630.98,1535.04,True,Eligible,1630.2,1590.0,1604.7,EOD EXIT,Neither target nor stop reached; exited at close,1604.7,-5.7000000000000455,-0.3564727954971886,False
BANDHANBNK,163.79,-2.4,53434800.0,0.42,,,,,,,,,3207600.0,-89.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,163.79,167.0658,157.23839999999998,True,Eligible,167.18,161.29,165.46,STOP LOSS HIT,Stop loss breached during replay range,167.0658,-3.275800000000004,-2.0000000000000027,False
TMPV,319.75,-4.9,66369600.0,-0.15,,,,,,,,,2163200.0,-89.33,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,319.75,326.145,306.96,True,Eligible,327.95,320.05,326.1,STOP LOSS HIT,Stop loss breached during replay range,326.145,-6.394999999999982,-1.9999999999999944,False
IDEA,12.99,-0.25,3578324400.0,0.56,,,,,,,,,138590025.0,-90.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,12.99,13.2498,12.4704,True,Eligible,13.29,12.83,13.23,STOP LOSS HIT,Stop loss breached during replay range,13.2498,-0.2598000000000002,-2.0000000000000018,False
PHOENIXLTD,1990.6,-50.6,2282700.0,0.26,,,,,,,,,101850.0,-90.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1990.6,2030.412,1910.976,True,Eligible,2051.0,1990.8,2024.6,STOP LOSS HIT,Stop loss breached during replay range,2030.412,-39.812000000000126,-2.000000000000006,False
ABB,7477.5,-67.5,1804250.0,-0.8,,,,,,,,,73125.0,-90.84,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,7477.5,7627.05,7178.4,True,Eligible,7555.0,7309.5,7360.5,EOD EXIT,Neither target nor stop reached; exited at close,7360.5,117.0,1.56469408224674,False
MIDCPNIFTY,14305.55,-117.35,1501680.0,1.0,,,,,,,,,92160.0,-89.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,14305.55,14591.661,13733.328,True,Eligible,14515.3,14272.0,14494.15,EOD EXIT,Neither target nor stop reached; exited at close,14494.15,-188.6000000000004,-1.318369444026971,False
VBL,453.25,-5.4,36748050.0,-0.15,,,,,,,,,1118175.0,-91.75,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,453.25,462.315,435.12,True,Eligible,460.75,452.4,459.05,EOD EXIT,Neither target nor stop reached; exited at close,459.05,-5.800000000000011,-1.2796469939327106,False
CONCOR,477.35,-3.2,13893750.0,-0.06,,,,,,,,,307500.0,-91.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,477.35,486.8970000000001,458.256,True,Eligible,485.45,474.85,478.35,EOD EXIT,Neither target nor stop reached; exited at close,478.35,-1.0,-0.2094898921127055,False
BANKBARODA,241.45,-1.75,78679575.0,0.08,,,,,,,,,2749500.0,-91.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,241.45,246.279,231.792,True,Eligible,248.4,240.4,247.7,STOP LOSS HIT,Stop loss breached during replay range,246.279,-4.829000000000008,-2.000000000000003,False
MOTHERSON,143.62,-2.12,109396200.0,-0.44,,,,,,,,,3923700.0,-91.86,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,143.62,146.4924,137.8752,True,Eligible,147.65,143.54,146.29,STOP LOSS HIT,Stop loss breached during replay range,146.4924,-2.872399999999999,-1.9999999999999996,False
SHREECEM,26635.0,-135.0,223300.0,-0.16,,,,,,,,,13825.0,-91.93,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,26635.0,27167.7,25569.6,True,Eligible,26775.0,26120.0,26595.0,EOD EXIT,Neither target nor stop reached; exited at close,26595.0,40.0,0.1501783367749202,False
OIL,457.8,-2.15,11527600.0,0.73,,,,,,,,,789600.0,-91.96,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,457.8,466.956,439.488,True,Eligible,462.25,445.3,446.35,EOD EXIT,Neither target nor stop reached; exited at close,446.35,11.449999999999989,2.50109217999126,False
LTM,3959.4,-13.4,2385900.0,0.91,,,,,,,,,114600.0,-91.86,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,3959.4,4038.588,3801.024,True,Eligible,4100.9,3915.1,4087.1,STOP LOSS HIT,Stop loss breached during replay range,4038.588,-79.1880000000001,-2.0000000000000027,False
GVT&D,4319.5,-10.7,1438625.0,-0.35,,,,,,,,,52125.0,-91.81,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,4319.5,4405.89,4146.72,True,Eligible,4349.0,4136.1,4187.8,TARGET HIT,Target reached during replay range,4146.72,172.77999999999977,3.999999999999994,True
SUZLON,52.17,-0.34,252907800.0,-0.83,,,,,,,,,13055600.0,-91.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,52.17,53.2134,50.0832,True,Eligible,52.93,52.08,52.46,EOD EXIT,Neither target nor stop reached; exited at close,52.46,-0.2899999999999991,-0.5558750239601287,False
BHARTIARTL,1890.4,-20.3,19607050.0,0.07,,,,,,,,,1124325.0,-91.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1890.4,1928.208,1814.784,True,Eligible,1915.3,1890.1,1910.8,EOD EXIT,Neither target nor stop reached; exited at close,1910.8,-20.399999999999864,-1.0791366906474749,False
JINDALSTEL,1034.2,-9.1,9040625.0,0.08,,,,,,,,,288125.0,-91.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1034.2,1054.884,992.832,True,Eligible,1047.8,1024.3,1041.0,EOD EXIT,Neither target nor stop reached; exited at close,1041.0,-6.7999999999999545,-0.6575130535679709,False
VOLTAS,1300.8,-11.5,6257625.0,0.39,,,,,,,,,212625.0,-91.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1300.8,1326.816,1248.7679999999998,True,Eligible,1342.0,1297.6,1335.1,STOP LOSS HIT,Stop loss breached during replay range,1326.816,-26.01600000000008,-2.0000000000000058,False
CHOLAFIN,1667.8,-48.8,9152500.0,1.04,,,,,,,,,520625.0,-89.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1667.8,1701.156,1601.088,True,Eligible,1754.3,1675.0,1734.9,STOP LOSS HIT,Stop loss breached during replay range,1701.156,-33.355999999999995,-2.0,False
TIINDIA,2824.7,-9.2,1381600.0,-0.43,,,,,,,,,83000.0,-89.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,2824.7,2881.194,2711.7119999999995,True,Eligible,2841.0,2762.3,2788.8,EOD EXIT,Neither target nor stop reached; exited at close,2788.8,35.89999999999964,1.270931426346148,False
ADANIPORTS,1778.7,-2.2,12135775.0,1.93,,,,,,,,,559075.0,-90.68,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1778.7,1814.274,1707.552,True,Eligible,1795.0,1767.2,1780.5,EOD EXIT,Neither target nor stop reached; exited at close,1780.5,-1.7999999999999543,-0.1011975037949038,False
PAYTM,1256.0,-2.4,17548625.0,-0.22,,,,,,,,,522000.0,-91.15,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1256.0,1281.12,1205.76,True,Eligible,1307.0,1243.6,1290.6,STOP LOSS HIT,Stop loss breached during replay range,1281.12,-25.11999999999989,-1.9999999999999916,False
BAJFINANCE,1026.2,-14.4,48442500.0,0.76,,,,,,,,,1288500.0,-92.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1026.2,1046.7240000000002,985.152,True,Eligible,1037.6,1008.0,1020.2,EOD EXIT,Neither target nor stop reached; exited at close,1020.2,6.0,0.5846813486649776,False
RELIANCE,1265.8,-7.9,71013000.0,0.36,,,,,,,,,1666000.0,-92.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1265.8,1291.116,1215.168,True,Eligible,1290.3,1261.8,1286.1,EOD EXIT,Neither target nor stop reached; exited at close,1286.1,-20.299999999999955,-1.6037288671196046,False
ETERNAL,280.9,-6.65,94669575.0,0.48,,,,,,,,,5480500.0,-92.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,280.9,286.518,269.664,True,Eligible,287.0,277.5,281.8,STOP LOSS HIT,Stop loss breached during replay range,286.518,-5.617999999999995,-1.9999999999999984,False
SBICARD,618.0,-4.6,14700800.0,0.73,,,,,,,,,831200.0,-92.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,618.0,630.36,593.28,True,Eligible,619.15,603.1,614.0,EOD EXIT,Neither target nor stop reached; exited at close,614.0,4.0,0.6472491909385114,False
HAL,4549.0,-36.3,3314550.0,-0.08,,,,,,,,,85350.0,-92.08,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,4549.0,4639.9800000000005,4367.04,True,Eligible,4620.7,4525.2,4593.9,EOD EXIT,Neither target nor stop reached; exited at close,4593.9,-44.89999999999964,-0.9870301165091148,False
VEDL,261.7,-3.35,50608050.0,-0.41,,,,,,,,,979800.0,-92.02,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,261.7,266.934,251.232,True,Eligible,267.3,261.35,265.85,STOP LOSS HIT,Stop loss breached during replay range,266.934,-5.234000000000037,-2.000000000000014,False
TORNTPHARM,5023.3,-7.0,2486875.0,0.24,,,,,,,,,119125.0,-92.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,5023.3,5123.7660000000005,4822.368,True,Eligible,4967.4,4895.8,4910.2,EOD EXIT,Neither target nor stop reached; exited at close,4910.2,113.10000000000036,2.2515079728465426,False
UNIONBANK,168.03,-0.4,89247825.0,0.27,,,,,,,,,2805450.0,-92.42,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,168.03,171.3906,161.3088,True,Eligible,172.63,166.51,171.38,STOP LOSS HIT,Stop loss breached during replay range,171.3906,-3.360600000000005,-2.000000000000003,False
HINDPETRO,378.75,-5.9,27211950.0,-0.9,,,,,,,,,1356750.0,-92.42,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,378.75,386.325,363.6,True,Eligible,385.5,373.5,383.75,EOD EXIT,Neither target nor stop reached; exited at close,383.75,-5.0,-1.32013201320132,False
PAGEIND,40025.0,-230.0,216020.0,1.18,,,,,,,,,8060.0,-92.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,40025.0,40825.5,38424.0,True,Eligible,40495.0,39705.0,40320.0,EOD EXIT,Neither target nor stop reached; exited at close,40320.0,-295.0,-0.7370393504059962,False
ICICIPRULI,498.35,-2.5,12922250.0,-0.12,,,,,,,,,441225.0,-92.49,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,498.35,508.317,478.416,True,Eligible,506.5,498.15,503.95,EOD EXIT,Neither target nor stop reached; exited at close,503.95,-5.599999999999966,-1.123708237182696,False
ASTRAL,1410.0,-2.4,5431075.0,-0.91,,,,,,,,,240975.0,-92.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1410.0,1438.2,1353.6,True,Eligible,1425.0,1369.4,1417.3,EOD EXIT,Neither target nor stop reached; exited at close,1417.3,-7.299999999999954,-0.5177304964538975,False
IOC,137.8,-2.27,90631125.0,0.31,,,,,,,,,3661125.0,-92.4,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,137.8,140.556,132.288,True,Eligible,139.01,136.2,138.18,EOD EXIT,Neither target nor stop reached; exited at close,138.18,-0.3799999999999954,-0.2757619738751781,False
IRFC,86.42,-0.6,59951675.0,-1.32,,,,,,,,,2663675.0,-92.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,86.42,88.14840000000001,82.9632,True,Eligible,86.85,85.26,86.56,EOD EXIT,Neither target nor stop reached; exited at close,86.56,-0.1400000000000005,-0.1619995371441802,False
TRENT,2850.7,-24.7,7065225.0,1.7,,,,,,,,,410850.0,-92.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,2850.7,2907.714,2736.672,True,Eligible,2907.0,2824.7,2882.9,EOD EXIT,Neither target nor stop reached; exited at close,2882.9,-32.20000000000027,-1.1295471287753982,False
TATAPOWER,373.95,-2.05,46324600.0,-0.18,,,,,,,,,696000.0,-92.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,373.95,381.429,358.992,True,Eligible,378.0,373.15,376.6,EOD EXIT,Neither target nor stop reached; exited at close,376.6,-2.650000000000034,-0.7086508891563135,False
SUPREMEIND,3405.0,-15.5,1269450.0,-0.62,,,,,,,,,61250.0,-92.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,3405.0,3473.1,3268.8,True,Eligible,3522.0,3402.3,3483.4,STOP LOSS HIT,Stop loss breached during replay range,3473.1,-68.09999999999991,-1.9999999999999971,False
SBIN,1008.0,-6.2,42166500.0,0.22,,,,,,,,,1046250.0,-92.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,1008.0,1028.16,967.68,True,Eligible,1024.1,1007.2,1021.8,EOD EXIT,Neither target nor stop reached; exited at close,1021.8,-13.799999999999956,-1.3690476190476146,False
EICHERMOT,7606.5,-113.5,2291700.0,1.75,,,,,,,,,114300.0,-92.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,7606.5,7758.63,7302.24,True,Eligible,7694.0,7528.0,7582.5,EOD EXIT,Neither target nor stop reached; exited at close,7582.5,24.0,0.3155196213764544,False
HEROMOTOCO,5035.1,-66.6,3358050.0,0.11,,,,,,,,,205950.0,-92.83,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,5035.1,5135.802000000001,4833.696,True,Eligible,5113.9,5005.1,5032.0,EOD EXIT,Neither target nor stop reached; exited at close,5032.0,3.100000000000364,0.0615677940855268,False
COCHINSHIP,1388.5,-6.7,4947200.0,-1.51,,,,,,,,,172000.0,-92.88,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,1388.5,1416.27,1332.96,True,Eligible,1397.4,1370.2,1383.3,EOD EXIT,Neither target nor stop reached; exited at close,1383.3,5.2000000000000455,0.3745048613611844,False
AUBANK,971.2,-6.2,15183000.0,0.33,,,,,,,,,513000.0,-92.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,971.2,990.624,932.352,True,Eligible,1020.0,972.0,1010.8,STOP LOSS HIT,Stop loss breached during replay range,990.624,-19.423999999999975,-1.9999999999999976,False
BAJAJ-AUTO,11207.5,-67.0,1666650.0,0.15,,,,,,,,,77025.0,-92.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,11207.5,11431.65,10759.2,True,Eligible,11378.0,11200.0,11212.0,EOD EXIT,Neither target nor stop reached; exited at close,11212.0,-4.5,-0.0401516841400847,False
VMM,107.75,-2.2,24735000.0,-1.81,,,,,,,,,2652950.0,-92.81,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Long Unwinding,10,LOW,SELL,VALID SELL,HIGH,107.75,109.905,103.44,True,Eligible,109.8,107.0,108.01,EOD EXIT,Neither target nor stop reached; exited at close,108.01,-0.2600000000000051,-0.2412993039443203,False
TITAN,4666.4,-26.5,3701775.0,0.38,,,,,,,,,104825.0,-92.88,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,4666.4,4759.728,4479.744,True,Eligible,4725.8,4675.0,4709.7,EOD EXIT,Neither target nor stop reached; exited at close,4709.7,-43.30000000000018,-0.9279101662952208,False
ASIANPAINT,2646.6,-25.7,5261750.0,0.19,,,,,,,,,134250.0,-92.95,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,2646.6,2699.532,2540.736,True,Eligible,2675.7,2644.9,2657.2,EOD EXIT,Neither target nor stop reached; exited at close,2657.2,-10.599999999999907,-0.400513866848028,False
GODREJPROP,2000.0,-35.3,5447975.0,0.16,,,,,,,,,191100.0,-91.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,2000.0,2040.0,1920.0,True,Eligible,2048.8,2002.4,2030.0,STOP LOSS HIT,Stop loss breached during replay range,2040.0,-40.0,-2.0,False
SOLARINDS,18489.0,-112.0,552950.0,0.21,,,,,,,,,17700.0,-91.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx,0,SELL,Negative Price Momentum,Short Buildup,10,LOW,SELL,VALID SELL,HIGH,18489.0,18858.78,17749.44,True,Eligible,18740.0,18400.0,18607.0,EOD EXIT,Neither target nor stop reached; exited at close,18607.0,-118.0,-0.6382173184055384,False
