Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
KAYNES,3137.0,-110.4,3324600.0,-2.04,,,,,,,,,370200.0,-48.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INFY,1033.2,-17.6,79588800.0,-1.49,,,,,,,,,19251600.0,-50.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NUVAMA,2045.5,97.3,1087000.0,-2.77,,,,,,,,,419500.0,-56.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SWIGGY,242.41,-19.03,31222100.0,2.34,,,,,,,,,7736175.0,-61.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MOTILALOFS,890.85,-51.65,4343875.0,1.72,,,,,,,,,814525.0,-63.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INDIGO,4904.5,-121.5,3863400.0,1.7,,,,,,,,,880950.0,-67.63,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MPHASIS,2262.0,31.4,3317325.0,-3.13,,,,,,,,,742500.0,-70.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BIOCON,430.4,-4.65,35970000.0,2.09,,,,,,,,,3892500.0,-71.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
EXIDEIND,444.0,4.3,17955000.0,0.45,,,,,,,,,1092600.0,-71.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DALBHARAT,1844.6,-10.0,3750825.0,-2.82,,,,,,,,,368875.0,-72.84,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ICICIGI,1667.1,48.1,4584775.0,3.27,,,,,,,,,626600.0,-75.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NBCC,92.07,-1.1,82056000.0,1.77,,,,,,,,,4829500.0,-75.49,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
KFINTECH,865.1,-1.8,4292375.0,-0.59,,,,,,,,,315675.0,-77.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HCLTECH,1255.4,8.8,23301600.0,0.93,,,,,,,,,2193600.0,-78.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LT,3745.1,-48.2,10137575.0,3.3,,,,,,,,,517125.0,-79.14,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MAZDOCK,2290.0,-10.0,3485925.0,-3.26,,,,,,,,,394650.0,-79.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
360ONE,1075.2,-9.2,2884000.0,0.14,,,,,,,,,473000.0,-81.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CAMS,757.5,-1.35,5711475.0,-0.03,,,,,,,,,273900.0,-82.08,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BDL,1227.8,-8.1,6358000.0,-1.57,,,,,,,,,359550.0,-82.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
KALYANKJIL,580.0,-7.15,24914250.0,1.37,,,,,,,,,1588950.0,-82.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SONACOMS,736.0,14.7,11702425.0,-0.23,,,,,,,,,1685600.0,-83.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BRITANNIA,5343.0,-46.0,1405125.0,3.86,,,,,,,,,162500.0,-83.43,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BANKNIFTY,56250.2,-415.2,1792890.0,-0.7,,,,,,,,,107550.0,-83.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
OBEROIRLTY,1801.7,-11.8,4690700.0,-1.29,,,,,,,,,395500.0,-83.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TATAELXSI,3413.0,12.2,2671875.0,-2.06,,,,,,,,,155750.0,-83.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RECLTD,358.2,0.2,31466925.0,0.64,,,,,,,,,1682100.0,-84.28,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DIXON,13632.0,-186.0,1508900.0,-0.56,,,,,,,,,103800.0,-84.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TECHM,1556.0,-5.5,14148600.0,1.0,,,,,,,,,1135200.0,-84.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ANGELONE,305.2,-1.5,19405000.0,-0.39,,,,,,,,,1540000.0,-84.85,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
AMBUJACEM,418.9,-4.4,54002400.0,-0.04,,,,,,,,,2960400.0,-85.0,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CDSL,1315.2,-9.0,7728725.0,-0.8,,,,,,,,,356725.0,-85.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
WIPRO,172.31,-1.07,191802000.0,-0.04,,,,,,,,,15105000.0,-85.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
AMBER,7322.0,-122.0,1054500.0,-0.99,,,,,,,,,60400.0,-86.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SENSEX,75800.0,-665.55,39640.0,2.38,,,,,,,,,3320.0,-86.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
UNITDSPR,1455.6,35.9,5535200.0,0.76,,,,,,,,,588400.0,-86.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CGPOWER,887.0,4.4,13493750.0,-0.53,,,,,,,,,1381250.0,-86.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
IEX,122.32,0.48,62022300.0,-0.35,,,,,,,,,2305500.0,-86.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NAUKRI,1163.0,-2.65,9639850.0,1.36,,,,,,,,,547800.0,-86.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RBLBANK,351.05,-3.05,35518725.0,-0.84,,,,,,,,,1651000.0,-86.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ABCAPITAL,385.85,-6.35,24682200.0,0.54,,,,,,,,,1670900.0,-86.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DELHIVERY,464.0,-1.7,18328475.0,-0.16,,,,,,,,,786425.0,-86.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RVNL,223.51,-1.04,27937525.0,-1.66,,,,,,,,,1289750.0,-86.73,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DRREDDY,1147.4,-16.8,9346250.0,0.99,,,,,,,,,1358125.0,-86.76,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MUTHOOTFIN,2939.3,-72.1,5009125.0,1.17,,,,,,,,,267850.0,-86.93,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LAURUSLABS,1571.3,2.5,8495750.0,-1.59,,,,,,,,,635800.0,-87.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
KEI,4852.5,-57.0,1360625.0,-0.33,,,,,,,,,91525.0,-87.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CROMPTON,243.8,-6.15,40267350.0,1.01,,,,,,,,,1846850.0,-87.34,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MANAPPURAM,349.05,-4.4,47622000.0,0.08,,,,,,,,,2145000.0,-87.37,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
UPL,601.05,-5.2,20242345.0,1.13,,,,,,,,,701890.0,-87.38,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PGEL,569.2,-7.75,8812200.0,-1.13,,,,,,,,,499700.0,-87.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INOXWIND,75.31,-1.04,72275200.0,-1.0,,,,,,,,,2777600.0,-87.69,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
KPITTECH,550.25,-2.35,10357100.0,-1.76,,,,,,,,,764150.0,-87.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
FINNIFTY,25850.0,-194.6,26940.0,1.35,,,,,,,,,1140.0,-88.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LICI,421.0,-1.65,16489200.0,-0.57,,,,,,,,,609000.0,-88.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
FORCEMOT,17608.0,161.0,157750.0,-4.38,,,,,,,,,18800.0,-88.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SRF,2663.3,36.0,2700600.0,-4.82,,,,,,,,,384400.0,-88.16,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NIFTY,23699.9,-173.7,11899680.0,0.77,,,,,,,,,618150.0,-88.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TCS,2248.2,4.0,25778025.0,1.42,,,,,,,,,1616625.0,-88.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BEL,403.85,-1.05,68425650.0,1.07,,,,,,,,,2376900.0,-88.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
COFORGE,1449.8,9.2,12526225.0,-0.69,,,,,,,,,791825.0,-88.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
JIOFIN,231.77,-1.28,99722250.0,-0.7,,,,,,,,,3414550.0,-88.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ULTRACEMCO,11744.0,-150.0,1113800.0,1.26,,,,,,,,,76150.0,-88.65,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PFC,409.85,-0.25,41952300.0,-0.16,,,,,,,,,1138800.0,-88.74,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MARUTI,13226.0,-157.0,1626100.0,0.36,,,,,,,,,67450.0,-88.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
WAAREEENER,2690.5,-26.4,4897900.0,-1.14,,,,,,,,,295750.0,-88.78,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
