Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
KALYANKJIL,580,-7.15,-7.15,-7.15,-7.15,-7.15,-7.15,-7.15,-7.15,-7.15,-7.15,-7.15,24914250,1.37,1.37,1.37,1.37,1.37,,,,,,,,,1588950,-82.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SONACOMS,736,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,11702425,-0.23,-0.23,-0.23,-0.23,-0.23,,,,,,,,,1685600,-83.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BRITANNIA,5343,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,-46,1405125,3.86,3.86,3.86,3.86,3.86,,,,,,,,,162500,-83.43,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BANKNIFTY,"56,250.2",-415.2,-415.2,-415.2,-415.2,-415.2,-415.2,-415.2,-415.2,-415.2,-415.2,-415.2,1792890,-0.7,-0.7,-0.7,-0.7,-0.7,,,,,,,,,107550,-83.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
OBEROIRLTY,"1,801.7",-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,-11.8,4690700,-1.29,-1.29,-1.29,-1.29,-1.29,,,,,,,,,395500,-83.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TATAELXSI,3413,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,12.2,2671875,-2.06,-2.06,-2.06,-2.06,-2.06,,,,,,,,,155750,-83.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RECLTD,358.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,31466925,0.64,0.64,0.64,0.64,0.64,,,,,,,,,1682100,-84.28,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DIXON,13632,-186,-186,-186,-186,-186,-186,-186,-186,-186,-186,-186,1508900,-0.56,-0.56,-0.56,-0.56,-0.56,,,,,,,,,103800,-84.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TECHM,1556,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,-5.5,14148600,1,1,1,1,1,,,,,,,,,1135200,-84.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ANGELONE,305.2,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,-1.5,19405000,-0.39,-0.39,-0.39,-0.39,-0.39,,,,,,,,,1540000,-84.85,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
AMBUJACEM,418.9,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,54002400,-0.04,-0.04,-0.04,-0.04,-0.04,,,,,,,,,2960400,-85.0,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CDSL,"1,315.2",-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,7728725,-0.8,-0.8,-0.8,-0.8,-0.8,,,,,,,,,356725,-85.5,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
WIPRO,172.31,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,-1.07,191802000,-0.04,-0.04,-0.04,-0.04,-0.04,,,,,,,,,15105000,-85.71,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
AMBER,7322,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,-122,1054500,-0.99,-0.99,-0.99,-0.99,-0.99,,,,,,,,,60400,-86.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SENSEX,75800,-665.55,-665.55,-665.55,-665.55,-665.55,-665.55,-665.55,-665.55,-665.55,-665.55,-665.55,39640,2.38,2.38,2.38,2.38,2.38,,,,,,,,,3320,-86.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
UNITDSPR,"1,455.6",35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,35.9,5535200,0.76,0.76,0.76,0.76,0.76,,,,,,,,,588400,-86.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CGPOWER,887,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,13493750,-0.53,-0.53,-0.53,-0.53,-0.53,,,,,,,,,1381250,-86.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
IEX,122.32,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,62022300,-0.35,-0.35,-0.35,-0.35,-0.35,,,,,,,,,2305500,-86.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NAUKRI,1163,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65,9639850,1.36,1.36,1.36,1.36,1.36,,,,,,,,,547800,-86.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RBLBANK,351.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,-3.05,35518725,-0.84,-0.84,-0.84,-0.84,-0.84,,,,,,,,,1651000,-86.41,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ABCAPITAL,385.85,-6.35,-6.35,-6.35,-6.35,-6.35,-6.35,-6.35,-6.35,-6.35,-6.35,-6.35,24682200,0.54,0.54,0.54,0.54,0.54,,,,,,,,,1670900,-86.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DELHIVERY,464,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,-1.7,18328475,-0.16,-0.16,-0.16,-0.16,-0.16,,,,,,,,,786425,-86.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RVNL,223.51,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,27937525,-1.66,-1.66,-1.66,-1.66,-1.66,,,,,,,,,1289750,-86.73,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DRREDDY,"1,147.4",-16.8,-16.8,-16.8,-16.8,-16.8,-16.8,-16.8,-16.8,-16.8,-16.8,-16.8,9346250,0.99,0.99,0.99,0.99,0.99,,,,,,,,,1358125,-86.76,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MUTHOOTFIN,"2,939.3",-72.1,-72.1,-72.1,-72.1,-72.1,-72.1,-72.1,-72.1,-72.1,-72.1,-72.1,5009125,1.17,1.17,1.17,1.17,1.17,,,,,,,,,267850,-86.93,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LAURUSLABS,"1,571.3",2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,8495750,-1.59,-1.59,-1.59,-1.59,-1.59,,,,,,,,,635800,-87.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
KEI,"4,852.5",-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,-57,1360625,-0.33,-0.33,-0.33,-0.33,-0.33,,,,,,,,,91525,-87.19,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CROMPTON,243.8,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,-6.15,40267350,1.01,1.01,1.01,1.01,1.01,,,,,,,,,1846850,-87.34,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MANAPPURAM,349.05,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,-4.4,47622000,0.08,0.08,0.08,0.08,0.08,,,,,,,,,2145000,-87.37,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
UPL,601.05,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,-5.2,20242345,1.13,1.13,1.13,1.13,1.13,,,,,,,,,701890,-87.38,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PGEL,569.2,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75,-7.75,8812200,-1.13,-1.13,-1.13,-1.13,-1.13,,,,,,,,,499700,-87.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INOXWIND,75.31,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,-1.04,72275200,-1,-1,-1,-1,-1,,,,,,,,,2777600,-87.69,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
