Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
ABB,"7,477.5",-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,-67.5,1804250,-0.8,-0.8,-0.8,-0.8,-0.8,,,,,,,,,73125,-90.84,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SHRIRAMFIN,"1,003.3",-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,-24.4,16850625,-0.46,-0.46,-0.46,-0.46,-0.46,,,,,,,,,890175,-90.87,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GLENMARK,2197,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,-10.2,8698875,0.36,0.36,0.36,0.36,0.36,,,,,,,,,254625,-91.04,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ADANIPOWER,213.03,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,0.71,107991000,0.19,0.19,0.19,0.19,0.19,,,,,,,,,4231600,-91.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PAYTM,1256,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,17548625,-0.22,-0.22,-0.22,-0.22,-0.22,,,,,,,,,522000,-91.15,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
IREDA,118.3,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,-1.18,45096150,-1.5,-1.5,-1.5,-1.5,-1.5,,,,,,,,,1986475,-91.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ASHOKLEY,148.7,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,-2.16,110860000,0.29,0.29,0.29,0.29,0.29,,,,,,,,,3505000,-91.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ICICIBANK,"1,424.3",-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,-10.1,70886900,0.65,0.65,0.65,0.65,0.65,,,,,,,,,2219700,-91.29,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
APLAPOLLO,"1,812.7",-18.1,-18.1,-18.1,-18.1,-18.1,-18.1,-18.1,-18.1,-18.1,-18.1,-18.1,4383050,0.1,0.1,0.1,0.1,0.1,,,,,,,,,135100,-91.38,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ADANIGREEN,"1,382.6",4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,16558200,-0.74,-0.74,-0.74,-0.74,-0.74,,,,,,,,,844200,-91.39,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
VOLTAS,"1,300.8",-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,-11.5,6257625,0.39,0.39,0.39,0.39,0.39,,,,,,,,,212625,-91.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
JINDALSTEL,"1,034.2",-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,-9.1,9040625,0.08,0.08,0.08,0.08,0.08,,,,,,,,,288125,-91.51,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BHARTIARTL,"1,890.4",-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,-20.3,19607050,0.07,0.07,0.07,0.07,0.07,,,,,,,,,1124325,-91.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GODREJPROP,2000,-35.3,-35.3,-35.3,-35.3,-35.3,-35.3,-35.3,-35.3,-35.3,-35.3,-35.3,5447975,0.16,0.16,0.16,0.16,0.16,,,,,,,,,191100,-91.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SOLARINDS,18489,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,-112,552950,0.21,0.21,0.21,0.21,0.21,,,,,,,,,17700,-91.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CONCOR,477.35,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,-3.2,13893750,-0.06,-0.06,-0.06,-0.06,-0.06,,,,,,,,,307500,-91.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BANKBARODA,241.45,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,78679575,0.08,0.08,0.08,0.08,0.08,,,,,,,,,2749500,-91.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
VBL,453.25,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,-5.4,36748050,-0.15,-0.15,-0.15,-0.15,-0.15,,,,,,,,,1118175,-91.75,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
AUROPHARMA,1542,18,18,18,18,18,18,18,18,18,18,18,6129200,-1.12,-1.12,-1.12,-1.12,-1.12,,,,,,,,,225500,-91.79,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GVT&D,"4,319.5",-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,-10.7,1438625,-0.35,-0.35,-0.35,-0.35,-0.35,,,,,,,,,52125,-91.81,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LTM,"3,959.4",-13.4,-13.4,-13.4,-13.4,-13.4,-13.4,-13.4,-13.4,-13.4,-13.4,-13.4,2385900,0.91,0.91,0.91,0.91,0.91,,,,,,,,,114600,-91.86,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MOTHERSON,143.62,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,-2.12,109396200,-0.44,-0.44,-0.44,-0.44,-0.44,,,,,,,,,3923700,-91.86,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SHREECEM,26635,-135,-135,-135,-135,-135,-135,-135,-135,-135,-135,-135,223300,-0.16,-0.16,-0.16,-0.16,-0.16,,,,,,,,,13825,-91.93,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
COLPAL,"2,101.9",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,3527975,0.83,0.83,0.83,0.83,0.83,,,,,,,,,101750,-91.94,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
OIL,457.8,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,-2.15,11527600,0.73,0.73,0.73,0.73,0.73,,,,,,,,,789600,-91.96,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SUZLON,52.17,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,-0.34,252907800,-0.83,-0.83,-0.83,-0.83,-0.83,,,,,,,,,13055600,-91.99,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
VEDL,261.7,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,-3.35,50608050,-0.41,-0.41,-0.41,-0.41,-0.41,,,,,,,,,979800,-92.02,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SBICARD,618,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,-4.6,14700800,0.73,0.73,0.73,0.73,0.73,,,,,,,,,831200,-92.05,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HAL,4549,-36.3,-36.3,-36.3,-36.3,-36.3,-36.3,-36.3,-36.3,-36.3,-36.3,-36.3,3314550,-0.08,-0.08,-0.08,-0.08,-0.08,,,,,,,,,85350,-92.08,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TORNTPHARM,"5,023.3",-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,2486875,0.24,0.24,0.24,0.24,0.24,,,,,,,,,119125,-92.1,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
CIPLA,"1,429.5",37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,37.5,6542025,2.08,2.08,2.08,2.08,2.08,,,,,,,,,731000,-92.17,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RELIANCE,"1,265.8",-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,-7.9,71013000,0.36,0.36,0.36,0.36,0.36,,,,,,,,,1666000,-92.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ETERNAL,280.9,-6.65,-6.65,-6.65,-6.65,-6.65,-6.65,-6.65,-6.65,-6.65,-6.65,-6.65,94669575,0.48,0.48,0.48,0.48,0.48,,,,,,,,,5480500,-92.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BAJFINANCE,"1,026.2",-14.4,-14.4,-14.4,-14.4,-14.4,-14.4,-14.4,-14.4,-14.4,-14.4,-14.4,48442500,0.76,0.76,0.76,0.76,0.76,,,,,,,,,1288500,-92.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TATAPOWER,373.95,-2.05,-2.05,-2.05,-2.05,-2.05,-2.05,-2.05,-2.05,-2.05,-2.05,-2.05,46324600,-0.18,-0.18,-0.18,-0.18,-0.18,,,,,,,,,696000,-92.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
IRFC,86.42,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,59951675,-1.32,-1.32,-1.32,-1.32,-1.32,,,,,,,,,2663675,-92.31,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ADANIENT,"3,022.4",9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,11288079,0.25,0.25,0.25,0.25,0.25,,,,,,,,,447432,-92.35,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TRENT,"2,850.7",-24.7,-24.7,-24.7,-24.7,-24.7,-24.7,-24.7,-24.7,-24.7,-24.7,-24.7,7065225,1.7,1.7,1.7,1.7,1.7,,,,,,,,,410850,-92.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TATACONSUM,"1,115.6",7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,10004500,0.76,0.76,0.76,0.76,0.76,,,,,,,,,457050,-92.38,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
IOC,137.8,-2.27,-2.27,-2.27,-2.27,-2.27,-2.27,-2.27,-2.27,-2.27,-2.27,-2.27,90631125,0.31,0.31,0.31,0.31,0.31,,,,,,,,,3661125,-92.4,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HINDPETRO,378.75,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,-5.9,27211950,-0.9,-0.9,-0.9,-0.9,-0.9,,,,,,,,,1356750,-92.42,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
UNIONBANK,168.03,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,89247825,0.27,0.27,0.27,0.27,0.27,,,,,,,,,2805450,-92.42,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ICICIPRULI,498.35,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5,12922250,-0.12,-0.12,-0.12,-0.12,-0.12,,,,,,,,,441225,-92.49,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PAGEIND,40025,-230,-230,-230,-230,-230,-230,-230,-230,-230,-230,-230,216020,1.18,1.18,1.18,1.18,1.18,,,,,,,,,8060,-92.53,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ASTRAL,1410,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,-2.4,5431075,-0.91,-0.91,-0.91,-0.91,-0.91,,,,,,,,,240975,-92.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BAJAJHLDNG,10739,77,77,77,77,77,77,77,77,77,77,77,196200,-0.08,-0.08,-0.08,-0.08,-0.08,,,,,,,,,8775,-92.54,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
RADICO,"4,077.7",22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,472650,-0.51,-0.51,-0.51,-0.51,-0.51,,,,,,,,,14100,-92.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SBIN,1008,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,42166500,0.22,0.22,0.22,0.22,0.22,,,,,,,,,1046250,-92.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
EICHERMOT,"7,606.5",-113.5,-113.5,-113.5,-113.5,-113.5,-113.5,-113.5,-113.5,-113.5,-113.5,-113.5,2291700,1.75,1.75,1.75,1.75,1.75,,,,,,,,,114300,-92.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SUPREMEIND,3405,-15.5,-15.5,-15.5,-15.5,-15.5,-15.5,-15.5,-15.5,-15.5,-15.5,-15.5,1269450,-0.62,-0.62,-0.62,-0.62,-0.62,,,,,,,,,61250,-92.6,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BAJAJ-AUTO,"11,207.5",-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,-67,1666650,0.15,0.15,0.15,0.15,0.15,,,,,,,,,77025,-92.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PERSISTENT,5061,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,56.1,3039750,0.45,0.45,0.45,0.45,0.45,,,,,,,,,150875,-92.7,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
AUBANK,971.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,-6.2,15183000,0.33,0.33,0.33,0.33,0.33,,,,,,,,,513000,-92.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
VMM,107.75,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,-2.2,24735000,-1.81,-1.81,-1.81,-1.81,-1.81,,,,,,,,,2652950,-92.81,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HEROMOTOCO,"5,035.1",-66.6,-66.6,-66.6,-66.6,-66.6,-66.6,-66.6,-66.6,-66.6,-66.6,-66.6,3358050,0.11,0.11,0.11,0.11,0.11,,,,,,,,,205950,-92.83,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
COCHINSHIP,"1,388.5",-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,-6.7,4947200,-1.51,-1.51,-1.51,-1.51,-1.51,,,,,,,,,172000,-92.88,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TITAN,"4,666.4",-26.5,-26.5,-26.5,-26.5,-26.5,-26.5,-26.5,-26.5,-26.5,-26.5,-26.5,3701775,0.38,0.38,0.38,0.38,0.38,,,,,,,,,104825,-92.88,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HDFCLIFE,551.9,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,29423900,1.17,1.17,1.17,1.17,1.17,,,,,,,,,831600,-92.9,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BHEL,405.95,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,51282000,0.17,0.17,0.17,0.17,0.17,,,,,,,,,1924125,-92.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ASIANPAINT,"2,646.6",-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,5261750,0.19,0.19,0.19,0.19,0.19,,,,,,,,,134250,-92.95,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NTPC,346.45,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,94143000,0.07,0.07,0.07,0.07,0.07,,,,,,,,,1815000,-92.98,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ADANIENSOL,"1,697.3",13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13.4,13433850,-0.75,-0.75,-0.75,-0.75,-0.75,,,,,,,,,564975,-93.09,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
INDIANB,818.8,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,-7.3,12830000,0.12,0.12,0.12,0.12,0.12,,,,,,,,,362000,-93.09,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TATASTEEL,182.02,-2.34,-2.34,-2.34,-2.34,-2.34,-2.34,-2.34,-2.34,-2.34,-2.34,-2.34,114653000,-0.03,-0.03,-0.03,-0.03,-0.03,,,,,,,,,3033250,-93.11,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PNB,109.45,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,174096000,0.34,0.34,0.34,0.34,0.34,,,,,,,,,5816000,-93.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DMART,"4,072.7",23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,23.4,3204450,0,0,0,0,0,,,,,,,,,162750,-93.18,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
JUBLFOOD,412.5,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,-1.1,13425000,-0.53,-0.53,-0.53,-0.53,-0.53,,,,,,,,,455000,-93.22,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DABUR,421.3,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,-1.45,20313750,0.88,0.88,0.88,0.88,0.88,,,,,,,,,601250,-93.24,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
KOTAKBANK,382.75,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,102640000,1.3,1.3,1.3,1.3,1.3,,,,,,,,,2768000,-93.29,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
POWERGRID,289,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,39466800,0.07,0.07,0.07,0.07,0.07,,,,,,,,,999400,-93.3,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
IDFCFIRSTB,79.19,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,-0.71,233321900,-0.17,-0.17,-0.17,-0.17,-0.17,,,,,,,,,6650175,-93.36,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
POWERINDIA,32255,140,140,140,140,140,140,140,140,140,140,140,375250,0.26,0.26,0.26,0.26,0.26,,,,,,,,,10100,-93.37,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
PATANJALI,335.7,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,-1.85,21942900,-1.34,-1.34,-1.34,-1.34,-1.34,,,,,,,,,834200,-93.43,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
JSWENERGY,550.7,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,-8.75,14394250,-0.26,-0.26,-0.26,-0.26,-0.26,,,,,,,,,733150,-93.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
TVSMOTOR,"3,879.8",-34.9,-34.9,-34.9,-34.9,-34.9,-34.9,-34.9,-34.9,-34.9,-34.9,-34.9,7434175,1.24,1.24,1.24,1.24,1.24,,,,,,,,,345450,-93.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NIFTYNXT50,"71,317.2",-504.6,-504.6,-504.6,-504.6,-504.6,-504.6,-504.6,-504.6,-504.6,-504.6,-504.6,11450,-0.87,-0.87,-0.87,-0.87,-0.87,,,,,,,,,650,-93.56,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
GAIL,170.99,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,-0.83,47317950,0.77,0.77,0.77,0.77,0.77,,,,,,,,,1806950,-93.57,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BHARATFORG,"2,155.9",-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,-25.7,4977000,0.07,0.07,0.07,0.07,0.07,,,,,,,,,206000,-93.61,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
SIEMENS,"3,638.2",-36.7,-36.7,-36.7,-36.7,-36.7,-36.7,-36.7,-36.7,-36.7,-36.7,-36.7,2530850,0.31,0.31,0.31,0.31,0.31,,,,,,,,,97475,-93.61,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MAXHEALTH,"1,076.8",-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,-6.9,6468525,0.51,0.51,0.51,0.51,0.51,,,,,,,,,265125,-93.69,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
ZYDUSLIFE,"1,115.6",1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,6127200,-0.06,-0.06,-0.06,-0.06,-0.06,,,,,,,,,219600,-93.76,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HYUNDAI,"1,942.8",-17.8,-17.8,-17.8,-17.8,-17.8,-17.8,-17.8,-17.8,-17.8,-17.8,-17.8,3602500,-0.42,-0.42,-0.42,-0.42,-0.42,,,,,,,,,110825,-93.78,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
M&M,"3,182.1",-42.7,-42.7,-42.7,-42.7,-42.7,-42.7,-42.7,-42.7,-42.7,-42.7,-42.7,10007600,0.53,0.53,0.53,0.53,0.53,,,,,,,,,352200,-93.8,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
UNOMINDA,"1,110.1",-20.5,-20.5,-20.5,-20.5,-20.5,-20.5,-20.5,-20.5,-20.5,-20.5,-20.5,2912800,0.61,0.61,0.61,0.61,0.61,,,,,,,,,126500,-93.94,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BOSCHLTD,41760,-520,-520,-520,-520,-520,-520,-520,-520,-520,-520,-520,125325,-0.46,-0.46,-0.46,-0.46,-0.46,,,,,,,,,7050,-93.96,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HDFCBANK,741.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,-7.2,143384800,0.29,0.29,0.29,0.29,0.29,,,,,,,,,4011800,-94.09,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
MFSL,"1,496.1",-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,-11.1,6556800,0.77,0.77,0.77,0.77,0.77,,,,,,,,,117200,-94.12,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
HINDUNILVR,"2,156.2",-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,13912800,0.38,0.38,0.38,0.38,0.38,,,,,,,,,274500,-94.15,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
BPCL,306,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,-3.45,31929825,0.3,0.3,0.3,0.3,0.3,,,,,,,,,985525,-94.17,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
NYKAA,320.8,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,-3.7,28643750,0.39,0.39,0.39,0.39,0.39,,,,,,,,,984375,-94.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
LTF,300.5,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,-3.95,33504750,-0.06,-0.06,-0.06,-0.06,-0.06,,,,,,,,,1194750,-94.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
DIVISLAB,7272,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,2121400,0.36,0.36,0.36,0.36,0.36,,,,,,,,,88200,-94.33,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_24_7_2026.xlsx
