event_id,trading_date,observation_timestamp,symbol,direction,status,open_price,current_price,expected_1x_price,expected_1x_move,breakout_distance,price_chg_pct,high,low,atm_straddle_pct,opening_straddle_premium,source_atm_straddle_price,iv_chg_pct,oi_chg_pct,pcr_chg_pct,ce_oi_chg_pct,pe_oi_chg_pct,pe_minus_ce_oi_chg,strategy_version
2026-08-12,2026-08-12T10:44:17.556980,FORTIS,DOWN,VALID_BREAKOUT,944.85,891.2,907.056,37.794,15.855999999999996,-5.03,944.85,888.8,4.77,37.794,42.5,25.25,2.58,10.81,18.56,32.04,332.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:44:17.556980,PNB,UP,VALID_BREAKOUT,114.0,119.2,118.5144,4.5144,0.685600000000008,4.58,119.98,114.0,4.53,4.5144,5.4,18.26,0.2,2.35,18.57,21.22,-42.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,FORTIS,DOWN,VALID_BREAKOUT,944.85,894.15,907.056,37.794,12.906000000000065,-4.72,944.85,893.0,4.65,37.794,41.65,21.19,2.04,5.41,14.38,21.99,119.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,PNB,UP,VALID_BREAKOUT,114.0,119.63,118.5144,4.5144,1.1156000000000006,4.96,119.98,114.0,4.7,4.5144,5.62,22.18,0.59,2.35,18.55,20.88,-68.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:44:17.556980,FORTIS,DOWN,VALID_BREAKOUT,944.85,891.2,907.056,37.794,15.855999999999996,-5.03,944.85,888.8,4.77,37.794,42.5,25.25,2.58,10.81,18.56,32.04,332.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:44:17.556980,PNB,UP,VALID_BREAKOUT,114.0,119.2,118.5144,4.5144,0.685600000000008,4.58,119.98,114.0,4.53,4.5144,5.4,18.26,0.2,2.35,18.57,21.22,-42.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,FORTIS,DOWN,VALID_BREAKOUT,944.85,894.15,907.056,37.794,12.906000000000065,-4.72,944.85,893.0,4.65,37.794,41.65,21.19,2.04,5.41,14.38,21.99,119.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,PNB,UP,VALID_BREAKOUT,114.0,119.63,118.5144,4.5144,1.1156000000000006,4.96,119.98,114.0,4.7,4.5144,5.62,22.18,0.59,2.35,18.55,20.88,-68.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:44:17.556980,FORTIS,DOWN,VALID_BREAKOUT,944.85,891.2,907.056,37.794,15.855999999999996,-5.03,944.85,888.8,4.77,37.794,42.5,25.25,2.58,10.81,18.56,32.04,332.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:44:17.556980,PNB,UP,VALID_BREAKOUT,114.0,119.2,118.5144,4.5144,0.685600000000008,4.58,119.98,114.0,4.53,4.5144,5.4,18.26,0.2,2.35,18.57,21.22,-42.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,FORTIS,DOWN,VALID_BREAKOUT,944.85,894.15,907.056,37.794,12.906000000000065,-4.72,944.85,893.0,4.65,37.794,41.65,21.19,2.04,5.41,14.38,21.99,119.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,PNB,UP,VALID_BREAKOUT,114.0,119.63,118.5144,4.5144,1.1156000000000006,4.96,119.98,114.0,4.7,4.5144,5.62,22.18,0.59,2.35,18.55,20.88,-68.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:44:17.556980,FORTIS,DOWN,VALID_BREAKOUT,944.85,891.2,907.056,37.794,15.855999999999996,-5.03,944.85,888.8,4.77,37.794,42.5,25.25,2.58,10.81,18.56,32.04,332.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:44:17.556980,PNB,UP,VALID_BREAKOUT,114.0,119.2,118.5144,4.5144,0.685600000000008,4.58,119.98,114.0,4.53,4.5144,5.4,18.26,0.2,2.35,18.57,21.22,-42.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,FORTIS,DOWN,VALID_BREAKOUT,944.85,894.15,907.056,37.794,12.906000000000065,-4.72,944.85,893.0,4.65,37.794,41.65,21.19,2.04,5.41,14.38,21.99,119.0,SDL-P1-Standard-Straddle-v1.0,
2026-08-12,2026-08-12T10:27:31.959841,PNB,UP,VALID_BREAKOUT,114.0,119.63,118.5144,4.5144,1.1156000000000006,4.96,119.98,114.0,4.7,4.5144,5.62,22.18,0.59,2.35,18.55,20.88,-68.0,SDL-P1-Standard-Straddle-v1.0,
