Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target
MARUTI,13550.0,14.0,2086000.0,1.7,,,,,,,,,124100.0,-59.48,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,13550.0,13279.0,14092.0
ASHOKLEY,153.39,1.04,142610000.0,1.11,,,,,,,,,6755000.0,-60.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,153.39,150.32219999999998,159.5256
ETERNAL,294.8,10.45,132773600.0,1.23,,,,,,,,,29837200.0,-61.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,294.8,288.904,306.59200000000004
DELHIVERY,471.7,4.55,21797875.0,0.54,,,,,,,,,1276125.0,-87.61,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,471.7,462.26599999999996,490.568
BAJAJFINSV,1888.0,11.6,9291600.0,1.82,,,,,,,,,579000.0,-26.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1888.0,1850.24,1963.52
HAVELLS,1215.4,6.2,8851500.0,0.6,,,,,,,,,636500.0,-41.26,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1215.4,1191.092,1264.016
TATACONSUM,1102.4,6.3,14987500.0,1.76,,,,,,,,,1186900.0,-39.23,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1102.4,1080.352,1146.496
PHOENIXLTD,2060.5,6.8,3170300.0,1.7,,,,,,,,,218050.0,-42.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2060.5,2019.29,2142.92
HAL,4586.4,16.4,4165800.0,1.01,,,,,,,,,237600.0,-73.4,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,4586.4,4494.672,4769.856
CUMMINSIND,5629.0,30.5,4211200.0,0.6,,,,,,,,,187400.0,-74.07,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,5629.0,5516.42,5854.16
GLENMARK,2214.2,12.6,11049750.0,0.11,,,,,,,,,307500.0,-82.2,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2214.2,2169.9159999999997,2302.768
BAJAJ-AUTO,11254.5,244.5,2368425.0,0.2,,,,,,,,,268350.0,-83.08,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,11254.5,11029.41,11704.68
FORTIS,949.4,2.1,10099800.0,0.65,,,,,,,,,540175.0,-67.63,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,949.4,930.4119999999999,987.376
LT,3822.9,5.1,11830700.0,0.41,,,,,,,,,485275.0,-66.02,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3822.9,3746.442,3975.8160000000003
PIIND,2723.4,23.2,2861075.0,0.2,,,,,,,,,215950.0,-63.01,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,2723.4,2668.9320000000002,2832.3360000000002
SWIGGY,265.3,1.54,44365750.0,0.6,,,,,,,,,4825300.0,-63.13,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,265.3,259.994,275.91200000000003
MANAPPURAM,353.75,3.7,55647000.0,0.81,,,,,,,,,4026000.0,-50.59,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,353.75,346.675,367.90000000000003
MUTHOOTFIN,3067.5,21.9,6240575.0,0.27,,,,,,,,,490600.0,-44.92,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,3067.5,3006.15,3190.2000000000003
KOTAKBANK,385.25,3.65,139376000.0,1.73,,,,,,,,,5218000.0,-70.37,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,385.25,377.545,400.66
INDIANB,832.1,4.0,15984000.0,0.48,,,,,,,,,962000.0,-59.06,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,832.1,815.458,865.384
UNOMINDA,1148.6,17.5,4576550.0,0.97,,,,,,,,,331650.0,-55.89,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,1148.6,1125.628,1194.5439999999999
HINDZINC,537.3,2.4,26532275.0,0.35,,,,,,,,,1626800.0,-52.21,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,537.3,526.554,558.7919999999999
ULTRACEMCO,11899.0,25.0,1653650.0,1.8,,,,,,,,,155000.0,-48.74,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,60,MEDIUM,NEUTRAL,WATCH,MEDIUM,11899.0,11661.02,12374.960000000001
