Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File
COLPAL,2112.6,-3.5,4444825.0,-0.97,,,,,,,,,364375.0,-9.74,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
DIVISLAB,7328.0,-22.5,3860000.0,8.51,,,,,,,,,390400.0,-10.07,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
VEDL,267.1,4.2,57723100.0,-1.61,,,,,,,,,3882400.0,-10.64,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
IRFC,86.99,-0.08,86881375.0,-3.63,,,,,,,,,8544375.0,-12.01,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
POLICYBZR,1545.7,-8.3,10420200.0,0.27,,,,,,,,,556150.0,-12.45,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ADANIENT,3078.1,-65.2,15413538.0,0.06,,,,,,,,,1418310.0,-14.72,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PATANJALI,337.45,1.75,29465750.0,-4.06,,,,,,,,,2926150.0,-14.94,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
DRREDDY,1154.0,-28.9,13593125.0,1.89,,,,,,,,,4266875.0,-15.17,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PFC,410.85,-1.7,48265100.0,-1.85,,,,,,,,,2433600.0,-15.37,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
JUBLFOOD,419.2,1.6,18497500.0,-2.41,,,,,,,,,1345000.0,-15.61,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
PNBHOUSING,1071.8,-11.6,6779500.0,1.57,,,,,,,,,593450.0,-15.77,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
KPITTECH,554.0,-0.6,13373400.0,-2.93,,,,,,,,,1294250.0,-15.95,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
WAAREEENER,2723.5,31.8,6858775.0,-5.08,,,,,,,,,872025.0,-17.47,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
ADANIPORTS,1802.0,-18.0,17192625.0,3.5,,,,,,,,,1321925.0,-17.91,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
IDEA,13.32,-0.23,4893964725.0,-0.18,,,,,,,,,350227500.0,-18.14,VOLUME_OI,VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx
