Symbol,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg%,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Price chg,Price chg (%),OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%)
FINNIFTY,1.38,-45.4,-0.17,-1.22,-7.75,-2.0,-0.45,-0.03,-5.17,1405.0,10.19,322.0,4.05,-1083,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOCIT,3.63,-127.0,-0.37,-0.14,-0.44,-1.0,-0.7,-0.07,-4.7,40.0,3.25,-24.0,-1.31,-64,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORCEMOT,4.46,434.0,2.49,1.35,2.99,-209.0,-2.28,-0.06,-12.77,1741.0,21.56,216.0,5.65,-1525,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTIS,2.09,2.1,0.22,0.26,1.2,75.0,0.58,0.01,1.89,-33.0,-1.04,24.0,1.43,57,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,2.2,-1.2,-0.69,-3.17,-12.36,-323.0,-1.61,0.0,0.0,-342.0,-4.36,-198.0,-4.06,144,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,2.42,13.6,0.62,-0.73,-2.84,24.0,0.08,0.02,3.23,-128.0,-2.11,11.0,0.29,139,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GMRAIRPORT,2.51,-1.19,-1.08,0.34,1.28,686.0,4.16,0.01,1.89,-75.0,-1.01,-2.0,-0.05,73,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODFRYPHLP,6.74,-7.6,-0.37,3.13,7.67,-164.0,-2.64,-0.04,-7.41,233.0,7.5,23.0,1.38,-210,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJCP,2.45,7.8,0.73,-1.29,-4.87,1780.0,9.01,-0.02,-2.9,67.0,1.5,-38.0,-1.24,-105,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODREJPROP,2.71,-5.8,-0.28,-1.34,-4.48,481.0,2.24,0.0,0.0,-25.0,-0.24,11.0,0.13,36,PRICE_OI,Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
