Symbol,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Sector,Price,Price Chg%,OI,PCR,Bldp,Price.1,Price Chg.1,Price Chg%.1,OI Chg.1,OI Chg %.1,Bldp.1,Price.2,Price Chg.2,Price Chg%.2,OI Chg.2,OI Chg %.2,Bldp.2,Price.3,Price Chg.3,Price Chg%.3,OI Chg.3,OI Chg %.3,Bldp.3,Exported data,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Fut OI,Fut OI Chg,Fut OI Chg %,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Price chg,Price chg (%),OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%)
MAZDOCK,,7.8,,,,-409.0,-1.8,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Aerospace & Defence,2308.9,0.34,22346.0,0.53,SC,2314,-5.1,-0.22,-64.0,-0.29,LU,2307.8,1.1,0.05,-113,-0.5,SC,2308.2,0.7,0.03,-271.0,-1.2,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDEA,,-0.22,,,,-105.0,-0.15,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Telecom-Service,13.33,-1.62,68490.0,0.45,LU,13.33,0,0,-62.0,-0.09,-,13.38,-0.05,-0.37,-33,-0.05,LU,13.45,-0.12,-0.89,-72.0,-0.1,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,,-1.68,,,,-2.0,-0.01,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Power Generation & Distribution,215.12,-0.77,39613.0,0.55,LU,214.91,0.21,0.1,-56.0,-0.14,SC,216.15,-1.03,-0.48,-49,-0.12,LU,214.98,0.14,0.07,-148.0,-0.37,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SBICARD,,-3.65,,,,-693.0,-2.38,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Finance,621.55,-0.58,28409.0,0.48,LU,622.8,-1.25,-0.2,-56.0,-0.2,LU,618.5,3.05,0.49,-230,-0.8,SC,625.8,-4.25,-0.68,-1305.0,-4.39,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IREDA,,0.93,,,,-802.0,-5.67,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Finance,120.13,0.78,13348.0,0.63,SC,120.43,-0.3,-0.25,-56.0,-0.42,LU,120.59,-0.46,-0.38,-143,-1.06,LU,120.49,-0.36,-0.3,-549.0,-3.95,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAIL,,-0.45,,,,-354.0,-0.92,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Steel,161.11,-0.28,38207.0,0.55,LU,161.78,-0.67,-0.41,-55.0,-0.14,LU,161.67,-0.56,-0.35,-141,-0.37,LU,162.45,-1.34,-0.82,-360.0,-0.93,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,,-59.7,,,,76.0,0.15,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Trading,3083.6,-1.9,49928.0,0.63,SB,3079.8,3.8,0.12,-51.0,-0.1,SC,3104.3,-20.7,-0.67,-180,-0.36,LU,3114.2,-30.6,-0.98,25.0,0.05,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YESBANK,,-0.16,,,,-15.0,-0.04,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Banks,23.05,-0.69,33859.0,0.4,LU,22.97,0.08,0.35,-51.0,-0.15,SC,23.12,-0.07,-0.3,-33,-0.1,LU,23.05,0.0,0.0,-7.0,-0.02,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COCHINSHIP,,12.3,,,,-370.0,-2.14,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Aerospace & Defence,1378.5,0.9,16880.0,0.55,SC,1379.1,-0.6,-0.04,-50.0,-0.3,LU,1377.2,1.3,0.09,-140,-0.82,SC,1375.6,2.9,0.21,-289.0,-1.68,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBEROIRLTY,,-5.3,,,,-397.0,-2.28,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Realty,1835.4,-0.29,17005.0,0.66,LU,1823.5,11.9,0.65,-49.0,-0.29,SC,1831.9,3.5,0.19,-140,-0.82,SC,1823.7,11.7,0.64,-373.0,-2.15,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KALYANKJIL,,1.7,,,,-45.0,-0.21,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,"Diamond, Gems and Jewellery",597.55,0.29,21613.0,1.28,SC,594.4,3.15,0.53,-47.0,-0.22,SC,595.05,2.5,0.42,-59,-0.27,SC,598.4,-0.85,-0.14,-142.0,-0.65,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TATAELXSI,,-5.3,,,,-297.0,-1.14,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,IT - Software,3409.7,-0.16,25825.0,0.48,LU,3412.6,-2.9,-0.08,-46.0,-0.18,LU,3414.1,-4.4,-0.13,-103,-0.4,LU,3390.4,19.3,0.57,-306.0,-1.17,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,,-2.5,,,,-180.0,-1.18,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Pharmaceuticals,1529.1,-0.16,15022.0,0.47,LU,1525.1,4,0.26,-45.0,-0.3,SC,1528.4,0.7,0.05,-93,-0.62,SC,1525.5,3.6,0.24,-129.0,-0.85,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEX,,-0.1,,,,-208.0,-1.25,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Financial Services,123.47,-0.08,16398.0,0.58,LU,124.01,-0.54,-0.44,-43.0,-0.26,LU,124.08,-0.61,-0.49,-73,-0.44,LU,124.47,-1.0,-0.8,-148.0,-0.89,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBLBANK,,-1.35,,,,-286.0,-2.1,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Banks,353.7,-0.38,13348.0,0.48,LU,353.4,0.3,0.08,-41.0,-0.31,SC,353.65,0.05,0.01,-113,-0.84,SC,355.3,-1.6,-0.45,-243.0,-1.79,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BDL,,2.5,,,,-262.0,-1.44,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Aerospace & Defence,1242.0,0.2,17953.0,0.39,SC,1245.9,-3.9,-0.31,-39.0,-0.22,LU,1240.5,1.5,0.12,-101,-0.56,SC,1242.7,-0.7,-0.06,-195.0,-1.07,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKINDIA,,-0.4,,,,-127.0,-0.74,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Banks,143.89,-0.28,17010.0,0.82,LU,143.78,0.11,0.08,-38.0,-0.22,SC,143.98,-0.09,-0.06,-58,-0.34,LU,143.69,0.2,0.14,-160.0,-0.93,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LICHSGFIN,,-0.9,,,,-160.0,-0.96,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Finance,537.1,-0.17,16502.0,0.65,LU,539.1,-2,-0.37,-38.0,-0.23,LU,538,-0.9,-0.17,-61,-0.37,LU,538.35,-1.25,-0.23,-112.0,-0.67,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INOXWIND,,0.36,,,,-211.0,-1.49,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Capital Goods - Electrical Equipment,77.11,0.47,13936.0,0.56,SC,77.21,-0.1,-0.13,-37.0,-0.26,LU,77.3,-0.19,-0.25,-61,-0.44,LU,77.21,-0.1,-0.13,-124.0,-0.88,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBL,,2.35,,,,-264.0,-0.71,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,FMCG,463.0,0.51,37152.0,0.5,SC,462.75,0.25,0.05,-36.0,-0.1,SC,461.85,1.15,0.25,-216,-0.58,SC,462.7,0.3,0.06,-317.0,-0.85,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUVAMA,,33.6,,,,-145.0,-4.57,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Stock/ Commodity Brokers,1915.3,1.79,3028.0,0.64,SC,1915,0.3,0.02,-36.0,-1.17,SC,1927.7,-12.4,-0.64,-97,-3.11,LU,1912.5,2.8,0.15,-131.0,-4.15,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KAYNES,,61.5,,,,-291.0,-1.13,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Consumer Durables,3314.9,1.89,25460.0,0.57,SC,3318.5,-3.6,-0.11,-35.0,-0.14,LU,3317,-2.1,-0.06,-95,-0.37,LU,3303.0,11.9,0.36,-231.0,-0.9,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTHERSON,,1.91,,,,-107.0,-0.46,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Auto Ancillaries,145.6,1.33,23201.0,0.63,SC,145.5,0.1,0.07,-30.0,-0.13,SC,144.45,1.15,0.8,-119,-0.51,SC,144.68,0.92,0.64,-209.0,-0.89,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TMPV,,-0.35,,,,-236.0,-0.46,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Automobile,327.7,-0.11,51103.0,0.42,LU,328.2,-0.5,-0.15,-29.0,-0.06,LU,327.15,0.55,0.17,-60,-0.12,SC,326.2,1.5,0.46,-113.0,-0.22,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCOR,,3.4,,,,-41.0,-0.31,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Logistics,484.25,0.71,13005.0,0.78,SC,484.5,-0.25,-0.05,-29.0,-0.22,LU,483.7,0.55,0.11,-47,-0.36,SC,483.0,1.25,0.26,-49.0,-0.38,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALBHARAT,,3.6,,,,-476.0,-3.28,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Cement,1867.6,0.19,14040.0,0.75,SC,1869.4,-1.8,-0.1,-25.0,-0.18,LU,1868.9,-1.3,-0.07,-81,-0.57,LU,1881.4,-13.8,-0.73,-293.0,-2.04,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,,-0.7,,,,-387.0,-2.08,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Plastic products,1409.6,-0.05,18198.0,0.62,LU,1412,-2.4,-0.17,-24.0,-0.13,LU,1411,-1.4,-0.1,-89,-0.49,LU,1418.2,-8.6,-0.61,-367.0,-1.98,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SIEMENS,,32.6,,,,-480.0,-2.28,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Capital Goods - Electrical Equipment,3674.4,0.9,20608.0,0.54,SC,3684.4,-10,-0.27,-23.0,-0.11,LU,3673,1.4,0.04,-119,-0.57,SC,3659.7,14.7,0.4,-443.0,-2.1,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMDC,,-0.23,,,,-268.0,-0.51,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Mining & Mineral products,83.22,-0.28,51854.0,0.56,LU,83.46,-0.24,-0.29,-22.0,-0.04,LU,83.69,-0.47,-0.56,-67,-0.13,LU,83.96,-0.74,-0.88,-223.0,-0.43,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,,-2.6,,,,-292.0,-2.93,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Stock/ Commodity Brokers,310.4,-0.83,9661.0,0.47,LU,310.35,0.05,0.02,-21.0,-0.22,SC,311.65,-1.25,-0.4,-55,-0.57,LU,313.7,-3.3,-1.05,-418.0,-4.14,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUBLFOOD,,1.4,,,,-348.0,-2.3,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Quick Service Restaurant,419.0,0.34,14815.0,0.79,SC,419.4,-0.4,-0.1,-21.0,-0.14,LU,418.2,0.8,0.19,-79,-0.53,SC,417.9,1.1,0.26,-674.0,-4.35,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NESTLEIND,,-40.6,,,,-242.0,-1.13,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,FMCG,1457.6,-2.71,21116.0,0.45,LU,1463.3,-5.7,-0.39,-20.0,-0.09,LU,1459.9,-2.3,-0.16,20,0.09,SB,1470.0,-12.4,-0.84,-136.0,-0.64,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUESTARCO,,-2.3,,,,-45.0,-0.52,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Consumer Durables,1655.7,-0.14,8533.0,0.67,LU,1656.3,-0.6,-0.04,-19.0,-0.22,LU,1656,-0.3,-0.02,-50,-0.58,LU,1656.1,-0.4,-0.02,-51.0,-0.59,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEI,,8.5,,,,368.0,3.52,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Cables,4990.5,0.17,10821.0,0.43,LB,5008.5,-18,-0.36,-19.0,-0.17,LU,4984.5,6,0.12,-50,-0.46,SC,4987.5,3.0,0.06,369.0,3.52,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGEL,,4.45,,,,-91.0,-0.77,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Consumer Durables,580.75,0.77,11656.0,0.71,SC,584.15,-3.4,-0.58,-18.0,-0.15,LU,585.3,-4.55,-0.78,-26,-0.22,LU,587.0,-6.25,-1.06,-81.0,-0.69,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,,106.0,,,,-105.0,-0.57,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Capital Goods - Electrical Equipment,7642.0,1.41,18430.0,0.73,SC,7635,7,0.09,-18.0,-0.1,SC,7633.5,8.5,0.11,-52,-0.28,SC,7608.0,34.0,0.45,-45.0,-0.24,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHARTIARTL,,-17.7,,,,24.0,0.04,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Telecom-Service,1912.1,-0.92,65304.0,0.5,SB,1917.1,-5,-0.26,-17.0,-0.03,LU,1919.7,-7.6,-0.4,-119,-0.18,LU,1921.5,-9.4,-0.49,-248.0,-0.38,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBCC,,-0.19,,,,-79.0,-0.54,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Miscellaneous,94.61,-0.2,14609.0,0.43,LU,94.53,0.08,0.08,-16.0,-0.11,SC,94.62,-0.01,-0.01,-17,-0.12,LU,94.12,0.49,0.52,-49.0,-0.33,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICICIGI,,-3.1,,,,68.0,0.35,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Insurance,1583.5,-0.2,19376.0,0.59,SB,1585,-1.5,-0.09,-16.0,-0.08,LU,1583.2,0.3,0.02,-78,-0.4,SC,1584.2,-0.7,-0.04,35.0,0.18,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OFSS,,24.0,,,,-362.0,-2.27,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,IT - Software,10895.0,0.22,15620.0,0.5,SC,10672,223,2.09,-16.0,-0.1,SC,10469,426,4.07,22,0.14,LB,10850.0,45.0,0.41,-211.0,-1.33,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VOLTAS,,6.7,,,,-29.0,-0.14,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Consumer Durables,1315.8,0.51,20847.0,0.71,SC,1321.4,-5.6,-0.42,-14.0,-0.07,LU,1320,-4.2,-0.32,-45,-0.22,LU,1317.5,-1.7,-0.13,-16.0,-0.08,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDZINC,,2.85,,,,72.0,0.33,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Non Ferrous Metals,537.75,0.53,21656.0,0.61,LB,539.25,-1.5,-0.28,-13.0,-0.06,LU,539.85,-2.1,-0.39,-24,-0.11,LU,540.0,-2.25,-0.42,-24.0,-0.11,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMS,,-7.75,,,,93.0,1.17,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Financial Services,764.75,-1.0,8073.0,0.47,SB,763.1,1.65,0.22,-12.0,-0.15,SC,764.9,-0.15,-0.02,-13,-0.16,LU,766.55,-1.8,-0.23,72.0,0.9,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIINDIA,,17.8,,,,-69.0,-0.72,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Capital Goods-Non Electrical Equipment,2922.6,0.61,9484.0,0.5,SC,2920,2.6,0.09,-12.0,-0.13,SC,2918.6,4,0.14,-2,-0.02,SC,2904.1,18.5,0.64,-59.0,-0.62,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONGC,,0.86,,,,45.0,0.13,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Crude Oil & Natural Gas,252.55,0.34,34795.0,0.5,LB,252.38,0.17,0.07,-10.0,-0.03,SC,252.73,-0.18,-0.07,23,0.07,SB,252.77,-0.22,-0.09,-17.0,-0.05,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFINTECH,,-2.05,,,,2.0,0.02,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Financial Services,879.45,-0.23,9010.0,0.69,SB,879.5,-0.05,-0.01,-9.0,-0.1,LU,879.75,-0.3,-0.03,-34,-0.38,LU,877.0,2.45,0.28,-24.0,-0.27,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,,20.8,,,,-102.0,-0.64,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Capital Goods-Non Electrical Equipment,1842.0,1.14,15906.0,0.82,SC,1845.4,-3.4,-0.18,-9.0,-0.06,LU,1839.9,2.1,0.11,-36,-0.23,SC,1840.9,1.1,0.06,-89.0,-0.56,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GODFRYPHLP,,-7.6,,,,-164.0,-2.64,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Tobacco Products,2061.2,-0.37,6049.0,0.5,LU,2063.5,-2.3,-0.11,-8.0,-0.13,LU,2064.7,-3.5,-0.17,-41,-0.68,LU,2074.4,-13.2,-0.64,-135.0,-2.18,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAXHEALTH,,6.0,,,,-60.0,-0.31,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Healthcare,1085.6,0.56,19137.0,0.46,SC,1083.1,2.5,0.23,-8.0,-0.04,SC,1084.9,0.7,0.06,-34,-0.18,SC,1081.0,4.6,0.43,-79.0,-0.41,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORCEMOT,,434.0,,,,-209.0,-2.28,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Automobile,17830.0,2.49,8967.0,0.41,SC,17934,-104,-0.58,-8.0,-0.09,LU,17927,-97,-0.54,-79,-0.87,LU,18005.0,-175.0,-0.97,-124.0,-1.36,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXIDEIND,,-4.0,,,,-8.0,-0.07,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Auto Ancillaries,443.55,-0.89,10709.0,0.64,LU,445,-1.45,-0.33,-5.0,-,LU,445.95,-2.4,-0.54,-5,-0.05,LU,446.25,-2.7,-0.61,-7.0,-0.07,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LTF,,0.4,,,,-94.0,-0.43,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Finance,306.5,0.13,21901.0,0.49,SC,306.65,-0.15,-0.05,-4.0,-0.02,LU,307.6,-1.1,-0.36,-29,-0.13,LU,309.0,-2.5,-0.81,-99.0,-0.45,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,,-34.0,,,,63.0,0.49,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Consumer Durables,7447.0,-0.45,12885.0,0.9,SB,7454.5,-7.5,-0.1,-3.0,-0.02,LU,7447,0,0,15,0.12,-,7464.5,-17.5,-0.23,96.0,0.75,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENMARK,,13.6,,,,24.0,0.08,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Pharmaceuticals,2215.2,0.62,29458.0,0.64,LB,2210,5.2,0.24,-3.0,-0.01,SC,2206.3,8.9,0.4,-10,-0.03,SC,2202.0,13.2,0.6,5.0,0.02,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDIANB,,5.3,,,,65.0,0.41,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Banks,833.4,0.64,15973.0,0.74,LB,827.9,5.5,0.66,-3.0,-0.02,SC,830.7,2.7,0.33,2,0.01,LB,827.45,5.95,0.72,4.0,0.03,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRREDDY,,-31.1,,,,405.0,1.9,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Pharmaceuticals,1151.8,-2.63,21750.0,0.66,SB,1149.6,2.2,0.19,-2.0,-0.01,SC,1153,-1.2,-0.1,73,0.34,SB,1148.0,3.8,0.33,224.0,1.04,LB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTILALOFS,,-2.3,,,,-148.0,-2.15,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Stock/ Commodity Brokers,944.0,-0.24,6738.0,0.37,LU,945.85,-1.85,-0.2,-2.0,-0.03,LU,946.8,-2.8,-0.3,-23,-0.34,LU,945.6,-1.6,-0.17,-42.0,-0.61,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POWERINDIA,,505.0,,,,-201.0,-1.04,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Capital Goods - Electrical Equipment,32685.0,1.57,19084.0,0.7,SC,32710,-25,-0.08,-2.0,-0.01,LU,32405,280,0.86,-16,-0.08,SC,32415.0,270.0,0.83,-483.0,-2.47,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,,-2.17,,,,343.0,1.85,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Banks,171.13,-1.25,18867.0,0.55,SB,170.84,0.29,0.17,-1.0,-0.01,SC,171.45,-0.32,-0.19,19,0.1,SB,171.59,-0.46,-0.27,70.0,0.37,SB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINNIFTY,,-45.4,,,,-2.0,-0.45,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,,26187.2,-0.17,443.0,0.55,LU,26187.2,0,0,-1.0,-0.23,-,26187.2,0,0,-1,-0.23,-,26130.5,56.7,0.22,-2.0,-0.45,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RADICO,,-46.8,,,,-5.0,-0.14,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,Alcoholic Beverages,4094.7,-1.13,3636.0,0.69,LU,4086.1,8.6,0.21,0.0,0,-,4096,-1.3,-0.03,-1,-0.03,LU,4142.0,-47.3,-1.14,-18.0,-0.49,LU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,,-262.75,,,,0.0,0.0,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,,64512.5,-0.41,2.0,1.12,-,-,-,-,0.0,-,-,-,-,-,-,-,-,64512.5,0.0,0.0,0.0,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOCIT,,-127.0,,,,-1.0,-0.7,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,,34355.0,-0.37,141.0,1.42,LU,34334,21,0.06,0.0,0,-,34334,21,0.06,0,0,-,34334.0,21.0,0.06,0.0,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COFORGE,,-4.0,,,,-809.0,-2.18,,,,,,,,FUTURES_OI,FuturesOI_28JUL26_Scan_23_7_2026.xlsx,IT - Software,1467.9,-0.27,36302.0,0.52,LU,1468.7,-0.8,-0.05,0.0,0,-,1468.6,-0.7,-0.05,-88,-0.24,LU,1461.9,6.0,0.41,-1668.0,-4.39,SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
