File,Path,Report Type,Rows,Status
Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,D:\My-data\Share_P&L\Ichart Data\Screenshot\july26\2026-07-23\Daywise_Price_and_OI_Summary_28JUL26_Report_2026-07-23.xlsx,PRICE_OI,218,SUCCESS
FuturesOI_28JUL26_Scan_23_7_2026.xlsx,D:\My-data\Share_P&L\Ichart Data\Screenshot\july26\2026-07-23\FuturesOI_28JUL26_Scan_23_7_2026.xlsx,FUTURES_OI,218,SUCCESS
IVR-IVP_28JUL26_Report_2026-07-23.xlsx,D:\My-data\Share_P&L\Ichart Data\Screenshot\july26\2026-07-23\IVR-IVP_28JUL26_Report_2026-07-23.xlsx,IVR_IVP,219,SUCCESS
Resistance_28JUL26_Scan_23_7_2026 (1).xlsx,D:\My-data\Share_P&L\Ichart Data\Screenshot\july26\2026-07-23\Resistance_28JUL26_Scan_23_7_2026 (1).xlsx,RESISTANCE,73,SUCCESS
Support_Resistance_28JUL26_Scan_23_7_2026.xlsx,D:\My-data\Share_P&L\Ichart Data\Screenshot\july26\2026-07-23\Support_Resistance_28JUL26_Scan_23_7_2026.xlsx,SUPPORT,101,SUCCESS
VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,D:\My-data\Share_P&L\Ichart Data\Screenshot\july26\2026-07-23\VolumeAndOISpikesScans_28JUL26_Report_23_7_2026.xlsx,VOLUME_OI,218,SUCCESS
