Symbol,ATM Straddle %,Open,High,Low,Close,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Report_Type,Source_File,Price,Price Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,PCR,Strike,Call OI,Call OI Chg,Put OI,Put OI Chg,Dist. From Strike %,Fut Buildup,Sector Name,Adv/ Dec/ Unchg,Price Chg %,Volume Chg %,OI Chg %,Rollover (%),Buildup,Tol CE OI Chg,Tol PE OI Chg,Tol PE-CE OI Chg,Tol PE-CE OI Chg %,Price chg,OI,OI chg,OI Chg (Value),Volume,Volume Chg %
360ONE,6.68,1160.9,1165.2,1148.4,1153.1,-11.6,-1.0,-0.46,-1.45,99.0,1.12,0.04,8.0,82.0,4.08,121.0,12.06,39,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABB,8.19,7306.0,7326.0,7232.5,7263.0,-77.5,-1.06,0.4,1.06,8.0,0.05,-0.05,-6.85,352.0,5.5,-110.0,-2.35,-462,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABCAPITAL,7.17,397.15,400.5,395.55,396.6,-3.5,-0.87,-0.2,-0.59,38.0,0.35,-0.03,-3.41,107.0,3.67,-10.0,-0.39,-117,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENSOL,7.18,1660.6,1672.6,1637.0,1667.5,-5.3,-0.32,2.22,7.07,136.0,0.48,0.02,3.51,19.0,0.37,101.0,3.47,82,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIENT,6.19,3040.0,3077.4,3010.3,3071.0,28.1,0.92,-1.14,-3.79,-70.0,-0.13,0.01,1.15,145.0,1.15,233.0,2.13,88,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIGREEN,8.08,1379.9,1380.0,1357.3,1376.6,-5.2,-0.38,0.19,0.5,307.0,0.7,0.0,0.0,443.0,3.32,309.0,4.08,-134,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPORTS,5.74,1727.0,1730.0,1672.2,1682.1,-46.8,-2.71,-0.17,-0.63,1004.0,2.32,-0.09,-14.75,6219.0,30.36,1302.0,10.36,-4917,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADANIPOWER,7.46,210.01,212.39,207.93,211.8,1.27,0.6,-0.63,-1.78,496.0,1.15,-0.02,-2.74,454.0,5.61,164.0,2.77,-290,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALKEM,6.17,5695.5,5862.5,5695.5,5830.0,134.0,2.35,2.97,11.09,152.0,1.39,-0.07,-20.0,1327.0,214.03,333.0,154.88,-994,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBER,8.02,7472.5,7522.0,7399.5,7516.0,72.0,0.97,0.56,1.53,-55.0,-0.44,0.14,12.73,195.0,3.21,1109.0,16.69,914,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBUJACEM,4.82,435.55,436.7,432.8,434.6,-3.5,-0.8,0.28,1.25,7.0,0.01,-0.03,-4.05,269.0,2.98,-64.0,-0.96,-333,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGELONE,7.58,303.0,303.0,298.85,299.55,-3.8,-1.25,-0.24,-0.67,113.0,1.12,-0.01,-1.82,203.0,3.93,49.0,1.72,-154,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APLAPOLLO,6.28,1877.0,1887.7,1863.2,1887.7,10.9,0.58,0.83,2.93,22.0,0.17,-0.04,-3.85,43.0,2.96,-21.0,-1.39,-64,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APOLLOHOSP,4.44,8943.5,8990.0,8910.5,8975.5,12.0,0.13,0.07,0.34,13.0,0.08,0.05,7.04,1068.0,43.34,921.0,52.42,-147,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHOKLEY,6.88,158.01,158.63,157.0,158.15,-0.49,-0.31,0.36,1.13,165.0,0.57,-0.02,-1.92,225.0,3.28,38.0,0.53,-187,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIANPAINT,4.88,2760.4,2769.9,2675.0,2721.2,-48.8,-1.76,-3.28,-12.55,863.0,2.75,-0.07,-11.67,5201.0,23.82,1140.0,8.64,-4061,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASTRAL,6.41,1480.0,1498.9,1462.1,1463.0,1.0,0.07,0.52,1.75,248.0,1.51,-0.08,-10.39,425.0,15.71,49.0,2.34,-376,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUBANK,5.26,1046.2,1046.2,1029.1,1033.8,-13.0,-1.24,-0.01,-0.04,-2.0,-0.01,-0.07,-7.87,62.0,1.92,-168.0,-5.87,-230,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUROPHARMA,6.35,1598.2,1613.3,1592.9,1604.5,4.9,0.31,-0.1,-0.34,136.0,0.76,0.0,0.0,178.0,4.11,128.0,4.72,-50,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AXISBANK,4.34,1237.0,1237.0,1225.7,1231.0,-9.0,-0.73,0.47,2.38,299.0,0.24,-0.01,-1.43,1966.0,7.35,1104.0,5.93,-862,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJ-AUTO,4.77,11356.5,11566.0,11356.5,11505.0,104.5,0.92,0.47,2.15,214.0,0.84,0.18,15.13,396.0,3.26,2711.0,18.75,2315,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJFINSV,6.02,1925.0,1937.9,1922.0,1922.2,-6.7,-0.35,0.58,2.09,177.0,0.61,-0.01,-1.09,1059.0,12.98,888.0,11.77,-171,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJAJHLDNG,6.3,10963.0,11019.0,10952.0,11012.0,1.0,0.01,-0.01,-0.03,-4.0,-0.09,-0.03,-4.62,18.0,2.72,-9.0,-2.08,-27,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAJFINANCE,7.21,1050.2,1064.7,1045.1,1057.2,-0.3,-0.03,0.49,1.49,729.0,0.83,-0.02,-2.33,1361.0,9.24,811.0,6.4,-550,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANDHANBNK,7.58,172.1,173.75,171.45,172.22,-0.89,-0.51,0.03,0.08,86.0,0.24,0.0,0.0,124.0,0.73,35.0,0.37,-89,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKBARODA,5.64,244.0,244.25,242.2,242.7,-2.15,-0.88,0.36,1.4,106.0,0.24,0.02,1.98,47.0,0.4,196.0,1.65,149,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BANKEX,0.44,64799.0,64832.25,64799.0,64832.25,0.0,0.0,6.18,40.29,0.0,0.0,-0.06,-6.12,24247.0,218.82,20394.0,187.53,-3853,PRICE_OI,Daywise_Price_and_OI_Summary_25AUG26_Report_2026-07-30 (1).xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
