Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Intraday Probability %,Confidence,Final Bias,Validation Signal,Risk Level,Entry Price,Stop Loss,Target,Replay Eligible,Filter Reason,High,Low,Close,Outcome,Outcome Reason,Exit Price,Points,Return %
FOCIT,37787.0,1.58,8100.0,11.11,,,,,,,,,1260.0,-62.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,75,HIGH,BUY,VALID BUY,MEDIUM,37787.0,37031.26,39298.48,True,Eligible,38029.0,37402.0,37449.0,EOD EXIT,Neither target nor stop reached; exited at close,37449.0,-338.0,-0.8944875221637071
IDEA,13.18,0.23,5889682950.0,0.0,,,,,,,,,11078625.0,-94.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,13.18,13.4436,12.6528,True,Eligible,13.28,12.92,12.95,EOD EXIT,Neither target nor stop reached; exited at close,12.95,0.23000000000000043,1.7450682852807315
INDUSINDBK,1006.0,-0.77,34617800.0,0.0,,,,,,,,,87500.0,-95.75,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,1006.0,1026.12,965.76,True,Eligible,1017.7,1003.1,1013.9,EOD EXIT,Neither target nor stop reached; exited at close,1013.9,-7.899999999999977,-0.7852882703777313
AUBANK,1036.0,-1.03,22147000.0,0.0,,,,,,,,,210000.0,-87.17,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,Negative Price Momentum,Neutral,35,LOW,SELL,VALID SELL,HIGH,1036.0,1056.72,994.56,True,Eligible,1046.2,1026.5,1034.7,EOD EXIT,Neither target nor stop reached; exited at close,1034.7,1.2999999999999545,0.1254826254826211
CIPLA,1484.0,0.08,9868075.0,0.0,,,,,,,,,43350.0,-97.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,1484.0,1513.68,1424.64,True,Eligible,1488.7,1471.1,1473.1,EOD EXIT,Neither target nor stop reached; exited at close,1473.1,10.900000000000091,0.734501347708901
JSWSTEEL,1281.4,-0.19,39320100.0,0.0,,,,,,,,,31050.0,-98.85,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,1281.4,1307.028,1230.144,True,Eligible,1288.9,1268.0,1277.3,EOD EXIT,Neither target nor stop reached; exited at close,1277.3,4.100000000000136,0.3199625409708238
LT,3938.3,-0.17,12023900.0,0.0,,,,,,,,,63350.0,-98.29,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,3938.3,4017.066,3780.768,True,Eligible,3963.9,3895.3,3951.0,EOD EXIT,Neither target nor stop reached; exited at close,3951.0,-12.699999999999818,-0.32247416397937734
COALINDIA,409.45,0.59,75728250.0,0.0,,,,,,,,,224100.0,-97.18,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,409.45,417.639,393.072,True,Eligible,415.2,406.7,414.0,EOD EXIT,Neither target nor stop reached; exited at close,414.0,-4.550000000000011,-1.1112467944804032
BHARTIARTL,1966.5,0.5,57743375.0,0.0,,,,,,,,,137750.0,-96.43,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,,Neutral,35,LOW,SELL,VALID SELL,HIGH,1966.5,2005.83,1887.84,True,Eligible,1969.0,1951.4,1961.8,EOD EXIT,Neither target nor stop reached; exited at close,1961.8,4.7000000000000455,0.23900330536486375
PRESTIGE,1626.8,-2.91,4983750.0,2.97,,,,,,,,,410400.0,-58.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,0,SELL,Negative Price Momentum; Fresh OI Buildup,Short Buildup,20,LOW,SELL,VALID SELL,HIGH,1626.8,1659.336,1561.7279999999998,True,Eligible,1636.0,1595.0,1600.3,EOD EXIT,Neither target nor stop reached; exited at close,1600.3,26.5,1.6289648389476274
