Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern
FOCIT,37787.0,1.58,8100.0,11.11,,,,,,,,,1260.0,-62.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup
EICHERMOT,7732.0,-0.17,4065000.0,2.94,,,,,,,,,353200.0,-34.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Fresh OI Buildup,Short Buildup
PERSISTENT,5593.2,2.31,3591500.0,0.3,,,,,,,,,91625.0,-80.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
TECHM,1669.0,1.59,17806800.0,0.61,,,,,,,,,306600.0,-86.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
HEROMOTOCO,5265.0,1.91,4811100.0,0.26,,,,,,,,,128400.0,-86.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
KAYNES,3668.0,0.3,3760650.0,2.28,,,,,,,,,322200.0,-86.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Fresh OI Buildup,Fresh Long Buildup
ONGC,242.6,1.32,54063000.0,0.21,,,,,,,,,1035000.0,-84.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
TVSMOTOR,4147.3,1.45,10968475.0,0.45,,,,,,,,,199500.0,-88.89,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
HCLTECH,1366.0,1.38,27214800.0,0.14,,,,,,,,,311200.0,-92.9,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
LODHA,1249.85,1.21,13800625.0,0.11,,,,,,,,,217500.0,-93.05,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
TCS,2472.8,1.24,33719625.0,0.32,,,,,,,,,440100.0,-93.33,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
NESTLEIND,1524.1,1.01,9442000.0,0.15,,,,,,,,,122000.0,-92.25,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
LTM,4521.9,2.06,2883300.0,0.32,,,,,,,,,48000.0,-91.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
WIPRO,188.03,2.44,251367000.0,-0.41,,,,,,,,,4071000.0,-90.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Short Covering
MPHASIS,2402.8,1.34,4228400.0,0.03,,,,,,,,,65450.0,-94.12,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup
