Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-3.1,-3.1,-3.1,-3.1,-3.1,,1.58,1.58,,,,,,,,,,-93.48,-93.48,UNKNOWN,Sector_Summary_25AUG26_Report_30_7_2026.xlsx
WAAREEENER,"2,553.7",-6.53,-6.53,-6.53,-6.53,-6.53,7435050,5.01,5.01,,,,,,,,,1126650,-15.66,-15.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
EICHERMOT,7732,-0.17,-0.17,-0.17,-0.17,-0.17,4065000,2.94,2.94,,,,,,,,,353200,-34.67,-34.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
DABUR,419.4,-3.72,-3.72,-3.72,-3.72,-3.72,29977500,2.05,2.05,,,,,,,,,2886250,-39.95,-39.95,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
FORCEMOT,17785,2.94,2.94,2.94,2.94,2.94,277650,-2.41,-2.41,,,,,,,,,32400,-42.6,-42.6,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
PREMIERENE,998.2,-3.14,-3.14,-3.14,-3.14,-3.14,6583200,2.48,2.48,,,,,,,,,358800,-53.06,-53.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
PRESTIGE,"1,626.8",-2.91,-2.91,-2.91,-2.91,-2.91,4983750,2.97,2.97,,,,,,,,,410400,-58.71,-58.71,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
FOCIT,37787,1.58,1.58,1.58,1.58,1.58,8100,11.11,11.11,,,,,,,,,1260,-62.67,-62.67,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
ASTRAL,1469,0.48,0.48,0.48,0.48,0.48,7039700,0.67,0.67,,,,,,,,,202725,-69.32,-69.32,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
BDL,"1,229.7",0.06,0.06,0.06,0.06,0.06,7281525,0.75,0.75,,,,,,,,,146200,-78.66,-78.66,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
360ONE,"1,154.8",-0.85,-0.85,-0.85,-0.85,-0.85,4433500,0.48,0.48,,,,,,,,,153000,-79.79,-79.79,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
PERSISTENT,"5,593.2",2.31,2.31,2.31,2.31,2.31,3591500,0.3,0.3,,,,,,,,,91625,-80.35,-80.35,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
ONGC,242.6,1.32,1.32,1.32,1.32,1.32,54063000,0.21,0.21,,,,,,,,,1035000,-84.16,-84.16,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
BIOCON,427.7,-1.19,-1.19,-1.19,-1.19,-1.19,47127500,-0.17,-0.17,,,,,,,,,895000,-84.64,-84.64,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
ULTRACEMCO,11840,-1.77,-1.77,-1.77,-1.77,-1.77,1761050,0.08,0.08,,,,,,,,,20100,-85.48,-85.48,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
KAYNES,3668,0.3,0.3,0.3,0.3,0.3,3760650,2.28,2.28,,,,,,,,,322200,-86.06,-86.06,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
IOC,139.79,0.06,0.06,0.06,0.06,0.06,146113500,0.38,0.38,,,,,,,,,1009125,-86.23,-86.23,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_30_7_2026.xlsx
