Symbol,Price,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,Price Chg %,OI,OI Chg %,OI Chg %,OI Chg %,OI Chg %,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Volume Chg %,Report_Type,Source_File
,,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,-1.21,,0.76,0.76,0.76,0.76,0.76,,,,,,,,,,-95.03,-95.03,UNKNOWN,Sector_Summary_25AUG26_Report_12_8_2026.xlsx
GODREJCP,940.5,-7.79,-7.79,-7.79,-7.79,-7.79,-7.79,-7.79,-7.79,-7.79,-7.79,-7.79,12419500,7.78,7.78,7.78,7.78,7.78,,,,,,,,,2195000,102.96,102.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
NATIONALUM,416.5,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,7.51,44248125,4,4,4,4,4,,,,,,,,,8060625,-2.49,-2.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
MANAPPURAM,361.95,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,-0.04,69636000,5.32,5.32,5.32,5.32,5.32,,,,,,,,,9861000,-40.69,-40.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
PIIND,"2,621.2",-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,-2.64,3164175,2.16,2.16,2.16,2.16,2.16,,,,,,,,,326900,-51.37,-51.37,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
HINDALCO,1088.05,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,48071800,0.84,0.84,0.84,0.84,0.84,,,,,,,,,2127300,-58.38,-58.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
MANKIND,"2,407.8",-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,-0.97,3138500,0.14,0.14,0.14,0.14,0.14,,,,,,,,,30750,-78.5,-78.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
FINNIFTY,"26,418.4",-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,-0.39,40860,0.59,0.59,0.59,0.59,0.59,,,,,,,,,1140,-80.21,-80.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
KOTAKBANK,390.55,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,-0.59,165342000,-0.09,-0.09,-0.09,-0.09,-0.09,,,,,,,,,462000,-83.5,-83.5,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
IEX,125.83,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,-0.53,72144750,-0.22,-0.22,-0.22,-0.22,-0.22,,,,,,,,,482850,-84.21,-84.21,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
AMBER,6996,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1397600,1.71,1.71,1.71,1.71,1.71,,,,,,,,,48600,-85.41,-85.41,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
LTF,312.45,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,-0.65,44095500,0.31,0.31,0.31,0.31,0.31,,,,,,,,,355500,-86.07,-86.07,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
TIINDIA,"2,762.5",0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,2257800,0.02,0.02,0.02,0.02,0.02,,,,,,,,,23800,-86.92,-86.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
MCX,"2,928.3",0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82,9239850,0.65,0.65,0.65,0.65,0.65,,,,,,,,,609075,-87.22,-87.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
BIOCON,427.5,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.61,48687500,0.17,0.17,0.17,0.17,0.17,,,,,,,,,282500,-87.91,-87.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
DIVISLAB,8638,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.81,3049500,0.36,0.36,0.36,0.36,0.36,,,,,,,,,69800,-88.96,-88.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx
