Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason,Pattern,Pattern_DNA,Pattern_ID,Historical_Probability,Historical_Confidence,Evidence_Level,Intraday Probability %,Confidence,Final Bias
NATIONALUM,416.5,7.51,44248125.0,4.0,,,,,,,,,8060625.0,-2.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_STRONG_UP|OI:OI_ACCUMULATION|VOLUME:VOLUME_NORMAL|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_A42025FF,50.0,0.0,NEW,75,HIGH,BUY
HINDALCO,1088.05,3.06,48071800.0,0.84,,,,,,,,,2127300.0,-58.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_STRONG_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_058DABA1,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
GVT&D,4468.2,1.67,2651000.0,0.35,,,,,,,,,39500.0,-91.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_7FA62012,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
HINDZINC,595.3,1.37,27269725.0,0.15,,,,,,,,,487550.0,-93.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_7FA62012,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
NMDC,85.6,1.01,350068500.0,0.02,,,,,,,,,1167750.0,-91.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_7FA62012,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
HEROMOTOCO,5898.0,1.24,4710900.0,0.34,,,,,,,,,56700.0,-92.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_7FA62012,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
BIOCON,427.5,0.61,48687500.0,0.17,,,,,,,,,282500.0,-87.91,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,0,SELL,,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_7FA62012,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
MCX,2928.3,0.82,9239850.0,0.65,,,,,,,,,609075.0,-87.22,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,0,SELL,,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_7FA62012,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
TIINDIA,2762.5,0.05,2257800.0,0.02,,,,,,,,,23800.0,-86.92,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,0,SELL,,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_NEUTRAL|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_CC3F09E3,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
DIVISLAB,8638.0,0.81,3049500.0,0.36,,,,,,,,,69800.0,-88.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,0,SELL,,Fresh Long Buildup,NORMALIZATION:1.0|PDNA:1.0|PRICE:PRICE_UP|OI:OI_NEUTRAL|VOLUME:VOLUME_CONTRACTION|PCR:PCR_NEUTRAL|IV:IV_NORMAL|SCORE:SCORE_NEUTRAL|PATTERN:FRESH LONG BUILDUP|DIRECTION:UNKNOWN,PDNA_7FA62012,50.0,0.0,NEW,60,MEDIUM,NEUTRAL
