Symbol,Price,Price Chg %,OI,OI Chg %,PCR,ATM Straddle %,IV Chg,IV Chg %,Fut OI,Fut OI Chg,Fut OI Chg %,Fut Buildup,Volume,Volume Chg %,Report_Type,Source_File,NTIS Intraday Score,Trade Bias,Reason
NATIONALUM,416.5,7.51,44248125.0,4.0,,,,,,,,,8060625.0,-2.49,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,40,NEUTRAL,Positive Price Momentum; Fresh OI Buildup
HINDALCO,1088.05,3.06,48071800.0,0.84,,,,,,,,,2127300.0,-58.38,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum
MANAPPURAM,361.95,-0.04,69636000.0,5.32,,,,,,,,,9861000.0,-40.69,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Fresh OI Buildup
VEDL,281.0,1.7,59837950.0,-0.06,,,,,,,,,704950.0,-91.4,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum
GVT&D,4468.2,1.67,2651000.0,0.35,,,,,,,,,39500.0,-91.36,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum
NMDC,85.6,1.01,350068500.0,0.02,,,,,,,,,1167750.0,-91.27,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum
IDEA,13.15,2.1,5831859675.0,-0.05,,,,,,,,,41598450.0,-93.93,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum
HINDZINC,595.3,1.37,27269725.0,0.15,,,,,,,,,487550.0,-93.28,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum
HEROMOTOCO,5898.0,1.24,4710900.0,0.34,,,,,,,,,56700.0,-92.58,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,20,SELL,Positive Price Momentum
GODREJCP,940.5,-7.79,12419500.0,7.78,,,,,,,,,2195000.0,102.96,VOLUME_OI,VolumeAndOISpikesScans_25AUG26_Report_12_8_2026.xlsx,15,SELL,Negative Price Momentum; Fresh OI Buildup; Volume Expansion
