Symbol,CMP,ATM Straddle %,Price Chg,Price Chg %,IV Chg,IV Chg %,OI Chg,OI Chg %,PCR Chg,PCR Chg %,Tot CE OI Chg,Tot CE OI Chg %,Tot PE OI Chg,Tot PE OI Chg %,Tot PE-CE OI Chg,Price,Price chg,Price chg (%),OI,OI chg,OI chg (%),OI Chg (Value),Volume,Volume Chg (%),Price Chg (%),Total OI,Total OI Chg,Total OI Chg (%),PCR,IV,IV Chg (%),IV Range (1Yr),HV (10/20/30 Days),IVR,IVP,IV/HV10 %,IV/HV20 %,IV/HV30 %,Resistance Strike,Resistance Call OI,Resistance Call OI Chg,Resistance Distance %,Near Resistance,Support Strike,Support Put OI,Support Put OI Chg,Support Distance %,Near Support
APOLLOHOSP,8838.5,2.55,-77.5,-0.87,-0.45,-2.39,-765.0,-4.52,-0.07,-7.87,482,5.18,-295,-3.56,-777,8838.5,-77.5,-0.87,2018375.0,-95625.0,-4.52,-84.52 Cr,247625.0,93.65,-0.87,2018375,-95625,-4.52,0.82,18.35,-2.39,9.79 - 47.61,14.83 / 16.08 / 15.57,22.63,44.53,23.74,14.12,17.85,9000.0,2460.0,38.0,1.83,NO,8700.0,879.0,219.0,1.57,NO
ASHOKLEY,155.61,4.87,0.22,0.14,-1.52,-4.14,156.0,0.54,0.01,1.49,-434,-2.42,-115,-0.96,319,155.61,0.22,0.14,145665000.0,780000.0,0.54,12.14 Cr,8965000.0,-9.85,0.14,145665000,780000,0.54,0.68,35.18,-4.14,14.12 - 47.87,37.70 / 40.85 / 52.34,62.4,73.68,-6.68,-13.88,-32.79,,,,,,,,,,
ASIANPAINT,2689.4,2.88,7.9,0.29,-1.05,-4.84,-574.0,-2.01,0.05,5.81,166,1.08,926,6.97,760,2689.4,7.9,0.29,6992750.0,-143500.0,-2.01,-38.59 Cr,566000.0,89.61,0.29,6992750,-143500,-2.01,0.91,20.65,-4.84,8.53 - 37.24,19.41 / 22.75 / 22.00,42.22,51.01,6.39,-9.23,-6.14,,,,,,,,,,
ASTRAL,1365.2,4.02,-12.1,-0.88,-0.17,-0.58,804.0,4.81,-0.06,-8.7,233,2.8,-280,-4.91,-513,1365.2,-12.1,-0.88,7447275.0,341700.0,4.81,46.65 Cr,894625.0,-38.9,-0.88,7447275,341700,4.81,0.63,29.05,-0.58,13.79 - 52.12,26.36 / 44.96 / 39.77,39.81,66.8,10.2,-35.39,-26.95,,,,,,,,,,
AUBANK,1029.8,4.56,-6.9,-0.67,-0.68,-2.02,146.0,0.68,0.02,3.03,40,0.61,166,3.84,126,1029.8,-6.9,-0.67,21767000.0,146000.0,0.68,15.04 Cr,2815000.0,111.5,-0.67,21767000,146000,0.68,0.68,32.92,-2.02,16.29 - 74.08,27.73 / 31.93 / 34.60,28.78,84.62,18.72,3.1,-4.86,,,,,,,,,,
AUROPHARMA,1533.4,3.63,-18.4,-1.19,-2.35,-8.26,169.0,0.82,-0.03,-5.66,308,3.91,-85,-2.03,-393,1533.4,-18.4,-1.19,11492800.0,92950.0,0.82,14.25 Cr,1027950.0,57.46,-1.19,11492800,92950,0.82,0.5,26.11,-8.26,16.22 - 48.20,20.62 / 33.44 / 32.97,30.93,43.32,26.62,-21.92,-20.81,,,,,,,,,,
AXISBANK,1332.1,4.65,21.9,1.67,2.8,9.1,-115.0,-0.11,0.11,17.74,743,2.1,4597,21.11,3854,1332.1,21.9,1.67,63648750.0,-71875.0,-0.11,-9.57 Cr,14730625.0,156.58,1.67,63648750,-71875,-0.11,0.73,33.56,9.1,12.00 - 40.40,23.24 / 21.57 / 23.40,75.92,95.55,44.41,55.59,43.42,,,,,,1300.0,5744.0,1936.0,2.41,NO
BAJAJ-AUTO,10485.5,3.91,109.5,1.06,-0.83,-2.86,-855.0,-2.32,0.01,1.33,273,1.48,424,3.07,151,10485.5,109.5,1.06,2696625.0,-64125.0,-2.32,-67.24 Cr,387150.0,8.9,1.06,2696625,-64125,-2.32,0.76,28.21,-2.86,13.51 - 35.33,25.31 / 27.65 / 23.80,67.37,89.07,11.46,2.03,18.53,10500.0,2672.0,389.0,0.14,YES,,,,,
BAJAJFINSV,1858.3,2.95,18.8,1.02,-0.55,-2.51,34.0,0.1,0,0,-549,-2.3,-279,-1.99,270,1858.3,18.8,1.02,10743000.0,10200.0,0.1,1.90 Cr,935400.0,-40.25,1.02,10743000,10200,0.1,0.59,21.32,-2.51,12.73 - 35.42,26.15 / 26.58 / 29.77,37.86,53.44,-18.47,-19.79,-28.38,1900.0,3481.0,-226.0,2.24,NO,,,,,
BAJAJHLDNG,10428.0,4.28,-24.0,-0.23,2.59,9.22,32.0,0.78,-0.01,-1.92,-14,-0.91,-29,-3.6,-15,10428.0,-24.0,-0.23,308625.0,2400.0,0.78,2.50 Cr,41925.0,75.79,-0.23,308625,2400,0.78,0.51,30.69,9.22,21.22 - 54.65,35.98 / 32.02 / 36.11,28.33,50.75,-14.7,-4.15,-15.01,,,,,,,,,,
BAJFINANCE,1056.1,3.51,17.4,1.68,-0.34,-1.33,-2839.0,-3.22,0.02,2.3,506,2.53,1024,5.92,518,1056.1,17.4,1.68,64088250.0,-2129250.0,-3.22,-224.87 Cr,8466750.0,43.72,1.68,64088250,-2129250,-3.22,0.89,25.29,-1.33,16.72 - 42.85,31.33 / 27.35 / 32.62,32.8,51.42,-19.28,-7.53,-22.47,,,,,,,,,,
BANDHANBNK,213.27,6.41,-1.13,-0.53,0.61,1.33,-291.0,-1.13,-0.06,-8.22,598,5.83,-227,-3.02,-825,213.27,-1.13,-0.53,91476000.0,-1047600.0,-1.13,-22.34 Cr,11642400.0,-11.59,-0.53,91476000,-1047600,-1.13,0.67,46.35,1.33,12.67 - 79.07,58.50 / 50.09 / 50.93,50.72,93.52,-20.77,-7.47,-8.99,,,,,,,,,,
BANKBARODA,247.4,4.94,-1.25,-0.5,0.01,0.03,-673.0,-1.64,0,0,233,0.95,175,1,-58,247.4,-1.25,-0.5,117763425.0,-1968525.0,-1.64,-48.70 Cr,10661625.0,67.43,-0.5,117763425,-1968525,-1.64,0.72,34.78,0.03,13.00 - 46.94,30.61 / 33.86 / 39.53,64.17,88.66,13.62,2.72,-12.02,255.0,2579.0,61.0,3.07,NO,,,,,
BANKEX,65723.75,2.36,224.65,0.34,0.14,0.88,0.0,0,0.12,9.92,-46,-5.53,36,3.56,82,65723.75,,,,,,,,,0.34,90,0,0,1.33,16.13,0.88,6.35 - 47.51,21.28 / 18.65 / 20.06,23.76,67.21,-24.2,-13.51,-19.59,,,,,,,,,,
BANKINDIA,143.66,5.02,-0.26,-0.18,-1.22,-3.26,-156.0,-0.83,0.02,2.6,5,0.07,128,2.22,123,143.66,-0.26,-0.18,96584800.0,-811200.0,-0.83,-11.65 Cr,6084000.0,-7.22,-0.18,96584800,-811200,-0.83,0.79,36.21,-3.26,14.29 - 59.98,56.92 / 42.22 / 42.77,47.98,72.87,-36.38,-14.23,-15.34,,,,,,,,,,
BANKNIFTY,58533.8,2.09,742.8,1.29,-0.2,-1.31,-641.0,-0.95,0.22,27.85,-35783,-6.47,84675,19.27,120458,58533.8,742.8,1.29,2006670.0,-19230.0,-0.95,-112.56 Cr,1078110.0,166.79,1.29,2006670,-19230,-0.95,1.01,15.07,-1.31,6.65 - 38.76,23.53 / 19.66 / 20.50,26.22,67.21,-35.95,-23.35,-26.49,59000.0,71677.0,-7054.0,0.8,NO,58000.0,45326.0,13098.0,0.91,NO
BDL,1253.2,5.02,-6.4,-0.51,-3,-7.66,-44.0,-0.25,0,0,146,0.81,-15,-0.2,-161,1253.2,-6.4,-0.51,7338050.0,-18700.0,-0.25,-2.34 Cr,618375.0,-16.81,-0.51,7338050,-18700,-0.25,0.42,36.14,-7.66,17.11 - 53.54,33.67 / 39.36 / 42.65,52.24,54.66,7.34,-8.18,-15.26,,,,,,,,,,
BEL,409.25,4.25,1.7,0.42,-0.91,-2.89,-2427.0,-3.58,0.02,3.45,-1181,-3.22,29,0.14,1210,409.25,1.7,0.42,93223500.0,-3458475.0,-3.58,-141.54 Cr,6767325.0,72.5,0.42,93223500,-3458475,-3.58,0.6,30.54,-2.89,15.33 - 49.55,28.17 / 25.96 / 26.54,44.45,74.9,8.41,17.64,15.07,,,,,,,,,,
BHARATFORG,2197.5,3.92,84.0,3.97,-2.35,-7.68,-442.0,-2.68,0.17,27.42,-553,-10.79,435,13.64,988,2197.5,84.0,3.97,8029500.0,-221000.0,-2.68,-48.56 Cr,2415000.0,185.97,3.97,8029500,-221000,-2.68,0.79,28.25,-7.68,16.12 - 46.76,31.48 / 31.00 / 30.40,39.59,50.2,-10.26,-8.87,-7.07,2200.0,585.0,-87.0,0.11,YES,,,,,
BHARTIARTL,1891.1,2.33,-13.5,-0.71,-0.68,-3.93,2136.0,3.16,-0.04,-8.51,3448,8.2,-184,-0.93,-3632,1891.1,-13.5,-0.71,33104175.0,1014600.0,3.16,191.87 Cr,3548725.0,140.69,-0.71,33104175,1014600,3.16,0.43,16.62,-3.93,8.38 - 28.10,25.16 / 23.50 / 22.61,41.78,44.53,-33.94,-29.28,-26.49,1940.0,8395.0,927.0,2.59,NO,,,,,
BHEL,423.0,4.94,-11.85,-2.73,-11.3,-24.07,-2714.0,-7.93,-0.11,-14.1,1778,8.11,-1191,-6.99,-2969,423.0,-11.85,-2.73,82747875.0,-7124250.0,-7.93,-301.36 Cr,42708750.0,-55.2,-2.73,82747875,-7124250,-7.93,0.67,35.64,-24.07,19.15 - 54.97,51.80 / 49.04 / 47.61,46.04,68.83,-31.2,-27.32,-25.14,,,,,,,,,,
BIOCON,437.55,3.71,-5.1,-1.15,-1.22,-4.3,-1430.0,-6.58,-0.06,-6.52,356,2.8,-513,-4.38,-869,437.55,-5.1,-1.15,50750000.0,-3575000.0,-6.58,-156.42 Cr,11315000.0,19.14,-1.15,50750000,-3575000,-6.58,0.86,27.12,-4.3,15.94 - 43.30,59.05 / 42.31 / 35.67,40.86,46.96,-54.07,-35.9,-23.97,450.0,2181.0,422.0,2.85,NO,,,,,
